Daily Competition Returns Comparison Report as of 03-Jul-24,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
Scheme,AUM(Rs Cr),7 days,Rank,14 days,Rank,30 days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,29/09/23 to 03/07/24,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,12 year,Rank,15 year,Rank,Inception,Rank,YTD,Rank
Aditya Birla Sun Life ELSS Tax Saver - Direct Plan,15481.43,1.24,14,2.66,12,5.46,11,10.42,6,13.16,9,19.91,10,30.39,13,30.16,13,36.27,14,27,18,14.39,18,14.4,18,12.37,18,14.37,14,-,-,-,-,15.74,-,19.69,10
Axis ELSS Tax Saver Fund - Direct Plan,34895.64,1.07,17,1.71,19,6.12,5,7.6,18,7.95,19,17.29,16,28.64,15,29,15,30.83,19,26.01,19,12.11,19,15.57,17,15.06,15,15.63,10,-,-,-,-,18.26,-,16.83,15
Bandhan ELSS Tax Saver Fund - Direct Plan,6433.56,1.79,9,2.74,10,5.39,12,8.46,15,9.35,17,18.01,13,28.38,17,28.25,17,37.01,12,32.96,10,21.97,10,22.92,4,18.47,7,18.37,2,-,-,-,-,19.42,-,17.32,14
Canara Robeco ELSS Tax Saver Fund - Direct Plan,7925.68,2.08,7,3.04,7,4.85,17,10.32,8,12.34,12,18.82,12,32.16,10,32.07,10,36.38,13,30.53,12,19.23,15,21.75,7,19.03,2,16.65,8,-,-,-,-,17.29,-,18.19,12
DSP ELSS Tax Saver Fund - Direct Plan,15161.2,2.35,2,3.46,3,6.09,6,12.35,2,16.85,2,23.63,5,39.87,5,39.3,4,49.84,3,36.34,6,23,8,23.22,3,18.96,3,18.35,3,-,-,-,-,19.34,-,23.31,5
Franklin India ELSS Tax Saver Fund - Direct Plan,6397.51,1.5,12,3.21,6,4.94,15,9.68,14,11.88,14,20.49,9,35.71,9,35.9,8,47.5,6,36.7,5,23.37,5,20.83,8,16.85,10,16.82,7,-,-,-,-,17.69,-,20,9
HDFC ELSS Tax Saver Fund - Direct Plan,14752.93,0.92,18,2.35,13,4.89,16,10.36,7,12.64,11,21.9,7,39.96,4,39.3,5,48.31,5,38.22,4,27.5,2,20.56,9,15.97,12,14.4,13,-,-,-,-,16.43,-,21.67,7
HSBC ELSS Tax Saver Fund - Direct Plan,3949.85,2.15,5,3.03,8,6.52,4,12.38,1,17.47,1,29.62,1,42.67,3,42.9,3,48.35,4,38.98,3,22.23,9,19.9,11,15.37,14,15.88,9,-,-,-,-,16.73,-,28.86,2
ICICI Prudential ELSS Tax Saver - Direct Plan,13110.65,1.2,15,2.69,11,5.87,9,7.39,19,8.89,18,16.88,18,28.53,16,28.28,16,34.38,17,28.22,17,19.23,14,18.22,16,16.13,11,14.87,11,-,-,-,-,16.87,-,16.22,18
Invesco India ELSS Tax Saver Fund - Direct Plan,2847.83,2.2,4,3.4,4,7.24,3,11.39,5,14.05,7,21.67,8,36.31,7,36.64,7,43.94,9,34.16,9,19.16,16,20.24,10,17.73,8,17.44,5,-,-,-,-,18.8,-,20.9,8
Kotak ELSS Tax Saver - Direct Plan,5768.54,1.66,11,2.21,16,3.32,19,10.03,11,13.83,8,25.78,4,36.13,8,35.89,9,44.11,8,35.94,7,23.27,6,22.25,5,18.48,6,18.56,1,-,-,-,-,17.92,-,25.01,4
Mirae Asset ELSS Tax Saver Fund - Direct Plan,22620.57,1.7,10,2.93,9,5.89,8,9.79,13,12.07,13,17.63,14,30.97,12,30.78,12,38.37,11,30.28,14,19.5,13,22.2,6,19.39,1,-,-,-,-,-,-,21.4,-,17.65,13
Motilal Oswal ELSS Tax Saver Fund - Direct Plan,3435.94,0.83,19,1.93,18,6.06,7,10.31,9,15.8,3,28.63,2,48.88,1,49.3,1,59.7,2,46.56,1,26.77,3,24.26,2,18.58,5,-,-,-,-,-,-,19.74,-,29.76,1
Nippon India ELSS Tax Saver Fund - Direct Plan,15026.04,2.25,3,3.27,5,5.26,13,10.11,10,14.06,6,22.52,6,37.82,6,37.34,6,46.91,7,35.65,8,24.02,4,18.43,15,12.6,17,13.34,16,-,-,-,-,16.1,-,21.87,6
Parag Parikh ELSS Tax Saver Fund - Direct Plan,3454.03,2.54,1,3.57,2,5.78,10,7.88,17,10.13,15,16.07,19,28.18,18,27.42,19,36.09,15,30.4,13,23.22,7,-,-,-,-,-,-,-,-,-,-,25.73,-,16.2,19
SBI Long Term Equity Fund - Direct Plan,23887.64,1.85,8,2.09,17,5.21,14,10.02,12,13,10,27.83,3,46.48,2,45.78,2,59.71,1,45.66,2,29.11,1,24.98,1,18.72,4,16.84,6,-,-,-,-,18.07,-,28.67,3
