Daily Competition Returns Comparison Report as of 03-Jul-24,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
Scheme,AUM(Rs Cr),7 days,Rank,14 days,Rank,30 days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,29/09/23 to 03/07/24,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,12 year,Rank,15 year,Rank,Inception,Rank,YTD,Rank
Aditya Birla Sun Life Flexi Cap Fund - Direct Plan,20473.4,1.19,15,2.45,15,5.93,8,9.33,12,11.47,13,18.08,12,30.52,11,30.09,12,37.7,10,30.65,9,17.84,10,19.04,7,15.34,8,15.84,7,-,-,-,-,17.89,-,17.6,12
Axis Flexi Cap Fund - Direct Plan,12011.72,1.45,12,2.08,18,5.68,11,10.05,9,12.94,6,21.33,6,32.56,8,32.81,8,35.45,13,27.53,13,15.74,12,17.76,10,-,-,-,-,-,-,-,-,16.78,-,19.97,6
Bandhan Flexi Cap Fund - Direct Plan,6979.84,1.72,7,3.06,6,5.33,12,8.76,16,11.94,9,19.38,8,30.36,12,30.55,11,38.07,9,30.13,10,18.76,7,17.36,12,13.45,12,14.16,10,-,-,-,-,15.75,-,17.84,11
Canara Robeco Flexi Cap Fund - Direct Plan,12447.99,1.81,5,2.6,11,5.71,10,10.72,7,11.51,12,19.06,10,31.62,9,31.6,9,35.16,14,29.45,11,18.44,8,20.21,6,17.77,2,15.47,8,-,-,-,-,16.16,-,18.28,10
DSP Flexi Cap Fund - Direct Plan,10558.54,2.16,2,3.37,1,7.34,3,12.27,1,16.6,1,19.36,9,31.54,10,31.54,10,41.19,8,34.93,5,19.02,6,21.18,4,17.66,3,16.31,6,-,-,-,-,16.95,-,18.69,8
Franklin India Flexi Cap Fund - Direct Plan,15468.09,1.41,13,3.11,5,4.64,16,9.39,11,11.76,11,20.06,7,34.84,5,35.04,5,46.57,3,35.92,4,23.94,2,22.62,1,17.59,5,17.49,2,-,-,-,-,18.22,-,19.59,7
HDFC Flexi Cap Fund - Direct Plan,54692.16,0.94,17,2.51,14,5.1,15,10.32,8,12.46,8,21.67,5,37.64,3,37.19,3,45.57,4,38.62,1,27.78,1,21.69,3,18.72,1,16.36,5,-,-,-,-,17.92,-,21.43,3
HSBC Flexi Cap Fund - Direct Plan,4435.44,2.28,1,3.33,2,7.04,5,11.94,3,14.63,3,25.63,2,40.18,2,39.61,2,49.95,2,37.97,3,23.21,3,20.37,5,16.06,7,15.29,9,-,-,-,-,16.46,-,25.4,2
ICICI Prudential Flexicap Fund - Direct Plan,14913.29,1.09,16,2.14,17,6.47,7,9.8,10,10.98,14,21.73,4,35.47,4,35.08,4,41.77,6,33.57,7,-,-,-,-,-,-,-,-,-,-,-,-,23.26,-,20.78,5
