Daily Competition Returns Comparison Report as of 03-Jul-24,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
Scheme,AUM(Rs Cr),7 days,Rank,14 days,Rank,30 days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,29/09/23 to 03/07/24,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,12 year,Rank,15 year,Rank,Inception,Rank,YTD,Rank
360 ONE Focused Equity Fund - Direct Plan,7215.17,1.74,5,3.53,2,5.03,15,9.77,10,13.72,4,22.12,5,33.44,9,33.63,8,40.69,7,36.39,4,22.71,5,24.48,1,20.93,1,-,-,-,-,-,-,18.91,-,21.18,5
Aditya Birla Sun Life Focused Fund - Direct Plan,7151.96,1.36,11,3.07,7,5.39,13,9.4,13,10.35,15,19.74,8,31.64,11,31.3,12,37.36,12,29.02,14,18.69,11,18.02,10,15.21,8,14.7,8,-,-,-,-,16.31,-,18.57,10
Axis Focused Fund - Direct Plan,13341.11,0.45,18,1.01,18,4.25,18,6,17,6.06,18,14.52,17,25.04,17,25.22,17,25.8,17,20.54,17,9.15,17,13.91,12,13.71,11,14.68,9,-,-,-,-,15.22,-,13.82,17
Bandhan Focused Equity Fund - Direct Plan,1505.55,2.09,2,2.87,9,9.24,1,10.34,6,12.96,6,19.41,10,36.16,4,36.4,4,38.93,10,31.8,10,19.32,10,18.44,9,14.6,10,14.1,10,-,-,-,-,14.35,-,18.75,9
Canara Robeco Focused Equity Fund - Direct Plan,2293.3,1.95,4,3.09,6,5.62,9,9.5,11,10.63,14,19.8,7,31.43,12,31.61,11,36.82,14,32.09,8,21.47,7,-,-,-,-,-,-,-,-,-,-,23.49,-,18.99,7
DSP Focus Fund - Direct Plan,2338.45,2.01,3,2.61,12,5.98,8,12.4,2,16.55,1,19.46,9,34.82,5,34.98,5,45.54,4,34.34,5,18.25,13,17.99,11,15.08,9,14.99,7,-,-,-,-,15.13,-,18.77,8
Franklin India Focused Equity Fund - Direct Plan,11442.54,1.46,9,3.12,5,6.14,7,10,9,12.66,8,22.62,3,33.78,8,33.53,9,40.87,6,34.09,6,23.06,4,21,4,17.79,3,18.33,1,-,-,-,-,20.01,-,22.31,3
HDFC Focused 30 Fund - Direct Plan,11945.94,0.72,16,2.33,13,5.48,11,10.26,7,12.93,7,22.22,4,38.68,3,38.18,3,46.31,3,39.23,2,30.88,1,22.68,3,17.16,5,15.31,6,-,-,-,-,16.61,-,22.13,4
HSBC Focused Fund - Direct Plan,1595.84,0.64,17,1.64,17,4.5,17,4.91,18,7.33,17,15.9,16,29.59,13,29.33,13,37.56,11,28.69,15,16.77,15,-,-,-,-,-,-,-,-,-,-,23.66,-,14.99,16
ICICI Prudential Focused Equity Fund - Direct Plan,8139.49,1.23,14,2.71,11,5.61,10,10.37,5,11.6,11,26.01,2,41.13,2,40.36,2,48.59,2,37.64,3,25.84,3,23.83,2,19.06,2,16.41,4,-,-,-,-,17.18,-,25.65,2
Invesco India Focused Fund - Direct Plan,2820.38,1.59,7,2.08,16,6.54,6,9.15,15,14.55,3,31.97,1,55.64,1,56.24,1,67.64,1,41.85,1,26.38,2,-,-,-,-,-,-,-,-,-,-,31.55,-,32.34,1
Kotak Focused Equity Fund - Direct Plan,3312.87,1.28,13,2.31,14,5.48,12,11.48,3,13.21,5,21,6,34.76,6,34.21,7,39.97,8,31.15,11,20.28,9,-,-,-,-,-,-,-,-,-,-,21.67,-,19.94,6
Mirae Asset Focused Fund - Direct Plan,7920.31,1.36,10,3.38,3,7.13,3,9.48,12,9.55,16,10.86,18,17.94,18,17.7,18,22.27,18,19.24,18,12.66,16,19.06,7,-,-,-,-,-,-,-,-,20.24,-,10.54,18
Nippon India Focused Equity Fund - Direct Plan,7916.72,1.66,6,3.29,4,8.35,2,12.72,1,15.56,2,16.09,15,27.66,15,27.1,15,39.12,9,29.29,13,20.53,8,20.59,6,16.08,7,17.06,2,-,-,-,-,19.08,-,15.64,15
SBI Focused Equity Fund - Direct Plan,33488.95,1.35,12,2.93,8,4.51,16,8.49,16,10.92,13,17.87,14,26.14,16,26.12,16,33.09,16,26.95,16,16.84,14,18.71,8,17.46,4,16.98,3,-,-,-,-,16.7,-,17.45,14
Sundaram Focused Fund - Direct Plan,1057.99,1.53,8,2.8,10,5.09,14,9.26,14,11.07,12,18.55,12,29.36,14,29.32,14,34.95,15,30.93,12,18.31,12,20.78,5,17.13,6,15.36,5,-,-,-,-,16.26,-,17.81,13
Tata Focused Equity Fund - Direct Plan,1672.37,2.83,1,4.47,1,6.99,4,10.81,4,12.64,9,18.04,13,34.3,7,34.45,6,43.72,5,34.01,7,22.45,6,-,-,-,-,-,-,-,-,-,-,22.63,-,17.93,12
