Daily Competition Returns Comparison Report as of 03-Jul-24,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
Scheme,AUM(Rs Cr),7 days,Rank,14 days,Rank,30 days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,29/09/23 to 03/07/24,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,12 year,Rank,15 year,Rank,Inception,Rank,YTD,Rank
Aditya Birla Sun Life Infrastructure Fund - Direct Plan,1146.32,1.48,11,2.71,10,1.85,12,11.66,10,15.62,10,31.02,11,44.07,14,45.11,14,63.76,13,54.4,10,31.35,12,25.64,11,17.85,12,16.41,12,-,-,-,-,17.91,-,31.58,10
Bandhan Infrastructure Fund - Direct Plan,1342.96,2.88,1,4.6,1,6.82,1,19.34,1,24.19,2,49.92,1,71.52,1,72.53,1,93.14,1,65.27,2,38.32,6,30.21,2,20.93,9,19.62,4,-,-,-,-,18.73,-,50.83,1
DSP India T.I.G.E.R. Fund - Direct Plan,4385.95,2.11,3,3.62,2,3.74,7,14.8,6,23.12,4,38.87,5,59.81,4,60,4,83.18,4,59.85,4,39.25,4,29.39,6,22.08,4,19.25,6,-,-,-,-,19.37,-,39.21,5
Franklin Build India Fund - Direct Plan,2530.26,0.83,14,3.04,8,2.43,11,10.5,13,16.87,8,33.62,8,55.96,7,56.11,7,80.38,5,58.19,5,37.58,9,28.37,8,22.56,2,22.57,1,-,-,-,-,24.16,-,34.19,8
HDFC Infrastructure Fund - Direct Plan,2054.8,1.61,9,2.58,11,4.66,4,10.62,12,15.55,11,29.91,12,53.03,10,53.95,9,80.03,6,61.58,3,39.95,3,23.83,13,15.08,14,13.31,14,-,-,-,-,14.63,-,30.46,12
HSBC Infrastructure Fund - Direct Plan,2620.55,2.04,5,3.15,6,3.35,9,18.41,2,24.96,1,38.82,6,53.69,9,54.12,8,73.8,8,56.8,7,37.37,10,27.58,9,20.04,10,19.27,5,-,-,-,-,19.95,-,37.47,6
ICICI Prudential Infrastructure Fund - Direct Plan,5034.14,1.69,8,2.87,9,3.46,8,9.79,14,13.6,14,32.29,9,53.92,8,53.65,10,69.77,9,56.54,8,41.25,1,29.58,4,22.38,3,18.08,9,-,-,-,-,18.91,-,32.65,9
Invesco India Infrastructure Fund - Direct Plan,1470.37,2.08,4,2.13,14,3.14,10,16.92,3,21.77,5,41.7,2,66.05,2,67.01,2,86.62,2,57.75,6,37.99,8,32.8,1,25.06,1,21.29,2,-,-,-,-,22.64,-,41.37,2
Kotak Infrastructure and Economic Reform Fund - Standard Plan - Direct Plan,1989.53,1.8,7,3.19,5,6.47,2,16.42,4,23.14,3,40.92,3,57.03,6,57.43,6,68.61,11,53.93,11,38.96,5,29.46,5,21.62,7,20.4,3,-,-,-,-,21.28,-,40.83,3
Nippon India Power & Infra Fund - Direct Plan,5697.01,1.54,10,3.48,3,4.27,5,14.97,5,18.75,6,37.74,7,61.24,3,61.77,3,85.02,3,65.67,1,41,2,30.18,3,21.84,5,17.7,10,-,-,-,-,17.92,-,37.3,7
SBI Infrastructure Fund - Direct Plan,3087.55,1.07,12,2.55,12,6.22,3,11.52,11,14.38,13,28.65,13,50.88,11,51.44,11,69.35,10,51.56,12,34.83,11,27.31,10,21.14,8,18.28,8,-,-,-,-,17.75,-,29.08,13
Sundaram Infrastructure Advantage Fund - Direct Plan,998.37,1.94,6,3.4,4,1.26,14,12.21,9,16.86,9,31.44,10,49.5,12,49.67,12,64.94,12,47.19,13,30.74,13,24.13,12,18.04,11,16.58,11,-,-,-,-,16.17,-,30.72,11
Tata Infrastructure Fund - Direct Plan,2245.06,2.39,2,3.06,7,4.12,6,14.14,7,17.89,7,39.1,4,57.92,5,58.42,5,76.09,7,54.82,9,38.04,7,28.88,7,21.66,6,19.17,7,-,-,-,-,18.77,-,39.32,4
UTI Infrastructure Fund - Direct Plan,2287.67,0.96,13,2.16,13,1.39,13,12.33,8,14.56,12,28.23,14,46.99,13,47.42,13,60.02,14,46.21,14,28.43,14,21.82,14,16.71,13,14.57,13,-,-,-,-,15.11,-,27.93,14
