Daily Competition Returns Comparison Report as of 03-Jul-24,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
Scheme,AUM(Rs Cr),7 days,Rank,14 days,Rank,30 days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,29/09/23 to 03/07/24,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,12 year,Rank,15 year,Rank,Inception,Rank,YTD,Rank
Aditya Birla Sun Life Equity Advantage Fund - Direct Plan,5761.97,1.44,15,2.55,13,5.1,17,10.02,14,13.23,13,18.48,19,29.55,19,29.82,19,38.07,18,29.98,19,15.1,20,17.79,19,13.52,17,15.07,14,-,-,-,-,16.84,-,17.82,20
Axis Growth Opportunities Fund - Direct Plan,12424.49,1.64,12,1.91,17,5.12,16,10.08,13,11.63,18,24.21,11,35.41,14,35.68,14,40.79,16,33.85,13,19.85,17,24.56,1,-,-,-,-,-,-,-,-,23.99,-,23.35,10
Bandhan Core Equity Fund - Direct Plan,4680.59,2.12,6,3.59,3,5.82,11,9.89,16,14.72,8,26.05,5,44.72,2,44.66,2,58.5,1,44.29,2,27.56,3,24.14,2,18.79,5,18.01,7,-,-,-,-,17.48,-,26.71,4
Canara Robeco Emerging Equities Fund - Direct Plan,21796.83,1.72,10,2.15,15,7.77,4,12.83,4,15.11,6,24.4,10,36.37,13,36.73,13,42.62,13,32.15,17,20.55,16,22.44,10,17.86,11,19.98,2,-,-,-,-,22.2,-,23.27,11
DSP Equity Opportunities Fund - Direct Plan,11991.26,2.29,4,3.18,6,6.49,7,12.26,5,17.68,3,24.7,8,41.44,6,41.18,6,53.27,5,38.99,7,22.85,12,23.17,6,18.34,8,18.14,6,-,-,-,-,18.71,-,24.54,8
Edelweiss Large & Mid Cap Fund - Direct Plan,3046.54,2.42,2,3.53,4,7.75,5,12.89,3,14.29,11,23.2,12,37,11,37.63,10,45.83,12,36.26,11,23.11,11,23.15,7,19.49,1,17.34,9,-,-,-,-,18.12,-,22.18,13
Franklin India Equity Advantage Fund - Direct Plan,3203.2,1.87,8,2.87,8,8.78,2,12.03,6,13.66,12,18.94,16,31.8,16,31.81,16,38.72,17,28.55,20,17.82,19,18.32,18,14.56,16,14.56,16,-,-,-,-,15.99,-,18.1,18
HDFC Large and Mid Cap Fund - Direct Plan,19454.33,1.55,14,2.12,16,5.2,14,9.86,17,12.89,15,20.58,14,36.68,12,36.74,12,49.33,9,40.05,5,27.2,4,24.13,3,18.68,6,15.33,13,-,-,-,-,15.33,-,20.77,14
HSBC Large and Mid Cap Fund - Direct Plan,3118.58,2.23,5,2.84,9,5.43,12,11.94,7,18.45,2,31.96,1,42,4,42.64,4,53.2,6,42.21,3,25.57,5,21.93,14,-,-,-,-,-,-,-,-,20.96,-,31.16,1
