Daily Competition Returns Comparison Report as of 03-Jul-24,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
Scheme,AUM(Rs Cr),7 days,Rank,14 days,Rank,30 days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,29/09/23 to 03/07/24,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,12 year,Rank,15 year,Rank,Inception,Rank,YTD,Rank
Aditya Birla Sun Life Frontline Equity Fund - Direct Plan,27274.77,1.28,11,2.68,11,5.24,6,9.89,4,10.93,4,17.81,6,29.27,7,28.94,7,33.78,6,28.99,6,19.06,4,17.87,5,14.75,11,14.58,7,-,-,-,-,15.97,-,17.04,6
Axis Bluechip Fund - Direct Plan,32707.97,1.17,13,2.19,13,4.9,8,7.54,11,7.78,12,16.61,8,27.59,9,27.57,9,29.36,11,23.75,13,13.16,13,15.54,13,16.12,5,14.32,8,-,-,-,-,15.92,-,15.47,8
Canara Robeco Bluechip Equity Fund - Direct Plan,12976.74,1.69,6,3.09,2,4.84,9,9.75,5,10.53,7,18.41,5,30.42,5,30.14,5,33.21,7,28.9,7,17.94,7,20.12,2,17.87,1,15.82,4,-,-,-,-,16.24,-,17.66,5
DSP Top 100 Equity Fund - Direct Plan,3716.97,1.93,1,2.8,10,6.26,3,8.95,8,12.58,1,19.56,2,32.65,3,31.9,3,38.54,3,31.78,4,18.02,6,16.39,12,13.96,12,12.58,13,-,-,-,-,13.3,-,18.92,2
Franklin India Bluechip Fund - Direct Plan,7646.59,1.77,4,2.97,7,7.17,1,10.5,2,10.8,6,17.32,7,29.07,8,28.44,8,32.01,8,25.44,10,15.28,12,16.73,10,13.62,13,13.4,12,-,-,-,-,13.97,-,16.25,7
HDFC Top 100 Fund - Direct Plan,33488.5,1.4,9,2.9,9,2.87,13,7.32,13,8.18,11,14.93,11,29.66,6,29.02,6,36.08,5,31.89,3,22.01,3,17.2,8,15.72,7,14.09,10,-,-,-,-,15.49,-,14.47,9
ICICI Prudential Bluechip Fund - Direct Plan,55459.29,1.66,7,3.01,4,3.76,12,7.64,10,8.65,10,19.07,4,33.15,2,32.49,2,39.99,2,32.28,2,22.49,2,19.8,3,17.27,3,15.93,2,-,-,-,-,17.05,-,18.12,4
Kotak Bluechip Fund - Direct Plan,8199.81,1.79,3,3.08,3,5.3,5,10.6,1,12.39,2,19.47,3,31.84,4,31.32,4,36.18,4,29.72,5,18.94,5,19.68,4,16.45,4,15.78,5,-,-,-,-,16.22,-,18.5,3
Mirae Asset Large Cap Fund - Direct Plan,37631.07,1.71,5,3.46,1,5.96,4,10.11,3,11.14,3,15.14,10,24.06,13,23.62,13,27.72,12,24.2,12,15.77,11,16.59,11,15.28,8,15.87,3,-,-,-,-,17.49,-,14.13,11
Nippon India Large Cap Fund - Direct Plan,26925.1,1.86,2,3.01,6,4.3,10,8.63,9,10.35,9,20.3,1,33.59,1,33.38,1,41.72,1,37.22,1,26.39,1,20.27,1,17.74,2,16.71,1,-,-,-,-,17.76,-,20.18,1
SBI Bluechip Fund - Direct Plan,46084.82,1.28,12,2.36,12,5,7,9.65,7,10.36,8,14.84,12,24.6,12,24.29,12,27.14,13,26.81,8,17.9,8,17.59,7,15,10,15.41,6,-,-,-,-,16.49,-,13.95,12
Sundaram Large Cap Fund - Direct Plan,3376.64,1.4,8,2.97,8,3.93,11,7.38,12,7.57,13,13.9,13,24.92,11,24.52,11,29.41,10,26.7,9,17.58,9,16.85,9,15.8,6,13.66,11,-,-,-,-,14.44,-,12.82,13
UTI Large Cap Fund - Direct Plan,12365.73,1.29,10,3.01,5,6.38,2,9.68,6,10.9,5,15.89,9,25.86,10,25.6,10,30.1,9,25.1,11,16.12,10,17.7,6,15.27,9,14.11,9,-,-,-,-,14.98,-,14.36,10
