Daily Competition Returns Comparison Report as of 03-Jul-24,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
Scheme,AUM(Rs Cr),7 days,Rank,14 days,Rank,30 days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,29/09/23 to 03/07/24,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,12 year,Rank,15 year,Rank,Inception,Rank,YTD,Rank
Aditya Birla Sun Life Mid Cap Fund - Direct Plan,5342.47,1.01,20,1.36,20,7.31,12,10.43,20,15.14,17,20.7,19,34.64,17,34.69,17,51.13,16,35.85,18,24.69,15,22.72,18,15.69,18,17.19,18,-,-,-,-,18.39,-,21.02,17
Axis Midcap Fund - Direct Plan,27747.62,1.83,14,2.13,13,7.31,11,15.21,4,19.15,5,29.57,7,41.13,13,41.24,14,49.11,18,36.84,16,22.93,18,25.92,13,22.12,3,19.63,10,-,-,-,-,21.27,-,28.56,8
Baroda BNP Paribas Midcap Fund - Direct Plan,1934.5,2.14,9,3.04,6,7.51,9,12,13,17.07,12,27.68,10,40.8,14,41.59,13,57.22,10,40.87,13,25.81,12,27.73,9,19.56,10,19.97,9,-,-,-,-,21.74,-,28.2,10
Canara Robeco Mid Cap Fund - Direct Plan,2223.58,2.78,3,3.91,2,9.6,3,14.47,8,18.04,7,29.26,8,41.63,10,42.58,10,54.36,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,39.78,-,28.38,9
DSP Midcap Fund - Direct Plan,17667.73,1.9,11,1.85,19,7.33,10,15.01,5,20.97,2,21.22,17,36.97,16,37.05,16,54.36,13,36.87,15,19.75,20,22.42,19,16.98,16,18.24,16,-,-,-,-,19.43,-,20.79,18
Edelweiss Mid Cap Fund - Direct Plan,5863.6,3.04,1,3.7,3,9.39,4,15.98,3,19.74,3,31.49,2,49.54,3,50.41,3,64.03,5,46.73,4,29.49,5,30.66,3,22.72,1,21.92,3,-,-,-,-,23.89,-,31.15,2
Franklin India Prima Fund - Direct Plan,11011.05,1.49,15,2.05,17,8.11,8,14.55,7,18.47,6,26.56,12,43.92,7,44.41,7,56.25,11,43.82,8,24.51,16,23.46,17,17.84,14,19.16,12,-,-,-,-,20.85,-,26.62,12
HDFC Mid-Cap Opportunities Fund - Direct Plan,65394.16,2.38,6,2.13,12,6.3,17,11.38,17,13.39,20,23.53,14,38.2,15,38.99,15,54.17,15,48.18,3,30.57,3,28.21,7,20.48,9,20.9,5,-,-,-,-,22.79,-,23.7,14
HSBC Midcap Fund - Direct Plan,10583.54,1.87,12,2.78,7,6.13,19,12,14,17.13,11,29.74,6,48.32,4,48.61,4,66.51,3,43.67,9,26.4,11,24.72,15,17.69,15,20.08,8,-,-,-,-,21.96,-,29.82,5
ICICI Prudential Midcap Fund - Direct Plan,6063.3,1.12,19,1.95,18,5.81,20,14.17,9,17.7,10,29.78,4,50.07,2,50.64,2,64.54,4,41.66,12,26.52,10,25.95,12,19.38,11,19,13,-,-,-,-,21.46,-,30.56,3
Invesco India Mid Cap Fund - Direct Plan,5216.43,1.38,18,2.67,8,9.69,2,14.73,6,17.99,8,29.75,5,44.8,6,45.79,6,57.76,9,44.12,6,27.03,8,28.04,8,21.95,5,21.14,4,-,-,-,-,22.6,-,29.99,4
Kotak Emerging Equity Fund - Direct Plan,45017.71,2.67,4,3.17,5,8.74,6,17.54,1,22.65,1,30.12,3,42.46,9,42.7,9,56.08,12,41.79,11,27,9,28.59,6,21.27,6,22.7,1,-,-,-,-,22.73,-,29.72,7
Mahindra Manulife Mid Cap Fund - Direct Plan,2580.04,2.99,2,3.69,4,6.35,16,11.94,15,17.88,9,29.15,9,45.89,5,46.56,5,67.08,2,49.08,2,30.21,4,30.76,2,-,-,-,-,-,-,-,-,22.62,-,29.78,6
Mirae Asset Midcap Fund - Direct Plan,15353.87,1.4,17,2.12,14,6.39,15,10.25,21,13.45,19,19.57,21,33.27,18,33.65,18,50.17,17,37.54,14,24.9,14,-,-,-,-,-,-,-,-,-,-,30.73,-,20.32,20
Motilal Oswal Midcap Fund - Direct Plan,10378.16,2.59,5,3.98,1,12.71,1,16.74,2,19.69,4,35.86,1,54.43,1,55.15,1,67.5,1,52.6,1,40.8,1,32.42,1,22.71,2,22.6,2,-,-,-,-,25.95,-,35.21,1
Nippon India Growth Fund - Direct Plan,27931.43,2.18,7,2.2,11,6.86,14,11.73,16,16.99,14,22.42,16,42.79,8,42.72,8,59.81,7,46.24,5,31.32,2,29.03,5,21.98,4,20.16,7,-,-,-,-,20.33,-,22.68,15
PGIM India Midcap Opportunities Fund - Direct Plan,10114.15,2.04,10,2.3,10,9.1,5,13.23,11,15.28,16,20.58,20,30.6,20,31.07,20,36.52,21,29.18,20,21.32,19,30.37,4,20.67,8,18.71,14,-,-,-,-,20.48,-,19.93,21
SBI Magnum Midcap Fund - Direct Plan,18398.62,0.88,21,0.99,21,7.17,13,11.24,18,13.24,21,20.9,18,30.25,21,30.77,21,40.55,20,35.61,19,25.6,13,27.55,10,18.29,12,19.62,11,-,-,-,-,21.4,-,20.69,19
Sundaram Mid Cap Fund - Direct Plan,11017.41,2.14,8,2.45,9,6.14,18,11.1,19,14.79,18,23.88,13,41.56,11,42.17,12,58.19,8,44.03,7,27.83,6,24.04,16,16.62,17,18.17,17,-,-,-,-,20.02,-,24.44,13
Tata Midcap Growth Fund - Direct Plan,3823.84,1.49,16,2.09,15,5.64,21,12.32,12,17.01,13,26.73,11,41.55,12,42.46,11,60.2,6,43.6,10,27.64,7,27.04,11,20.84,7,20.26,6,-,-,-,-,22.13,-,27.36,11
UTI Mid Cap Fund - Direct Plan,10682.52,1.87,13,2.06,16,8.72,7,13.9,10,16.4,15,22.8,15,32.55,19,33.05,19,44.71,19,35.87,17,23,17,25.8,14,18.29,13,18.62,15,-,-,-,-,21.16,-,22.5,16
