Daily Competition Returns Comparison Report as of 03-Jul-24,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
Scheme,AUM(Rs Cr),7 days,Rank,14 days,Rank,30 days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,29/09/23 to 03/07/24,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,12 year,Rank,15 year,Rank,Inception,Rank,YTD,Rank
Aditya Birla Sun Life Multi Asset Allocation Fund - Direct Plan,3370.93,1.31,5,1.64,6,3.88,3,7.68,2,9.53,2,15.47,7,23.96,7,23.7,6,27.4,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26.37,-,15.1,7
Axis Multi Asset Allocation Fund - Direct Plan,1197.41,1.7,4,2.4,2,3.67,4,7.42,4,9.28,4,14.36,8,21.28,9,21.2,8,23.23,8,19.03,6,11.74,6,14.71,4,13.12,3,11.68,3,-,-,-,-,11.15,-,13.41,8
Bank of India Multi Asset Allocation Fund - Direct Plan,332.43,1.14,7,1.39,9,2.01,10,4.57,10,7.07,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9.71,-,-,-
Baroda BNP Paribas Multi Asset Fund - Direct Plan,1180.31,1.79,1,2.82,1,4.38,1,7.52,3,9.36,3,18.01,1,30.84,3,30.19,3,35.86,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27.5,-,16.74,4
HDFC Multi Asset Fund - Direct Plan,2897.11,0.92,10,1.48,8,3.26,6,5.56,7,6.59,9,12.58,9,22.26,8,21.75,7,25.34,7,21.35,5,15.62,5,16.48,2,13.22,2,12.01,2,-,-,-,-,12.28,-,12.59,9
ICICI Prudential Multi Asset Fund - Direct Plan,41159.52,1.07,8,1.56,7,2.85,7,5.12,8,6.87,8,15.92,5,26.45,5,25.62,4,34.1,4,28.82,2,24.44,1,20.84,1,17.38,1,15.81,1,-,-,-,-,17.46,-,15.6,5
Kotak Multi Asset Allocation Fund - Direct Plan,6089.4,1.77,2,1.74,4,3.95,2,8.22,1,10.36,1,17.62,3,28.7,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.14,-,17.53,2
Nippon India Multi Asset Fund - Direct Plan,3313.76,1.74,3,2.2,3,3.26,5,6.3,6,8.25,5,17.89,2,31.54,2,30.64,2,35.56,3,27.15,3,18.93,3,-,-,-,-,-,-,-,-,-,-,20.91,-,17.49,3
Tata Multi Asset Opportunities Fund - Direct Plan,2863.37,1.17,6,1.68,5,2.82,8,6.53,5,7.82,6,15.71,6,24.94,6,24.76,5,29.91,5,25.26,4,17.93,4,-,-,-,-,-,-,-,-,-,-,22.41,-,15.47,6
UTI Multi Asset Allocation Fund - Direct Plan,2026.51,1.06,9,1.37,10,2.42,9,4.77,9,6.45,10,17.52,4,33.33,1,32.95,1,38.45,1,31.53,1,19.32,2,16.28,3,12.76,4,10.83,4,-,-,-,-,10.65,-,17.56,1
