Daily Competition Returns Comparison Report as of 03-Jul-24,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
Scheme,AUM(Rs Cr),7 days,Rank,14 days,Rank,30 days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,29/09/23 to 03/07/24,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,12 year,Rank,15 year,Rank,Inception,Rank,YTD,Rank
Aditya Birla Sun Life Multi-Cap Fund - Direct Plan,5583.9,1.86,9,3,5,6.25,8,11.4,2,14.1,9,22.53,8,33.53,12,33.62,12,43.37,12,33.52,11,22.33,5,-,-,-,-,-,-,-,-,-,-,24.99,-,22.01,8
Axis Multicap Fund - Direct Plan,5473.59,2.16,3,3.07,4,7.04,4,13.73,1,16.3,1,27.03,2,43.16,3,43.75,3,55.24,3,41.22,4,-,-,-,-,-,-,-,-,-,-,-,-,24.51,-,25.76,5
Bandhan Multi Cap Fund - Direct Plan,2105.34,1.64,12,2.56,10,7.32,1,9.51,11,12.68,12,20.76,10,34.56,10,34.89,10,44.56,11,37.1,9,-,-,-,-,-,-,-,-,-,-,-,-,24.28,-,21.3,10
Baroda BNP Paribas Multi Cap Fund - Direct Plan,2458.87,2.12,5,2.24,11,5.65,11,9.16,12,14.12,8,26.08,4,42.47,4,42.74,4,50.13,7,38.35,6,24.92,3,23.7,3,18.36,3,17.04,4,-,-,-,-,17.86,-,25.94,4
HDFC Multi Cap Fund - Direct Plan,13815.44,1.8,10,2.68,8,7.19,2,11.24,3,14.79,3,22.65,7,38.66,7,39.22,7,51.76,6,44.59,3,-,-,-,-,-,-,-,-,-,-,-,-,29.74,-,22.52,7
HSBC Multi Cap Fund - Direct Plan,3109.33,2.06,7,2.82,6,6.4,7,10.15,10,14.14,7,27.37,1,46.03,1,46.6,1,63.85,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,55.77,-,27.11,2
ICICI Prudential Multicap Fund - Direct Plan,12047.86,1.43,13,2.72,7,6.24,9,9.16,13,10.81,14,20.37,11,37.43,8,36.97,8,47.7,9,37.94,7,24.75,4,21.4,5,17.9,4,17.11,3,-,-,-,-,18.12,-,20.87,11
Invesco India Multicap Fund - Direct Plan,3623.18,2.16,4,2.56,9,7.1,3,10.28,9,14.48,5,22.28,9,35.48,9,36.35,9,48.27,8,37.42,8,21.47,7,23.32,4,17.73,5,18.07,1,-,-,-,-,20.17,-,21.41,9
Kotak Multicap Fund - Direct Plan,11371.74,1.94,8,2.1,13,6.49,5,10.74,7,12.86,10,25.31,5,43.94,2,43.99,2,60.22,2,47.11,1,-,-,-,-,-,-,-,-,-,-,-,-,27.39,-,26.14,3
Mahindra Manulife Multi Cap Fund - Direct Plan,3670.19,2.64,1,4.45,1,5.58,12,10.97,5,14.46,6,24.21,6,39.91,5,39.93,5,54.1,4,41.15,5,26.76,2,27.82,1,21.45,1,-,-,-,-,-,-,21.41,-,25.01,6
Nippon India Multi Cap Fund - Direct Plan,31963.02,1.72,11,2.2,12,5.56,13,10.95,6,16.12,2,26.69,3,39.73,6,39.69,6,53.9,5,45.86,2,33.35,1,24.45,2,20.32,2,17.53,2,-,-,-,-,18.51,-,27.57,1
SBI Multicap Fund - Direct Plan,15785.91,1.18,14,1.89,14,6.07,10,8.97,14,12.04,13,19.37,13,29.33,13,29.61,13,38.06,13,29.49,12,-,-,-,-,-,-,-,-,-,-,-,-,22.37,-,19.95,12
Sundaram Multi Cap Fund - Direct Plan,2566.75,2.3,2,3.76,2,4.85,14,10.71,8,14.6,4,19.57,12,33.73,11,34.12,11,45.46,10,33.6,10,22.02,6,20.91,6,16.62,6,16.33,5,-,-,-,-,17.99,-,19.26,13
Tata Multicap Fund - Direct Plan,2913.19,2.08,6,3.11,3,6.45,6,11.23,4,12.69,11,16.6,14,26.75,14,27.24,14,37.4,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,33.8,-,16.49,14
