Daily Competition Returns Comparison Report as of 03-Jul-24,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
Scheme,AUM(Rs Cr),7 days,Rank,14 days,Rank,30 days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,29/09/23 to 03/07/24,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,12 year,Rank,15 year,Rank,Inception,Rank,YTD,Rank
360 ONE Quant Fund - Direct Plan,236.19,3.63,1,2.9,11,4.33,32,11.48,8,13.87,13,27.86,8,51.02,5,50.61,4,62.78,5,49.28,4,-,-,-,-,-,-,-,-,-,-,-,-,29.71,-,27.68,8
Aditya Birla Sun Life Business Cycle Fund - Direct Plan,1701.46,1.52,23,3.5,3,6.96,10,11.3,9,12.03,21,19.61,25,30.59,29,30.36,29,35.54,31,29.26,33,-,-,-,-,-,-,-,-,-,-,-,-,18.1,-,18.6,28
Aditya Birla Sun Life Manufacturing Equity Fund - Direct Plan,1005.6,2.04,9,2.57,18,6.33,13,11.19,10,16.08,6,25.37,11,42.47,12,41.95,12,52.7,12,36.99,18,19.49,20,21.41,17,14.61,13,-,-,-,-,-,-,14.75,-,25.41,10
Aditya Birla Sun Life Special Opportunities Fund - Direct Plan,714.83,1.49,25,2.42,26,6.74,11,9.26,24,12.41,19,20.29,24,34.25,24,34.03,23,44.69,25,32.2,26,20.19,19,-,-,-,-,-,-,-,-,-,-,27.49,-,20.12,23
Axis Innovation Fund - Direct Plan,1208.96,1.62,19,2.51,23,7.97,4,11.56,7,13.03,16,25.8,10,36.18,20,35.98,20,39.61,28,29.95,31,17.4,26,-,-,-,-,-,-,-,-,-,-,19.64,-,24.97,12
Axis Quant Fund - Direct Plan,1044.96,1.17,31,1.82,33,3.27,34,5.47,37,7.29,37,17.3,31,33.44,26,33.13,26,36.26,30,33.96,22,-,-,-,-,-,-,-,-,-,-,-,-,20.1,-,17.14,31
Baroda BNP Paribas Business Cycle Fund - Direct Plan,527.46,2.29,6,2.74,13,6.08,16,9.49,22,11.93,22,21.42,20,40.89,13,40.89,13,49.29,17,36.86,20,-,-,-,-,-,-,-,-,-,-,-,-,20.1,-,21.83,19
DSP Quant Fund - Direct Plan,1132.41,1.37,28,2.39,28,7.09,9,9.13,25,7.93,36,11.91,36,22.3,37,21.8,37,23.48,37,22.01,37,12.57,30,17.07,21,-,-,-,-,-,-,-,-,16.64,-,10.54,37
Edelweiss Recently Listed IPO Fund - Direct Plan,890.55,1.56,21,2.19,30,10.38,1,9.68,20,13.17,14,18.9,28,25.08,35,26.74,32,42.94,26,31.17,29,17.18,27,24.7,6,-,-,-,-,-,-,-,-,17.45,-,19.27,26
Franklin India Opportunities Fund - Direct Plan,3933.36,0.62,38,2.92,10,6.58,12,13.14,4,21.4,1,35.39,1,57.91,1,58.68,1,79.45,1,56.41,1,32.08,3,27.68,3,21.15,2,19.62,1,-,-,-,-,19.79,-,35.33,1
HDFC Housing Opportunities Fund - Direct Plan,1444.4,1.09,35,2.7,14,4.35,31,10.87,13,14.8,9,23.77,14,47.26,8,47.66,7,63.11,4,48.08,5,28.7,7,20.61,18,-,-,-,-,-,-,-,-,15.62,-,24.42,13
HSBC Business Cycles Fund - Direct Plan,856.13,1.79,17,3.08,7,5.52,19,12.54,6,18.98,2,33.65,4,47.58,7,47.61,8,55.59,9,44.18,6,27.95,8,22.34,13,16.64,11,-,-,-,-,-,-,16.61,-,33.17,4
ICICI Prudential Business Cycle Fund - Direct Plan,9663.24,1.33,29,2.6,17,2.91,35,6.66,34,8.52,32,23.51,16,40.68,14,39.85,14,49.46,14,37.93,17,26.93,9,-,-,-,-,-,-,-,-,-,-,28.33,-,22.94,16
ICICI Prudential Commodities Fund - Direct Plan,2370.77,2.87,3,3.21,4,5.04,24,8.53,28,12.13,20,23.66,15,39.88,15,39.84,15,50.62,13,42.58,8,26.25,11,-,-,-,-,-,-,-,-,-,-,38.36,-,23.27,15
