Daily Competition Returns Comparison Report as of 03-Jul-24,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
Scheme,AUM(Rs Cr),7 days,Rank,14 days,Rank,30 days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,29/09/23 to 03/07/24,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,12 year,Rank,15 year,Rank,Inception,Rank,YTD,Rank
Aditya Birla Sun Life Pharma & Healthcare Fund - Direct Plan,683.18,1.3,7,-0.07,8,4.3,7,3.25,8,3.32,8,13.25,6,29.85,4,29.34,4,46.07,4,30.84,7,14.29,6,-,-,-,-,-,-,-,-,-,-,24.3,-,16.5,6
DSP Healthcare Fund - Direct Plan,2363.39,2.99,1,1.66,2,6.78,1,4.01,6,4.3,5,13.38,5,30.76,3,30.55,3,44.88,6,33.91,3,16.77,2,29.92,1,-,-,-,-,-,-,-,-,26.33,-,15.6,7
ICICI Prudential Pharma Healthcare and Diagnostics (P.H.D) Fund - Direct Plan,3925.29,1.93,3,1.81,1,6.13,4,6.13,1,6.48,1,17.28,1,35.22,1,34.7,1,51.79,1,35.31,1,17.22,1,28.72,3,-,-,-,-,-,-,-,-,23.21,-,20.86,1
Mirae Asset Healthcare Fund - Direct Plan,2201.96,2.3,2,1.42,3,6.19,3,5.23,3,5.43,3,13.74,4,28.69,7,27.78,8,45.08,5,29.48,8,14.69,5,28.81,2,-,-,-,-,-,-,-,-,23.88,-,16.89,4
Nippon India Pharma Fund - Direct Plan,7160.93,1.28,8,0.37,7,3.93,8,4.41,5,4.21,6,11.16,8,28.68,8,28.23,7,43.87,7,31.67,5,14.14,7,27.03,5,20.56,1,17.29,1,-,-,-,-,18.55,-,14.67,8
SBI Healthcare Opportunities Fund - Direct Plan,2612.73,1.48,6,0.95,6,6.06,5,3.9,7,4.2,7,14.59,3,29.11,6,29.19,5,41.93,8,35.3,2,16.54,3,28.28,4,17.44,3,15.79,2,-,-,-,-,18.08,-,17.81,3
Tata India Pharma & Healthcare Fund - Direct Plan,899.17,1.81,4,1.2,4,5.92,6,4.57,4,5.22,4,14.94,2,32.82,2,32.01,2,48.37,2,32.49,4,16.48,4,26.77,6,19.02,2,-,-,-,-,-,-,13.93,-,18.1,2
UTI Healthcare Fund - Direct Plan,938.43,1.8,5,1.01,5,6.64,2,5.74,2,5.99,2,13.22,7,29.56,5,29.06,6,46.83,3,31.14,6,13.49,8,25.74,7,17.13,4,14.35,3,-,-,-,-,16.09,-,16.51,5
