Daily Competition Returns Comparison Report as of 03-Jul-24,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
Scheme,AUM(Rs Cr),7 days,Rank,14 days,Rank,30 days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,29/09/23 to 03/07/24,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,12 year,Rank,15 year,Rank,Inception,Rank,YTD,Rank
Aditya Birla Sun Life Retirement Fund - The 30s Plan - Direct Plan,374.66,1.13,8,2.26,6,3.85,7,9.46,6,12.43,4,17.93,8,28.19,8,28.12,8,34.99,8,27.91,6,15.74,6,15.26,5,-,-,-,-,-,-,-,-,14.52,-,17.24,8
Axis Retirement Savings Fund - Dynamic Plan - Direct Plan,346.79,1.4,6,2.37,5,5.45,5,9.01,7,10.14,8,20.45,3,32.46,3,32.55,4,36.1,6,26.07,7,14.86,7,-,-,-,-,-,-,-,-,-,-,16.9,-,20.02,3
HDFC Retirement Savings Fund Equity Plan - Direct Plan,5159.41,1.29,7,2.04,7,5.21,6,9.54,5,11.18,7,18.88,6,32.13,5,31.93,6,39.79,5,36.41,3,24.74,2,24.83,1,19.97,1,-,-,-,-,-,-,22.69,-,18.78,6
ICICI Prudential Retirement Fund - Pure Equity Plan - Direct Plan,795.85,1.56,4,1.81,8,2.58,8,7.9,8,11.21,6,24.67,1,45.5,1,45.05,1,58.03,1,39.38,1,32.51,1,24.83,2,-,-,-,-,-,-,-,-,24.75,-,24.71,1
Nippon India Retirement Fund - Wealth Creation Scheme - Direct Plan,3102.31,2.05,3,3.86,1,6.27,2,11.26,3,13.66,2,22.04,2,35.59,2,35.58,2,47.03,2,36.71,2,23.17,4,16.99,4,14.12,3,-,-,-,-,-,-,13.18,-,21.33,2
SBI Retirement Benefit Fund - Aggressive Plan - Direct Plan,2413.54,1.43,5,2.72,4,5.9,3,12.66,1,13.64,3,18.82,7,28.99,7,28.74,7,35,7,31.69,5,23.39,3,-,-,-,-,-,-,-,-,-,-,25.36,-,17.48,7
Tata Retirement Savings Fund - Progressive Plan - Direct Plan,1866.16,2.14,1,2.89,3,6.5,1,11.54,2,14.73,1,19.69,4,32.44,4,32.59,3,42.33,3,31.89,4,18.92,5,18.39,3,15.85,2,16.95,1,-,-,-,-,17.27,-,18.91,4
Union Retirement Fund - Direct Plan,126.74,2.08,2,3.83,2,5.78,4,9.69,4,12.2,5,19.26,5,31.74,6,31.96,5,41.97,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28.96,-,18.9,5
