Daily Competition Returns Comparison Report as of 03-Jul-24,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
Scheme,AUM(Rs Cr),7 days,Rank,14 days,Rank,30 days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,29/09/23 to 03/07/24,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,12 year,Rank,15 year,Rank,Inception,Rank,YTD,Rank
Aditya Birla Sun Life Small Cap Fund - Direct Plan,4762.46,2.56,6,4.11,6,10.27,6,12.72,10,17.84,8,22.38,10,33.4,12,33.87,12,50.17,8,39.57,10,21.41,18,22.77,16,14.55,12,17.31,12,-,-,-,-,19.04,-,22.74,10
Axis Small Cap Fund - Direct Plan,20504.37,2.7,4,3.17,12,8.76,14,12.95,8,15.07,17,20.87,13,32.12,14,32.76,14,43.37,19,36.44,17,26.15,13,30.18,9,23.52,2,22.15,4,-,-,-,-,26.06,-,19.88,14
Bandhan Small Cap Fund - Direct Plan,5165.54,3.24,2,4.58,2,10.49,4,12.01,14,18.15,6,28.54,1,50.57,1,51.52,1,76.39,1,50.53,3,29.68,6,-,-,-,-,-,-,-,-,-,-,41.54,-,29.77,1
Canara Robeco Small Cap Fund - Direct Plan,10429.89,2.31,9,3.24,11,8.88,13,14.54,3,17.3,11,22.36,11,35.29,10,36.01,10,48.22,10,37.25,14,29.93,5,33.68,2,-,-,-,-,-,-,-,-,31.35,-,22.6,11
DSP Small Cap Fund - Direct Plan,13781.07,1.63,18,3.94,7,12.23,2,11.61,15,15.61,16,17.34,17,30.38,17,31.08,17,45.48,16,38.3,11,26.42,12,28.88,13,18.33,10,21.92,5,-,-,-,-,23.73,-,18.08,16
Edelweiss Small Cap Fund - Direct Plan,3421.55,1.99,13,2.46,20,9.69,9,12.34,12,16.03,14,20.96,12,35.76,9,37.08,8,52.73,7,43.04,8,28.99,8,33.31,3,-,-,-,-,-,-,-,-,33.23,-,20.97,12
Franklin India Smaller Companies Fund - Direct Plan,12797.29,1.6,19,3.14,14,9.09,11,13.78,5,19.8,2,25.33,5,44.3,4,45.32,4,62.99,3,52.51,1,33.31,2,29.08,12,20.07,8,21.52,7,-,-,-,-,24.02,-,25.78,7
HDFC Small Cap Fund - Direct Plan,29175.05,1.77,17,2.92,15,8.39,17,8.5,20,11.42,20,17.52,16,28.8,18,29.89,18,44.41,18,45.38,6,27.76,10,27.31,15,21.61,5,21.57,6,-,-,-,-,21.7,-,17.7,17
HSBC Small Cap Fund- Direct Plan,14787.25,1.94,14,3.54,10,9.91,7,13.93,4,19.49,4,26.54,2,39.65,6,40.42,6,59.27,6,46.41,4,32.71,3,30.67,7,21.29,6,21.38,8,-,-,-,-,23.9,-,25.84,6
ICICI Prudential Smallcap Fund - Direct Plan,7795.29,2.56,5,3.84,8,8.67,15,12.9,9,15.81,15,20.43,14,33.03,13,33.48,13,45.81,15,37.5,12,27.9,9,30.16,10,20.83,7,18.97,9,-,-,-,-,19.84,-,20.68,13
Invesco India Smallcap Fund - Direct Plan,4581.33,2.02,12,2.81,16,8.92,12,13.1,7,17.32,10,25.2,6,45.18,3,46.28,3,59.7,5,46.28,5,29.15,7,31.81,6,-,-,-,-,-,-,-,-,29,-,25.27,8
Kotak Small Cap Fund - Direct Plan,15282.62,1.56,20,3.16,13,9.77,8,15.62,1,20.27,1,23.19,9,36.56,8,36.87,9,47.74,12,36.97,15,25.28,16,32.01,5,22.09,4,22.58,3,-,-,-,-,22.4,-,23.83,9
Mahindra Manulife Small Cap Fund - Direct Plan,4131.27,3.61,1,4.69,1,7.7,19,11.2,17,17.34,9,26.33,3,47.72,2,48.82,2,70.99,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57.51,-,27.77,2
Nippon India Small Cap Fund - Direct Plan,51566.11,2.9,3,3.59,9,9.44,10,13.42,6,19.65,3,26.16,4,42.51,5,43.18,5,60.68,4,50.66,2,34.7,1,35.6,1,25.74,1,25.61,2,-,-,-,-,28.32,-,26.52,3
PGIM India Small Cap Fund - Direct Plan,1403.38,1.88,16,2.59,18,10.45,5,9.41,18,13.7,18,16.38,20,26.61,20,27.81,19,37.76,20,28.65,19,-,-,-,-,-,-,-,-,-,-,-,-,18.06,-,16.05,20
SBI Small Cap Fund - Direct Plan,28375.34,2.13,11,2.55,19,8.55,16,12.36,11,16.82,12,25.17,8,33.73,11,34.15,11,46.32,14,37.37,13,25.79,14,29.62,11,23.18,3,25.72,1,-,-,-,-,27.08,-,25.84,5
Sundaram Small Cap Fund - Direct Plan,3108.53,2.29,10,2.72,17,7.5,20,8.62,19,12.2,19,16.77,19,31.22,16,32.01,16,48.02,11,40.86,9,26.47,11,27.71,14,16.51,11,18.52,10,-,-,-,-,20.26,-,16.77,19
Tata Small Cap Fund - Direct Plan,7083.38,2.43,8,4.28,3,11.06,3,12.02,13,19,5,25.17,7,37.56,7,38.5,7,49.43,9,44.89,7,30.14,4,33.08,4,-,-,-,-,-,-,-,-,30.17,-,26.31,4
Union Small Cap Fund - Direct Plan,1425.13,1.93,15,4.19,5,8.07,18,11.27,16,16.48,13,17.04,18,26.78,19,27.61,20,46.38,13,36.58,16,24.56,17,30.36,8,19.6,9,17.6,11,-,-,-,-,17.95,-,17.51,18
UTI Small Cap Fund - Direct Plan,3773.05,2.53,7,4.27,4,12.29,1,14.82,2,17.9,7,18.57,15,31.63,15,32.24,15,44.83,17,36.26,18,25.35,15,-,-,-,-,-,-,-,-,-,-,31.71,-,18.8,15
