Daily Competition Returns Comparison Report as of 03-Jul-24,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
Scheme,AUM(Rs Cr),7 days,Rank,14 days,Rank,30 days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,29/09/23 to 03/07/24,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,12 year,Rank,15 year,Rank,Inception,Rank,YTD,Rank
Aditya Birla Sun Life Pure Value Fund - Direct Plan,5775.03,2.49,1,3.9,1,6.61,2,7.94,10,9.33,10,18.43,11,34.43,9,34.52,9,53.27,4,42.78,2,24.22,7,21.08,8,14.36,10,15.01,8,-,-,-,-,19.3,-,18.76,9
Bandhan Sterling Value Fund - Direct Plan,9019.36,1.59,7,2.38,8,5.37,4,9.17,8,11.12,9,21.51,6,33.93,10,33.94,10,44.46,8,37.51,7,26.15,6,25.36,2,18.63,4,18.65,2,-,-,-,-,19.24,-,21.32,5
Canara Robeco Value Fund - Direct Plan,1183.15,1.84,3,2.62,6,4.16,11,9.32,7,11.86,8,19.25,9,35.13,8,35.33,8,42.52,11,37.58,6,-,-,-,-,-,-,-,-,-,-,-,-,24.89,-,18.65,10
HDFC Capital Builder Value Fund - Direct Plan,6823.27,0.97,11,2.2,10,5.28,6,10.66,3,13.58,4,21.35,7,38.92,5,38.68,4,46.88,7,36.6,8,23.67,8,20.49,9,16.89,8,16.42,7,-,-,-,-,17.94,-,21.18,7
HSBC Value Fund - Direct Plan,12373.16,1.38,9,2.59,7,5.34,5,12.24,2,15.45,3,28.07,1,44.97,3,45.42,1,62.7,1,47.62,1,29.71,1,25.49,1,18.92,3,19.87,1,-,-,-,-,21.82,-,27.83,1
ICICI Prudential Value Discovery Fund - Direct Plan,42669.05,1.71,6,3.16,4,4.76,9,7.53,11,8.59,11,18.43,10,32.92,11,31.85,11,43.34,9,35.51,9,26.83,5,24.6,5,19.04,2,17.66,5,-,-,-,-,19.88,-,18.52,11
Nippon India Value Fund - Direct Plan,7651.64,1.54,8,2.29,9,4.23,10,9.07,9,12.77,7,21.32,8,45.5,1,44.96,3,57.04,2,42.06,3,27.16,4,24.61,4,19.83,1,18.15,3,-,-,-,-,18.28,-,21.25,6
Quantum Long Term Equity Value Fund - Direct Plan,1084.59,1.19,10,2.14,11,6.38,3,10.49,5,13.25,6,22.07,5,36.5,7,35.77,7,43.25,10,32.62,11,20.19,10,17.63,10,14.36,9,13.56,10,15.51,1,15.81,1,14.85,-,21.05,8
Tata Equity PE Fund - Direct Plan,7904.83,2.41,2,3.69,2,5.01,8,10.39,6,15.79,2,24.85,2,45.47,2,45.01,2,53.72,3,41.68,4,28.04,3,22.7,6,17.67,7,17.93,4,-,-,-,-,19.59,-,24.85,2
Templeton India Value Fund - Direct Plan,1978.03,1.82,4,2.96,5,5.06,7,10.61,4,13.35,5,22.52,4,39.04,4,38.39,5,50.46,5,41.58,5,28.81,2,25.22,3,18.31,5,17.36,6,-,-,-,-,17.56,-,22.64,3
UTI Value Fund - Direct Plan,9125.24,1.8,5,3.48,3,8.12,1,14.07,1,17.16,1,23.4,3,38.31,6,38.11,6,47.01,6,34.73,10,21.71,9,22.05,7,18.03,6,14.98,9,-,-,-,-,15.79,-,22.62,4
