Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
-,-,-,-,-,-,-,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,--,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,--,--
Scheme Name,NAV,NAV Date,Average Maturity in Days(Latest),Average Maturity in Days(Latest) Date,Corpus (In crs.),Corpus (In crs.) Date,1 Day,1 Day Rank,1 Week,1 Week Rank,2 Weeks,2 Weeks Rank,1 Month,1 Month Rank,2 Months,2 Months Rank,3 Months,3 Months Rank,6 Months,6 Months Rank,9 months,9 months Rank,1 Year,1 Year Rank,2 Years,2 Years Rank,3 Years,3 Years Rank,4 year ,4 year  Rank,5 Years,5 Years Rank,7 Year,7 Year Rank,10 Years,10 Years Rank,Since Inception,Since Inception Rank
Bandhan Government Securities Fund Constant Maturity Plan - Reg - Growth,41.58,03-Jul-2024,3708.4,Jun 2024,330.9559, Jun 2024 ,30.49,1,7.77,1,4.96,1,5.88,1,12.55,1,9.25,1,10.35,1,9.48,1,7.74,1,8.14,1,4.96,3,4.55,3,6.53,2,7.91,1,8.48,1,6.59,5
DSP 10Y G-Sec Fund - Reg - Growth,19.91,03-Jul-2024,3525.9,Jun 2024,52.7862, Jun 2024 ,27.7,2,5.16,5,1.8,5,2.15,5,11.2,3,8.53,3,9.15,5,8.57,4,7.15,4,7.92,4,3.78,4,3.74,4,5.74,4,5.65,4,--,--,7.3,4
ICICI Prudential Constant Maturity Gilt Fund - Reg - Growth,22.41,03-Jul-2024,3496.7,Jun 2024,2308.307, Jun 2024 ,26.25,3,6.45,2,4.16,3,3.5,3,11,5,8.42,4,9.18,3,8.64,3,7.22,3,8.02,2,5.21,2,4.96,1,6.92,1,7.37,2,--,--,8.57,1
SBI Magnum Constant Maturity Fund - Growth  ,58.13,03-Jul-2024,3555.1,Jun 2024,1634.1247, Jun 2024 ,24.88,5,6.3,3,4.18,2,4.3,2,11.49,2,8.6,2,9.45,2,8.78,2,7.25,2,7.99,3,5.27,1,4.71,2,6.3,3,7.27,3,8.36,2,7.76,2
UTI Gilt Fund with 10 year Constant Duration - Reg - Growth,11.5,03-Jul-2024,3540.5,Jun 2024,162.4182, Jun 2024 ,26.04,4,5.9,4,3.22,4,2.86,4,11.08,4,8.35,5,9.18,4,8.48,5,7.06,5,--,--,--,--,--,--,--,--,--,--,--,--,7.55,3
--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Minimum,--,--,--,--,--,--,24.88,--,5.16,--,1.8,--,2.15,--,11,--,8.35,--,9.15,--,8.48,--,7.06,--,7.92,--,3.78,--,3.74,--,5.74,--,5.65,--,8.36,--,6.59,--
Maximum,--,--,--,--,--,--,30.49,--,7.77,--,4.96,--,5.88,--,12.55,--,9.25,--,10.35,--,9.48,--,7.74,--,8.14,--,5.27,--,4.96,--,6.92,--,7.91,--,8.48,--,8.57,--
Average,--,--,--,--,--,--,27.07,--,6.32,--,3.66,--,3.74,--,11.46,--,8.63,--,9.46,--,8.79,--,7.28,--,8.02,--,4.81,--,4.49,--,6.37,--,7.05,--,8.42,--,7.55,--
"* Less than 1 year Simple Annualized returns, Greater than or Equal to 1 year Compound Annualized returns",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
