Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
-,-,-,-,-,-,-,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,--,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,--,--
Scheme Name,NAV,NAV Date,Average Maturity in Days(Latest),Average Maturity in Days(Latest) Date,Corpus (In crs.),Corpus (In crs.) Date,1 Day,1 Day Rank,1 Week,1 Week Rank,2 Weeks,2 Weeks Rank,1 Month,1 Month Rank,2 Months,2 Months Rank,3 Months,3 Months Rank,6 Months,6 Months Rank,9 months,9 months Rank,1 Year,1 Year Rank,2 Years,2 Years Rank,3 Years,3 Years Rank,4 year ,4 year  Rank,5 Years,5 Years Rank,7 Year,7 Year Rank,10 Years,10 Years Rank,Since Inception,Since Inception Rank
Aditya Birla Sun Life Banking & PSU Debt Fund - Reg - Growth,337.76,03-Jul-2024,1562.2,Jun 2024,9396.9606, Jun 2024 ,13.24,7,9.27,8,7.38,3,6.79,6,8.64,2,7.13,4,7.6,9,7.36,5,7.05,5,6.77,6,5.52,4,5.43,5,6.69,7,6.81,6,7.77,1,7.81,3
Axis Banking & PSU Debt Fund - Growth,2428.32,03-Jul-2024,1317.65,Jun 2024,13685.8664, Jun 2024 ,10.23,12,7.31,17,6.73,12,6.26,13,7.17,20,6.27,19,7.05,20,6.86,20,6.7,15,6.26,20,5.25,12,5.11,11,6.41,10,6.88,4,7.31,7,7.62,5
Bandhan Banking & PSU Debt Fund - Reg - Growth,22.73,03-Jul-2024,1091.35,Jun 2024,14109.0995, Jun 2024 ,15.26,3,9.7,3,6.73,11,6.59,7,8.01,14,6.78,9,7.19,18,7.02,15,6.76,11,6.53,12,5.32,11,5.22,8,6.74,4,7.04,2,7.29,8,7.52,7
Baroda BNP Paribas Banking and PSU Bond Fund - Reg - Growth,11.62,03-Jul-2024,1784.85,Jun 2024,27.7653, Jun 2024 ,-6.59,21,4.35,21,6.79,10,5.52,19,8.41,6,6.03,21,7.55,13,6.9,19,6.51,21,6.28,19,4.64,18,--,--,--,--,--,--,--,--,4.34,21
Canara Robeco Banking and PSU Debt Fund - Reg - Growth,11.19,03-Jul-2024,1518.4,Jun 2024,346.5532, Jun 2024 ,7.83,14,6.11,20,6.24,17,6.2,15,7.98,15,6.8,8,7.58,12,7.02,14,6.69,17,--,--,--,--,--,--,--,--,--,--,--,--,6.2,17
DSP Banking & PSU Debt Fund - Reg - Growth,22.19,03-Jul-2024,3525.9,Jun 2024,2427.4935, Jun 2024 ,18.93,1,9.89,2,8.85,1,8.63,1,10.13,1,7.4,1,8.93,1,7.96,1,7.4,2,6.85,4,5.45,6,5.19,9,6.64,9,6.68,9,7.4,6,7.65,4
Edelweiss Banking & PSU Debt Fund - Reg - Growth,22.61,03-Jul-2024,1850.55,Jun 2024,274.9691, Jun 2024 ,16.47,2,8.78,10,6.79,9,6.22,14,8.52,4,6.21,20,7.76,5,7.14,12,6.55,20,7.19,2,5.34,9,5.33,6,7.16,1,7.3,1,7.66,2,7.84,2
Franklin India Banking & PSU Debt Fund - Growth,20.7,03-Jul-2024,1197.2,Jun 2024,618.1552, Jun 2024 ,10.76,9,9.54,4,7.71,2,6.81,5,7.56,18,6.66,11,7.34,16,7.11,13,6.92,9,6.69,10,5.32,10,5.11,10,6.36,11,6.74,7,7.29,9,7.4,9
HDFC Banking and PSU Debt Fund - Reg - Growth,21.19,03-Jul-2024,1730.1,Jun 2024,6013.1288, Jun 2024 ,10.34,10,8.33,14,6.93,7,6.36,10,8.35,8,6.74,10,7.6,10,7.22,9,7.02,6,6.77,7,5.37,8,5.46,4,6.65,8,6.72,8,7.52,4,7.58,6
HSBC Banking and PSU Debt Fund - Growth,22.41,03-Jul-2024,653.35,Jun 2024,4681.6316, Jun 2024 ,10.26,11,9.35,7,7.12,6,6.96,3,7.42,19,6.57,15,7.05,19,6.97,18,6.65,18,6.51,13,4.52,20,4.53,15,6.06,13,6.18,13,6.81,12,7.07,13
ICICI Prudential Banking & PSU Debt Fund - Reg - Growth,30.2,03-Jul-2024,1814.05,Jun 2024,9017.6376, Jun 2024 ,14.02,5,8.91,9,6.26,16,6.58,8,8.21,10,7.21,2,7.76,4,7.36,4,7.45,1,7.42,1,6,2,5.88,2,6.76,3,6.66,10,7.65,3,7.91,1
Invesco India Banking and PSU Fund - Growth,2086.6,03-Jul-2024,2054.95,Jun 2024,100.9055, Jun 2024 ,7.34,15,9.43,5,6.89,8,5.9,17,8.6,3,6.63,13,8.21,2,7.72,2,7.17,3,6.68,11,4.53,19,4.47,16,5.74,16,6.12,14,6.41,15,6.59,16
ITI Banking & PSU Debt Fund - Reg - Growth,12.07,03-Jul-2024,1160.7,Jun 2024,30.2407, Jun 2024 ,13.91,6,8.65,12,5.56,21,5.47,20,8.23,9,6.64,12,7.82,3,7.35,6,7.01,7,6.5,14,5.52,5,--,--,--,--,--,--,--,--,5.22,18
