Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
-,-,-,-,-,-,-,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,--,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,--,--
Scheme Name,NAV,NAV Date,Average Maturity in Days(Latest),Average Maturity in Days(Latest) Date,Corpus (In crs.),Corpus (In crs.) Date,1 Day,1 Day Rank,1 Week,1 Week Rank,2 Weeks,2 Weeks Rank,1 Month,1 Month Rank,2 Months,2 Months Rank,3 Months,3 Months Rank,6 Months,6 Months Rank,9 months,9 months Rank,1 Year,1 Year Rank,2 Years,2 Years Rank,3 Years,3 Years Rank,4 year ,4 year  Rank,5 Years,5 Years Rank,7 Year,7 Year Rank,10 Years,10 Years Rank,Since Inception,Since Inception Rank
Aditya Birla Sun Life Corporate Bond Fund - Reg - Growth,103.7,03-Jul-2024,2113.35,Jun 2024,20005.5476, Jun 2024 ,14.47,2,8.89,6,7.09,5,6.89,2,9.29,1,7.7,1,8.37,1,7.87,1,7.64,1,7.44,3,5.93,3,5.92,3,7.15,1,7.24,1,7.87,1,8.93,1
Axis Corporate Debt Fund - Reg - Growth,15.66,03-Jul-2024,1770.25,Jun 2024,5386.5158, Jun 2024 ,12.35,7,7.43,13,6.93,8,6.25,11,8.42,8,6.9,9,7.72,9,7.34,8,7.04,8,6.83,10,5.48,6,5.6,5,6.94,4,--,--,--,--,6.64,17
Bandhan Corporate Bond Fund - Reg - Growth,17.68,03-Jul-2024,1456.35,Jun 2024,13585.899, Jun 2024 ,16.94,1,9.22,3,6.37,13,6.06,12,8.46,5,7.01,6,6.83,21,6.8,20,6.79,14,6.49,14,5.08,13,5.1,12,6.38,13,6.48,9,--,--,6.95,11
Baroda BNP Paribas Corporate Bond Fund - Regular - Growth,29.07,03-Jul-2024,1956.4,Jun 2024,149.7994, Jun 2024 ,4.02,20,4.96,21,6.35,14,5.5,20,8.14,13,6.35,20,7.83,6,7.3,9,6.85,11,6.85,8,4.74,18,4.69,16,6.02,17,4.82,13,6.1,12,7.05,8
Canara Robeco Corporate Bond Fund - Reg - Growth,20.18,03-Jul-2024,1762.95,Jun 2024,141.6922, Jun 2024 ,11.76,8,6.57,18,5.84,19,6.48,7,7.59,19,6.67,15,7.33,16,6.9,17,6.46,20,6.11,20,4.78,17,4.67,17,5.81,18,5.93,11,6.75,10,6.98,10
DSP Corporate Bond Fund - Reg - Growth,14.72,03-Jul-2024,967.25,Jun 2024,2642.7036, Jun 2024 ,12.65,6,8.34,8,6.93,7,6.89,3,7.67,17,6.58,16,7.32,17,7.09,14,6.76,15,6.85,9,4.67,19,4.64,18,6.06,15,--,--,--,--,6.87,13
Franklin India Corporate Debt Fund - Growth,90.7,03-Jul-2024,1043.9,Jun 2024,782.9515, Jun 2024 ,9.26,12,9.21,4,7.09,4,6.42,8,7.37,20,6.72,14,7.02,20,6.84,19,6.64,16,6.37,16,5.12,12,5.35,7,6.03,16,6.51,8,7.44,6,8.49,2
HDFC Corporate Bond Fund - Growth,29.9,03-Jul-2024,2044,Jun 2024,29024.2981, Jun 2024 ,6.59,17,7.54,11,7.18,3,6.85,4,8.77,3,7.35,4,8.35,2,7.61,3,7.6,3,7.46,2,5.73,4,5.66,4,6.98,3,7.09,2,7.79,2,8.12,3
HSBC Corporate Bond Fund - Reg - Growth,67.09,03-Jul-2024,1627.9,Jun 2024,5957.1125, Jun 2024 ,7.07,16,9.27,2,7.24,1,6.34,9,8.53,4,6.44,18,7.65,11,7.17,13,6.61,17,7.06,5,5.16,11,4.94,14,6.77,7,6.98,4,7.22,8,7.23,6
ICICI Prudential Corporate Bond Fund - Reg - Growth,27.46,03-Jul-2024,1481.9,Jun 2024,26684.8716, Jun 2024 ,12.77,5,8.92,5,6.57,10,6.59,5,8.13,14,7.41,2,7.78,7,7.45,6,7.61,2,7.64,1,6.11,1,5.96,2,7.07,2,7.04,3,7.6,5,7.01,9
Invesco India Corporate Bond Fund - Growth,2919.04,03-Jul-2024,1748.35,Jun 2024,3529.3938, Jun 2024 ,9.12,13,7.49,12,6.25,16,6.01,14,8.44,6,6.95,8,7.74,8,7.41,7,7.04,7,6.66,12,5.18,10,5.1,11,6.45,10,5.85,12,6.8,9,6.53,18
Kotak Corporate Bond Fund - Std - Growth,3461.53,03-Jul-2024,1898,Jun 2024,12722.8717, Jun 2024 ,8.69,14,6.63,17,5.9,17,5.86,16,8.23,9,7.22,5,7.9,5,7.55,4,7.27,4,6.93,6,5.6,5,5.53,6,6.52,9,6.85,5,7.78,3,7.67,4
Mirae Asset Corporate Bond Fund - Reg - Growth,11.75,03-Jul-2024,1744.7,Jun 2024,44.2095, Jun 2024 ,4.35,19,8.36,7,6.3,15,5.72,17,8.02,16,6.77,13,7.7,10,6.97,16,6.54,19,6.4,15,4.97,15,--,--,--,--,--,--,--,--,5.01,21
