Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
-,-,-,-,-,-,-,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,--,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,--,--
Scheme Name,NAV,NAV Date,Average Maturity in Days(Latest),Average Maturity in Days(Latest) Date,Corpus (In crs.),Corpus (In crs.) Date,1 Day,1 Day Rank,1 Week,1 Week Rank,2 Weeks,2 Weeks Rank,1 Month,1 Month Rank,2 Months,2 Months Rank,3 Months,3 Months Rank,6 Months,6 Months Rank,9 months,9 months Rank,1 Year,1 Year Rank,2 Years,2 Years Rank,3 Years,3 Years Rank,4 year ,4 year  Rank,5 Years,5 Years Rank,7 Year,7 Year Rank,10 Years,10 Years Rank,Since Inception,Since Inception Rank
Aditya Birla Sun Life Credit Risk Fund - Reg - Growth,19.19,03-Jul-2024,1343.2,Jun 2024,920.6397, Jun 2024 ,15.99,2,8.22,1,6.33,7,14.83,1,12.66,1,10.18,1,9.11,1,8.25,4,7.76,5,8.67,3,7.11,6,7.71,5,6.78,7,6.51,5,--,--,7.32,6
Axis Credit Risk Fund - Growth,19.68,03-Jul-2024,1036.6,Jun 2024,448.1663, Jun 2024 ,11.32,9,6.42,11,6.95,3,6.57,7,8.02,8,7.25,5,7.71,8,7.42,10,7.17,9,7,8,5.9,10,6.35,11,6.69,8,6.01,6,--,--,7.02,7
Bandhan Credit Risk Fund - Reg - Growth,15.26,03-Jul-2024,1522.05,Jun 2024,343.503, Jun 2024 ,13.88,4,7.15,6,6.76,6,6.7,4,8.27,5,7.2,7,7.26,11,7.04,11,6.48,13,6.21,13,4.94,13,5.1,14,5.7,11,5.77,8,--,--,5.93,11
Bank of India Credit Risk Fund - Reg - Growth,11.51,03-Jul-2024,193.45,Jun 2024,126.7163, Jun 2024 ,8.25,14,-5.39,14,-0.23,14,2.87,14,2.53,14,3.28,14,6.71,14,6.27,14,6.19,14,5.71,14,39.19,1,32.56,1,10.37,1,-1.28,14,--,--,1.51,14
Baroda BNP Paribas Credit Risk Fund - Reg - Growth,20.39,03-Jul-2024,967.25,Jun 2024,142.4574, Jun 2024 ,12.53,6,5.91,12,6.19,9,6.62,6,7.79,11,7.21,6,7.72,6,7.53,8,7.4,8,7.37,6,9.04,4,10.41,2,7.64,2,6.84,3,--,--,7.83,3
DSP Credit Risk Fund - Reg - Growth,40.43,03-Jul-2024,1208.15,Jun 2024,193.1595, Jun 2024 ,12.91,5,7.72,4,6.79,5,6.29,8,8.05,6,7.26,4,7.57,9,18.17,1,15.47,1,10.85,1,9.73,3,8.76,3,7.62,3,5.71,9,6.87,5,6.83,9
HDFC Credit Risk Debt Fund - Reg - Growth,22.14,03-Jul-2024,1186.25,Jun 2024,7859.265, Jun 2024 ,12.04,8,6.81,10,5.65,11,5.98,10,8.01,9,6.35,11,7.72,7,7.49,9,7.16,10,6.99,9,5.8,11,6.87,8,7.33,5,6.96,2,7.89,2,8.04,2
HSBC Credit Risk Fund - Growth,26.65,03-Jul-2024,1087.7,Jun 2024,570.1587, Jun 2024 ,12.47,7,7.46,5,6.84,4,6.07,9,7.53,12,6.89,10,6.86,13,6.53,13,6.68,11,6.46,12,5.7,12,6.49,10,4.98,12,4.92,10,6.36,6,6.87,8
ICICI Prudential Credit Risk Fund - Growth,29.1,03-Jul-2024,959.95,Jun 2024,6763.3916, Jun 2024 ,11.04,10,8.17,2,5.8,10,4.86,12,8.96,3,6.96,8,7.88,4,8.23,5,7.81,4,7.34,7,6.4,8,6.93,6,7.53,4,7.32,1,7.91,1,8.18,1
Invesco India Credit Risk Fund - Reg - Growth,1754.5,03-Jul-2024,1332.25,Jun 2024,140.8288, Jun 2024 ,13.91,3,7.73,3,6.28,8,5.76,11,7.91,10,6.93,9,7.27,10,9.16,2,8.26,2,8.78,2,6.35,9,5.7,12,6.34,9,4.31,12,--,--,5.88,12
Kotak Credit Risk Fund - Reg - Growth,27.35,03-Jul-2024,1091.35,Jun 2024,795.3202, Jun 2024 ,21.37,1,7.04,9,5.21,12,6.64,5,8.84,4,6.32,12,8.46,2,8.74,3,8.12,3,6.73,10,4.77,14,5.38,13,5.72,10,5.94,7,6.99,4,7.37,5
Nippon India Credit Risk Fund - Reg - Growth,32.02,03-Jul-2024,799.35,Jun 2024,1027.3188, Jun 2024 ,10.26,11,7.08,7,7.72,1,7.32,3,8.03,7,7.45,3,7.8,5,7.56,7,7.59,6,7.54,5,8.5,5,8.55,4,4.88,13,4.77,11,6.12,7,6.29,10
SBI Credit Risk Fund - Growth,42.06,03-Jul-2024,1379.7,Jun 2024,2433.8631, Jun 2024 ,9.98,12,7.08,8,7.35,2,12.31,2,10.19,2,8.64,2,8.2,3,7.72,6,7.44,7,7.79,4,6.46,7,6.66,9,7.09,6,6.68,4,7.67,3,7.46,4
