Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
-,-,-,-,-,-,-,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,--,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,--,--
Scheme Name,NAV,NAV Date,Average Maturity in Days(Latest),Average Maturity in Days(Latest) Date,Corpus (In crs.),Corpus (In crs.) Date,1 Day,1 Day Rank,1 Week,1 Week Rank,2 Weeks,2 Weeks Rank,1 Month,1 Month Rank,2 Months,2 Months Rank,3 Months,3 Months Rank,6 Months,6 Months Rank,9 months,9 months Rank,1 Year,1 Year Rank,2 Years,2 Years Rank,3 Years,3 Years Rank,4 year ,4 year  Rank,5 Years,5 Years Rank,7 Year,7 Year Rank,10 Years,10 Years Rank,Since Inception,Since Inception Rank
360 ONE Dynamic Bond Fund - Growth,20.55,03-Jul-2024,2489.12,Jun 2024,781.5975, Jun 2024 ,19.73,16,6.61,6,4.91,6,5.84,9,9.8,17,6.93,19,9.6,8,8.86,6,7.89,5,7.28,11,6.12,4,6.27,3,6.54,10,6.35,8,7.12,11,6.75,14
Aditya Birla Sun Life Dynamic Bond Fund - Ret - Growth,42.47,03-Jul-2024,4759.6,Jun 2024,1709.1065, Jun 2024 ,26.66,7,6.75,4,4.61,9,5.29,15,12.41,8,8.84,8,9.07,15,8.31,13,7.38,11,8.71,1,6.59,2,6.56,2,5.58,16,5.09,19,6.8,15,7.58,9
Axis Dynamic Bond Fund - Growth,27.18,03-Jul-2024,6132,Jun 2024,1668.0301, Jun 2024 ,17.73,20,6.09,11,6.39,2,7.12,4,9.88,16,7,18,8.82,18,7.64,18,6.96,17,7.54,10,5.18,13,5.14,10,6.79,4,6.69,3,7.72,5,7.87,4
Bandhan Dynamic Bond Fund - Reg - Growth,31.94,03-Jul-2024,10559.45,Jun 2024,2367.7796, Jun 2024 ,32.83,1,1.75,22,4.47,10,11.42,1,19.2,1,11.7,1,14.19,1,11.62,1,9.2,1,7.84,5,5.33,11,4.75,14,6.63,9,6.5,6,7.81,4,7.73,6
Baroda BNP Paribas Dynamic Bond Fund - Reg - Growth,29.86,03-Jul-2024,3660.95,Jun 2024,150.0934, Jun 2024 ,26.79,5,6.07,12,4.98,5,5.18,16,12.15,11,9.09,6,9.22,14,8.06,14,7.03,16,7.66,8,5.69,8,4.95,11,5.98,13,5.85,12,7.31,9,7.36,12
Canara Robeco Dynamic Bond Fund - Reg - Growth,27.54,03-Jul-2024,8088.4,Jun 2024,113.1246, Jun 2024 ,24.54,12,6.31,10,4.02,14,6.66,8,12.34,9,8.17,13,9.53,10,8.36,12,6.9,18,6.57,17,4.68,17,4.05,20,5.21,19,5.14,18,6.82,13,6.94,13
DSP Strategic Bond Fund - Reg - Growth,3132,03-Jul-2024,10811.3,Jun 2024,965.5622, Jun 2024 ,29.1,2,4.76,18,6.13,3,10.3,2,16.38,2,10.66,2,12.48,2,10.03,2,8.66,2,7.89,4,5.98,6,5.18,8,7.35,3,6.6,4,7.6,6,7.57,10
Groww Dynamic Bond Fund - Reg - Growth,1367.08,03-Jul-2024,1981.95,Jun 2024,38.522, Jun 2024 ,19.66,17,6.39,8,4,16,4.42,18,7,22,5.95,22,6.6,22,6.79,21,5.79,22,5.77,22,4.6,18,4.61,17,5.2,20,--,--,--,--,5.76,19
HDFC Dynamic Debt Fund - Growth,83.07,03-Jul-2024,5230.45,Jun 2024,686.4061, Jun 2024 ,25.9,9,5.18,15,4.02,15,5.83,10,11.85,13,8.42,12,9.29,13,8.5,10,7.69,6,7.19,12,4.83,16,6.03,5,6.65,8,5.23,17,6.8,14,8.09,2
HSBC Dynamic Bond Fund - Reg - GrowthAdjusted NAV (Post merger with L&T Mutual Fund),27.29,03-Jul-2024,4931.15,Jun 2024,159.9676, Jun 2024 ,25.83,10,6.45,7,4.31,11,5.45,12,12.06,12,8.77,9,9.38,11,8.57,9,7.6,8,6.78,13,5.09,14,4.63,16,5.99,12,6.1,9,7.44,8,7.6,8
ICICI Prudential All Seasons Bond Fund - Growth,33.92,03-Jul-2024,2131.6,Jun 2024,12592.6279, Jun 2024 ,17.98,19,6.36,9,5.54,4,4.66,17,9.39,19,7.79,14,7.75,20,7.82,16,7.44,10,7.99,2,6.11,5,6.14,4,7.36,2,7.01,2,8.54,1,8.81,1
ITI Dynamic Bond Fund - Reg - Growth,11.65,03-Jul-2024,3522.25,Jun 2024,54.5755, Jun 2024 ,26.66,8,5.29,14,1.9,22,2.28,21,10.76,14,6.77,20,9.04,16,7.94,15,7.14,14,6.32,21,--,--,--,--,--,--,--,--,--,--,5.27,21
JM Dynamic Bond Fund - Growth,38.14,03-Jul-2024,3367.49,Jun 2024,42.0704, Jun 2024 ,27.96,4,7.87,1,3.95,17,4.22,19,9.94,15,7.36,16,8.14,19,7.57,19,6.65,20,6.44,19,5.34,10,4.91,12,5.42,18,5.94,11,6.7,16,6.57,15
