Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
-,-,-,-,-,-,-,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,--,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,--,--
Scheme Name,NAV,NAV Date,Average Maturity in Days(Latest),Average Maturity in Days(Latest) Date,Corpus (In crs.),Corpus (In crs.) Date,1 Day,1 Day Rank,1 Week,1 Week Rank,2 Weeks,2 Weeks Rank,1 Month,1 Month Rank,2 Months,2 Months Rank,3 Months,3 Months Rank,6 Months,6 Months Rank,9 months,9 months Rank,1 Year,1 Year Rank,2 Years,2 Years Rank,3 Years,3 Years Rank,4 year ,4 year  Rank,5 Years,5 Years Rank,7 Year,7 Year Rank,10 Years,10 Years Rank,Since Inception,Since Inception Rank
Aditya Birla Sun Life Floating Rate Fund - Reg - Growth,321.71,03-Jul-2024,821.25,Jun 2024,12399.8335, Jun 2024 ,8.82,11,9.42,3,8.28,3,7.8,7,7.61,10,7.32,10,7.89,8,7.53,6,7.63,8,7.29,7,6.09,2,5.8,4,6.55,5,6.82,2,7.44,2,7.94,2
Axis Floater Fund - Reg - Growth,1189.47,03-Jul-2024,5548,Jun 2024,256.0936, Jun 2024 ,25.29,1,6.77,13,5.03,13,6.24,13,13.17,1,9.86,1,9.83,1,9.11,1,8.27,2,7.54,4,--,--,--,--,--,--,--,--,--,--,6.1,7
Bandhan Floating Rate Fund - Reg - Growth,11.84,03-Jul-2024,1328.6,Jun 2024,260.4358, Jun 2024 ,17.27,2,8.25,9,7,12,7.02,11,8.69,4,7.72,8,7.22,12,7.07,11,6.91,12,6.55,11,5.3,9,--,--,--,--,--,--,--,--,5.14,13
Baroda BNP Paribas Floater Fund - Reg - Growth,10.97,03-Jul-2024,2463.75,Jun 2024,27.8161, Jun 2024 ,11.64,7,9.19,5,8.51,1,10.65,1,7.55,11,8,3,8.58,3,7.85,3,8.05,4,--,--,--,--,--,--,--,--,--,--,--,--,8.14,1
DSP Floater Fund - Reg - Growth,12.11,03-Jul-2024,3131.7,Jun 2024,876.1219, Jun 2024 ,12.66,5,7.03,12,8.34,2,8.98,2,9.88,2,8.34,2,9.13,2,8.41,2,8.45,1,7.6,3,5.92,5,--,--,--,--,--,--,--,--,5.99,9
Franklin India Floating Rate Fund - Growth,37.5,03-Jul-2024,2219.2,Jun 2024,306.7396, Jun 2024 ,11.68,6,9.47,2,7.17,9,8.03,6,7.65,9,7.79,5,8.1,6,7.43,7,7.79,7,7.33,5,5.77,6,5.43,6,5.74,7,5.99,5,6.06,5,5.86,10
HDFC Floating Rate Debt Fund - Growth,46.02,03-Jul-2024,1496.5,Jun 2024,14524.2934, Jun 2024 ,12.77,4,9.94,1,8.23,4,8.36,4,7.97,5,7.75,7,8.16,5,7.61,5,7.95,6,7.72,2,6.16,1,6.16,1,6.77,2,6.93,1,7.44,1,7.77,3
ICICI Prudential Floating Interest Fund - Growth,392.41,03-Jul-2024,2427.25,Jun 2024,9557.713, Jun 2024 ,13.9,3,8.65,7,7.64,6,8.81,3,7.32,12,7.51,9,7.94,7,7.21,10,7.96,5,8.1,1,5.99,4,6.1,2,6.72,3,6.71,4,7.23,4,7.61,4
Kotak Floating Rate Fund - Reg - Growth,1388.11,03-Jul-2024,1744.7,Jun 2024,3793.5427, Jun 2024 ,10.99,8,8.61,8,8.03,5,8.26,5,7.94,6,7.77,6,7.68,10,7.33,9,7.56,9,7.17,8,5.76,7,5.89,3,6.56,4,--,--,--,--,6.58,6
Nippon India Floating Rate Fund - Reg - Growth,41.51,03-Jul-2024,1299.4,Jun 2024,7817.1027, Jun 2024 ,9.06,10,7.65,10,7.34,7,7.25,9,7.87,7,7.03,12,7.81,9,7.39,8,7.4,10,6.98,9,5.69,8,5.69,5,6.83,1,6.74,3,7.31,3,7.43,5
SBI Floating Rate Debt Fund - Reg - Growth,12.3,03-Jul-2024,1346.85,Jun 2024,1153.8235, Jun 2024 ,10.69,9,9.39,4,7.29,8,7.51,8,8.76,3,7.91,4,8.34,4,7.65,4,8.23,3,7.32,6,6.06,3,--,--,--,--,--,--,--,--,5.77,11
Tata Floating Rate Fund - Reg - Growth,11.77,03-Jul-2024,730,Jun 2024,209.0102, Jun 2024 ,3.1,13,7.63,11,7.04,11,7.07,10,7.77,8,7.29,11,7.26,11,6.95,12,7.08,11,6.76,10,--,--,--,--,--,--,--,--,--,--,5.61,12
UTI Floater Fund - Reg - Growth,1392.38,03-Jul-2024,416.1,Jun 2024,1382.4661, Jun 2024 ,6.9,12,8.9,6,7.16,10,6.54,12,6.73,13,6.35,13,7,13,6.87,13,6.74,13,6.52,12,5.26,10,4.91,7,5.75,6,--,--,--,--,6,8
--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
