Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
-,-,-,-,-,-,-,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,--,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,--,--
Scheme Name,NAV,NAV Date,Average Maturity in Days(Latest),Average Maturity in Days(Latest) Date,Corpus (In crs.),Corpus (In crs.) Date,1 Day,1 Day Rank,1 Week,1 Week Rank,2 Weeks,2 Weeks Rank,1 Month,1 Month Rank,2 Months,2 Months Rank,3 Months,3 Months Rank,6 Months,6 Months Rank,9 months,9 months Rank,1 Year,1 Year Rank,2 Years,2 Years Rank,3 Years,3 Years Rank,4 year ,4 year  Rank,5 Years,5 Years Rank,7 Year,7 Year Rank,10 Years,10 Years Rank,Since Inception,Since Inception Rank
Aditya Birla Sun Life GSec Fund - Reg - Growth,75.56,03-Jul-2024,6073.6,Jun 2024,1672.5457, Jun 2024 ,27.46,11,4.42,17,2.83,20,6.69,7,13.97,7,9.37,10,10.91,6,9.84,6,8.17,6,7.71,8,5.55,8,5.1,7,6.65,7,6.6,7,8.46,3,8.52,4
Axis Gilt Fund - Growth,23.53,03-Jul-2024,6004.25,Jun 2024,405.7297, Jun 2024 ,27.17,12,5.28,12,4.72,5,6.33,9,13.68,8,10.16,4,11.41,5,10.38,5,8.68,4,7.73,6,5.61,6,5.37,5,7.01,5,6.62,6,7.68,10,7.11,16
Bandhan Government Securities Fund Investment Plan - Reg - Growth (Re-launched),33.03,03-Jul-2024,10541.2,Jun 2024,2034.1605, Jun 2024 ,33.4,1,2.37,21,5.04,3,12.01,1,19.77,1,12.28,1,14.9,1,12.25,1,9.77,1,8.32,2,5.77,4,5.14,6,7.11,4,7.14,3,8.4,5,7.97,11
Baroda BNP Paribas Gilt Fund - Growth,38.94,03-Jul-2024,3420.05,Jun 2024,1452.8878, Jun 2024 ,21.85,18,5.48,11,4.77,4,4.69,17,10.88,16,8.23,16,10.06,13,8.61,14,7.26,17,7.68,10,5.2,14,4.51,12,5.58,15,5.68,13,6.98,17,6.29,20
Canara Robeco Gilt Fund - Growth,70.33,03-Jul-2024,9344,Jun 2024,110.3432, Jun 2024 ,28.56,10,6.96,2,4.7,6,6.62,8,13.1,12,9.17,13,10.47,8,9.3,8,7.78,12,7.26,15,5.19,15,4.51,13,5.74,13,5.66,14,7.65,11,8.28,6
DSP Gilt Fund - Growth,88.96,03-Jul-2024,11931.85,Jun 2024,1016.1915, Jun 2024 ,31.33,4,2.79,20,5.35,2,10.41,2,16.82,2,10.85,2,13,3,10.89,3,8.95,3,8.26,3,6.12,3,5.58,4,7.38,1,7.17,2,8.29,7,9.22,2
Edelweiss G Sec Fund - Reg - Growth,22.83,03-Jul-2024,5792.55,Jun 2024,155.7899, Jun 2024 ,29.76,6,5.6,9,3.4,17,4.1,19,13.42,9,9.47,9,12.32,4,10.4,4,8.44,5,7.69,9,5.7,5,5.85,1,6.94,6,7.36,1,8.42,4,8.27,8
Franklin India Government Securities Fund - Growth,54.24,03-Jul-2024,1919.9,Jun 2024,140.5597, Jun 2024 ,16.02,20,7.34,1,5.49,1,5.38,14,7.94,20,6.88,19,6.75,21,6.36,21,5.78,21,5.73,19,4.46,19,3.72,19,4.74,19,4.45,19,6.5,19,7.77,13
HDFC Gilt Fund - Growth,51.05,03-Jul-2024,4909.25,Jun 2024,2372.7844, Jun 2024 ,25.97,15,5.74,8,4.46,10,5.83,11,12.42,14,9.33,11,9.01,18,8.55,16,7.6,15,7.41,13,5.21,13,4.64,10,5.88,12,5.6,15,7.45,12,7.36,14
HSBC Gilt Fund - Reg - Growth,61.75,03-Jul-2024,6518.9,Jun 2024,194.2292, Jun 2024 ,29.34,9,4.96,15,3.37,18,5.69,13,12.79,13,8.9,14,9.81,15,8.95,13,7.32,16,6.54,17,4.61,18,4.03,18,5.39,17,5.41,16,7.24,15,7.79,12
ICICI Prudential Gilt Fund - Growth,94.32,03-Jul-2024,2690.05,Jun 2024,6262.4312, Jun 2024 ,19.28,19,5.11,14,3.73,15,3.14,20,9.62,18,7.59,18,7.93,19,7.63,19,7.79,11,8.52,1,6.26,2,5.64,3,7.34,2,6.86,5,8.47,2,9.43,1
Invesco India Gilt Fund - Growth,2642.3,03-Jul-2024,7340.15,Jun 2024,576.7716, Jun 2024 ,29.59,7,4.25,18,4.2,13,7.51,5,16.68,3,10.84,3,13.06,2,11.3,2,9.06,2,7.63,11,5.54,9,4.34,15,5.32,18,5.33,18,6.98,18,6.1,21
Kotak Gilt Fund - Growth,90.02,03-Jul-2024,11574.15,Jun 2024,3253.9698, Jun 2024 ,31.86,2,4.48,16,4.29,12,8.83,3,15.06,4,10.15,5,9.56,16,8.97,12,7.9,9,8.01,5,5.58,7,5.03,8,6.54,8,6.32,9,7.75,9,8.99,3
