Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
-,-,-,-,-,-,-,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,--,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,--,--
Scheme Name,NAV,NAV Date,Average Maturity in Days(Latest),Average Maturity in Days(Latest) Date,Corpus (In crs.),Corpus (In crs.) Date,1 Day,1 Day Rank,1 Week,1 Week Rank,2 Weeks,2 Weeks Rank,1 Month,1 Month Rank,2 Months,2 Months Rank,3 Months,3 Months Rank,6 Months,6 Months Rank,9 months,9 months Rank,1 Year,1 Year Rank,2 Years,2 Years Rank,3 Years,3 Years Rank,4 year ,4 year  Rank,5 Years,5 Years Rank,7 Year,7 Year Rank,10 Years,10 Years Rank,Since Inception,Since Inception Rank
360 ONE Liquid Fund - Reg - Growth,1880.78,03-Jul-2024,48.07,Jun 2024,963.8559, Jun 2024 ,7.05,25,8.27,24,7.36,24,7.11,25,7.03,27,6.99,28,7.22,27,7.19,28,7.14,27,6.73,25,5.62,26,4.92,27,4.86,28,5.36,26,5.97,25,6.11,29
Aditya Birla Sun Life Liquid Fund - Reg - Growth,392.93,03-Jul-2024,62.05,Jun 2024,42804.5877, Jun 2024 ,7.56,8,8.66,1,7.52,6,7.24,1,7.14,4,7.14,5,7.39,6,7.34,7,7.27,10,6.88,5,5.77,6,5.12,7,5.23,4,5.79,4,6.43,3,6.98,11
Axis Liquid Fund - Growth,2714.12,03-Jul-2024,63,Jun 2024,23260.1716, Jun 2024 ,7.01,28,8.54,15,7.46,18,7.13,21,7.09,13,7.12,12,7.43,3,7.38,3,7.32,2,6.9,2,5.8,2,5.14,4,5.23,3,5.8,3,6.44,2,7.01,7
Bajaj Finserv Liquid Fund - Reg  - Growth,1072.1,03-Jul-2024,69,Jun 2024,2405.9019, Jun 2024 ,7.69,3,8.63,6,7.46,16,7.14,18,7.08,16,7.07,19,7.33,20,7.3,19,--,--,--,--,--,--,--,--,--,--,--,--,--,--,7.23,3
Bandhan Liquid Fund - Reg - Growth,2947.71,03-Jul-2024,56,Jun 2024,13477.8279, Jun 2024 ,6.99,30,8.39,21,7.43,21,7.15,17,7.05,22,7.05,22,7.34,19,7.3,18,7.24,18,6.81,18,5.73,15,5.07,18,5.11,22,5.66,21,6.33,18,6.96,12
Bank of India Liquid Fund - Reg - Growth,2806.33,03-Jul-2024,58.4,Jun 2024,1442.8497, Jun 2024 ,7.26,20,8.44,19,7.5,9,7.24,2,7.18,1,7.19,1,7.46,1,7.42,1,7.36,1,6.92,1,5.82,1,5.14,3,5.18,10,5.75,11,6.39,11,6.67,26
Baroda BNP Paribas Liquid Fund - Reg - Growth,2805.66,03-Jul-2024,60,Jun 2024,7898.9914, Jun 2024 ,7.03,27,8.37,22,7.4,23,7.13,23,7.04,26,7.04,24,7.32,23,7.28,24,7.23,21,6.85,10,5.78,4,5.13,5,5.19,7,5.77,5,6.43,4,6.92,15
Canara Robeco Liquid - Reg - Growth,2934.44,03-Jul-2024,62.05,Jun 2024,3546.7841, Jun 2024 ,7.33,18,8.65,3,7.56,1,7.23,3,7.12,7,7.12,10,7.4,5,7.36,4,7.3,3,6.9,3,5.77,5,5.11,10,5.06,24,5.63,22,6.28,22,6.94,13
DSP Liquidity Fund - Reg - Growth,3480.41,03-Jul-2024,69.35,Jun 2024,12569.9859, Jun 2024 ,7.63,4,8.63,7,7.54,3,7.19,8,7.1,11,7.1,14,7.37,15,7.32,15,7.26,13,6.83,12,5.74,11,5.09,14,5.16,17,5.72,15,6.36,14,6.93,14
Edelweiss Liquid Fund - Reg - Growth,3118.16,03-Jul-2024,52.46,Jun 2024,5034.1442, Jun 2024 ,7.4,14,8.19,27,7.36,25,7.13,24,7.12,8,7.16,3,7.38,9,7.29,20,7.2,24,6.75,24,5.63,25,5,25,5.1,23,5.69,19,6.24,24,7.01,9
Franklin India Liquid Fund - Reg - Growth,5553.77,03-Jul-2024,73,Jun 2024,2071.7433, Jun 2024 ,7.1,23,8.09,29,6.88,34,6.59,35,6.46,36,6.47,36,6.7,36,6.65,36,6.57,35,6.14,35,5.06,35,4.4,34,4.55,34,5.12,30,5.77,28,6.76,23
Groww Liquid Fund - Growth,2357.38,03-Jul-2024,64,Jun 2024,197.9855, Jun 2024 ,6.79,32,8.64,5,7.45,20,7.16,15,7.07,19,7.14,6,7.39,7,7.33,10,7.26,12,6.69,26,5.54,28,4.93,26,4.99,26,5.6,25,6.33,19,6.99,10
HDFC Liquid Fund - Growth,4785.64,03-Jul-2024,55,Jun 2024,52666.3835, Jun 2024 ,7.8,2,8.54,13,7.48,11,7.16,14,7.07,18,7.07,20,7.39,8,7.32,13,7.25,14,6.81,17,5.72,19,5.06,21,5.12,20,5.67,20,6.33,17,6.82,22
