Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
-,-,-,-,-,-,-,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,--,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,--,--
Scheme Name,NAV,NAV Date,Average Maturity in Days(Latest),Average Maturity in Days(Latest) Date,Corpus (In crs.),Corpus (In crs.) Date,1 Day,1 Day Rank,1 Week,1 Week Rank,2 Weeks,2 Weeks Rank,1 Month,1 Month Rank,2 Months,2 Months Rank,3 Months,3 Months Rank,6 Months,6 Months Rank,9 months,9 months Rank,1 Year,1 Year Rank,2 Years,2 Years Rank,3 Years,3 Years Rank,4 year ,4 year  Rank,5 Years,5 Years Rank,7 Year,7 Year Rank,10 Years,10 Years Rank,Since Inception,Since Inception Rank
Aditya Birla Sun Life Long Duration Fund - Reg - Growth,11.78,03-Jul-2024,8690.65,Jun 2024,120.2303, Jun 2024 ,31.33,3,5.67,3,5.84,4,7.77,5,15.17,5,10.01,6,12.64,6,10.17,6,8.17,6,--,--,--,--,--,--,--,--,--,--,--,--,8.97,5
Axis Long Duration Fund - Reg - Growth,1151.32,03-Jul-2024,11132.5,Jun 2024,304.68, Jun 2024 ,22.36,7,5.86,2,4.91,6,12.9,1,20.31,1,12.82,1,15.17,3,12.15,3,10.28,3,--,--,--,--,--,--,--,--,--,--,--,--,9.73,2
HDFC Long Duration Debt Fund - Reg - Growth,11.43,03-Jul-2024,10661.65,Jun 2024,3111.2508, Jun 2024 ,28.75,4,4.84,5,5.67,5,12.47,2,20.03,2,12.08,3,15.67,1,12.57,1,10.45,1,--,--,--,--,--,--,--,--,--,--,--,--,9.66,3
ICICI Prudential Long Term Bond Fund - Growth,82.37,03-Jul-2024,3865.35,Jun 2024,844.552, Jun 2024 ,23.32,6,5.53,4,6.32,3,6.37,7,11.78,7,8.79,7,11.22,7,9.7,7,7.78,7,8.12,2,4.95,2,4.17,2,5.74,2,6.19,1,7.68,1,8.45,7
Nippon India Nivesh Lakshya Fund - Reg - Growth,16.54,03-Jul-2024,7723.4,Jun 2024,7843.9319, Jun 2024 ,31.59,2,3.69,7,6.99,2,10.51,4,19.91,3,11.21,4,14.57,4,11.53,4,9.01,5,10.01,1,6.71,1,5.06,1,6.58,1,--,--,--,--,8.75,6
SBI Long Duration Fund - Reg - Growth,11.55,03-Jul-2024,10928.1,Jun 2024,1931.1991, Jun 2024 ,33.2,1,4.47,6,7.29,1,12.16,3,19.8,4,12.12,2,15.57,2,12.48,2,10.43,2,--,--,--,--,--,--,--,--,--,--,--,--,9.87,1
UTI Long Duration Fund - Reg - Growth,11.24,03-Jul-2024,6139.3,Jun 2024,92.5496, Jun 2024 ,27.96,5,6.46,1,4.7,7,6.68,6,14.91,6,10.02,5,14.31,5,11.35,5,9.03,4,--,--,--,--,--,--,--,--,--,--,--,--,9.4,4
--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Minimum,--,--,--,--,--,--,22.36,--,3.69,--,4.7,--,6.37,--,11.78,--,8.79,--,11.22,--,9.7,--,7.78,--,8.12,--,4.95,--,4.17,--,5.74,--,6.19,--,7.68,--,8.45,--
Maximum,--,--,--,--,--,--,33.2,--,6.46,--,7.29,--,12.9,--,20.31,--,12.82,--,15.67,--,12.57,--,10.45,--,10.01,--,6.71,--,5.06,--,6.58,--,6.19,--,7.68,--,9.87,--
Average,--,--,--,--,--,--,28.36,--,5.22,--,5.96,--,9.84,--,17.42,--,11.01,--,14.16,--,11.42,--,9.31,--,9.06,--,5.83,--,4.62,--,6.16,--,6.19,--,7.68,--,9.26,--
"* Less than 1 year Simple Annualized returns, Greater than or Equal to 1 year Compound Annualized returns",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
