Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
-,-,-,-,-,-,-,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,--,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,--,--
Scheme Name,NAV,NAV Date,Average Maturity in Days(Latest),Average Maturity in Days(Latest) Date,Corpus (In crs.),Corpus (In crs.) Date,1 Day,1 Day Rank,1 Week,1 Week Rank,2 Weeks,2 Weeks Rank,1 Month,1 Month Rank,2 Months,2 Months Rank,3 Months,3 Months Rank,6 Months,6 Months Rank,9 months,9 months Rank,1 Year,1 Year Rank,2 Years,2 Years Rank,3 Years,3 Years Rank,4 year ,4 year  Rank,5 Years,5 Years Rank,7 Year,7 Year Rank,10 Years,10 Years Rank,Since Inception,Since Inception Rank
Aditya Birla Sun Life Low Duration Fund - Reg - Growth,611.63,03-Jul-2024,514.65,Jun 2024,10807.0437, Jun 2024 ,9.56,9,8.9,13,7.66,11,7.2,12,7.05,14,6.74,17,7.08,15,6.89,14,6.83,17,6.56,13,5.45,12,5.27,10,5.98,11,6.29,6,6.83,6,7.17,10
Axis Treasury Advantage Fund - Growth,2867.17,03-Jul-2024,409,Jun 2024,5175.7787, Jun 2024 ,9.62,8,8.81,14,7.84,3,7.43,5,7.33,3,7.23,2,7.57,2,7.29,2,7.19,4,6.88,3,5.72,4,5.42,7,6.11,7,6.49,2,6.97,3,7.41,3
Bandhan Low Duration Fund - Reg - Growth,35.85,03-Jul-2024,353,Jun 2024,5450.3412, Jun 2024 ,9.47,12,9.24,9,7.45,16,7.2,13,7.22,8,6.93,12,7.24,12,7.15,5,7,8,6.71,6,5.48,10,5.12,15,5.82,13,6.24,8,6.94,4,7.16,11
Baroda BNP Paribas Low Duration Fund - Reg- Growth,37.41,03-Jul-2024,352.8,Jun 2024,207.1179, Jun 2024 ,8.2,17,9.05,11,7.3,18,6.98,18,6.93,16,6.68,18,6.96,19,6.82,17,6.86,15,6.53,14,5.37,14,5.21,12,6.13,5,6.35,3,6.87,5,7.31,4
Canara Robeco Savings Fund - Reg - Growth,39.16,03-Jul-2024,368.65,Jun 2024,868.3791, Jun 2024 ,8.3,16,8.67,17,7.36,17,7.3,11,7.18,11,6.96,10,7.27,9,7.09,8,7.1,6,6.69,7,5.47,11,5.01,17,5.61,17,6.05,11,6.71,10,7.31,5
DSP Low Duration Fund - Reg - Growth,18.43,03-Jul-2024,372.3,Jun 2024,4466.826, Jun 2024 ,9.51,11,9.36,5,7.72,10,7.41,6,7.28,6,7.06,6,7.38,6,7.11,7,7,9,6.68,8,5.53,7,5.16,14,6.06,9,6.28,7,--,--,6.77,17
HDFC Low Duration Fund - Growth,53.65,03-Jul-2024,682.55,Jun 2024,18702.3464, Jun 2024 ,9.05,14,9.43,2,7.78,5,7.48,4,7.16,12,7.1,5,7.38,5,7.01,11,7.18,5,6.92,2,5.59,5,5.57,6,6.11,6,6.3,5,6.78,9,7.06,14
HSBC Low Duration Fund - Reg - GrowthAdjusted NAV (Post merger with L&T Mutual Fund),26.32,03-Jul-2024,485.7,Jun 2024,432.9243, Jun 2024 ,9.85,7,9.37,4,7.62,12,7.54,3,7.29,4,7.21,3,7.49,3,7.26,4,7.36,2,6.79,5,5.53,6,5.86,5,5.72,14,5.58,14,6.6,11,7.19,9
ICICI Prudential Savings Fund - Reg - Growth,503.25,03-Jul-2024,751.9,Jun 2024,20523.8297, Jun 2024 ,10.7,2,9.28,6,7.91,2,7.77,1,7.48,1,7.4,1,7.95,1,7.51,1,7.76,1,7.8,1,6.05,3,5.92,4,6.57,3,6.81,1,7.39,1,7.7,1
Invesco India Low Duration Fund - Reg - Growth,3149.12,03-Jul-2024,372,Jun 2024,1262.2267, Jun 2024 ,7.82,19,7.69,20,6.95,20,6.65,20,6.63,20,6.33,20,6.91,20,6.59,20,6.49,20,6.02,20,4.83,20,4.52,20,5.27,20,5.67,13,6.25,15,6.79,16
JM Low Duration Fund - Growth,34.43,03-Jul-2024,372.37,Jun 2024,240.0607, Jun 2024 ,10.29,4,8.69,16,7.59,13,7.19,14,7.2,9,7,9,7.19,14,7,12,6.87,13,6.41,16,5.34,16,9.74,1,7.42,1,5.54,16,6.35,13,7.2,7
Kotak Low Duration Fund - Std - Growth,3108.34,03-Jul-2024,642.4,Jun 2024,10272.2411, Jun 2024 ,10.22,5,8.77,15,7.76,7,7.34,9,7.06,13,6.94,11,7.24,11,6.87,15,6.87,14,6.66,9,5.36,15,5.19,13,6.02,10,6.35,4,7.15,2,7.19,8
LIC MF Low Duration Fund - Growth,36.83,03-Jul-2024,350,Jun 2024,1128.3354, Jun 2024 ,10.61,3,9.26,8,7.03,19,6.99,17,6.85,18,6.65,19,7.01,17,6.78,19,6.64,19,6.3,19,5.2,18,5.23,11,5.71,15,5.49,18,6.21,16,6.38,18
