Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
-,-,-,-,-,-,-,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,--,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,--,--
Scheme Name,NAV,NAV Date,Average Maturity in Days(Latest),Average Maturity in Days(Latest) Date,Corpus (In crs.),Corpus (In crs.) Date,1 Day,1 Day Rank,1 Week,1 Week Rank,2 Weeks,2 Weeks Rank,1 Month,1 Month Rank,2 Months,2 Months Rank,3 Months,3 Months Rank,6 Months,6 Months Rank,9 months,9 months Rank,1 Year,1 Year Rank,2 Years,2 Years Rank,3 Years,3 Years Rank,4 year ,4 year  Rank,5 Years,5 Years Rank,7 Year,7 Year Rank,10 Years,10 Years Rank,Since Inception,Since Inception Rank
Aditya Birla Sun Life Medium Term Plan - Reg - Growth,35.12,03-Jul-2024,1810.4,Jun 2024,1861.4375, Jun 2024 ,24.23,2,8.03,4,6.37,6,11.65,1,11.65,1,9.22,1,8.85,2,8.05,3,7.33,3,15.35,1,12.64,1,11.97,1,8.8,1,7.59,1,8.34,1,8.57,1
Axis Strategic Bond Fund - Growth,25.66,03-Jul-2024,2226.5,Jun 2024,1939.2062, Jun 2024 ,14.52,9,6.25,12,7.43,3,6.61,4,9.56,2,7.93,2,8.76,3,8.28,2,7.5,2,7.43,2,6.09,3,6.43,4,7.2,4,6.85,3,7.87,3,7.98,2
Bandhan Bond Fund - Medium Term Plan - Reg - Growth,42.14,03-Jul-2024,1788.5,Jun 2024,1529.761, Jun 2024 ,21.58,3,8.35,2,5.43,12,5.46,12,8.21,11,6.47,11,7,14,7.48,7,6.4,14,6.32,14,4.37,13,4.16,12,5.65,9,5.9,8,6.8,7,7.09,9
Baroda BNP Paribas Medium Duration Fund - Growth,17.46,03-Jul-2024,1565.85,Jun 2024,28.199, Jun 2024 ,11.71,13,6.46,10,8.63,1,6.89,3,8.1,12,6.21,14,7.75,9,7.1,13,6.73,10,7.29,3,5.21,11,4.63,10,5.36,10,3.89,12,5.3,10,5.54,12
DSP Bond Fund - Growth,75.01,03-Jul-2024,1463.65,Jun 2024,380.4335, Jun 2024 ,16.89,4,9.25,1,6.44,5,6.35,6,7.87,13,6.35,13,7.39,11,7.42,8,6.93,8,6.96,8,5.23,10,5,9,6.08,8,5.16,9,6.51,8,7.69,4
HDFC Medium Term Debt Fund - Growth,51.82,03-Jul-2024,1927.2,Jun 2024,4139.4217, Jun 2024 ,15.43,8,7.21,8,5.84,10,5.9,9,8.93,6,7.12,7,7.83,8,7.37,10,6.95,7,7.04,7,5.45,9,6.01,6,6.57,5,6.51,5,7.3,5,7.61,5
HSBC Medium Duration Fund - Reg - Growth,18.76,03-Jul-2024,2033.05,Jun 2024,806.6249, Jun 2024 ,13.43,11,7.49,6,6.35,7,5.9,8,9.19,3,7.78,3,8.4,4,7.79,4,7.26,4,7.19,6,5.45,8,6.17,5,6.48,6,5.96,7,--,--,6.91,10
ICICI Prudential Medium Term Bond Fund - Growth,41.08,03-Jul-2024,1748.35,Jun 2024,6112.5972, Jun 2024 ,16.27,5,7.6,5,6.79,4,5.6,10,8.44,9,7.35,5,7.66,10,7.5,6,7.06,5,7.22,5,5.9,5,6.51,3,7.27,2,6.79,4,7.62,4,7.39,6
Invesco India Medium Duration Fund - Reg - Growth,1142.38,03-Jul-2024,1967.35,Jun 2024,238.9386, Jun 2024 ,6.56,15,5.23,14,4.81,13,5.42,13,8.38,10,6.97,8,7.98,6,7.5,5,6.66,11,6.44,13,--,--,--,--,--,--,--,--,--,--,4.59,14
Kotak Medium Term Fund - Reg - Growth,20.8,03-Jul-2024,2040.35,Jun 2024,1657.9023, Jun 2024 ,25.46,1,7.33,7,4.43,14,5.59,11,9.04,4,6.41,12,8.92,1,8.82,1,7.92,1,6.9,9,5.59,7,5.91,7,6.39,7,6.05,6,7.19,6,7.38,7
Nippon India Strategic Debt Fund - Reg - Growth,14.22,03-Jul-2024,1668.05,Jun 2024,118.3184, Jun 2024 ,13.36,12,8.12,3,8,2,7.33,2,9.03,5,7.75,4,8.05,5,7.34,11,6.74,9,6.78,10,9.58,2,7.58,2,0.51,13,0.8,13,3.54,11,3.57,15
SBI Magnum Medium Duration Fund - Growth,47.08,03-Jul-2024,2237.45,Jun 2024,5988.9268, Jun 2024 ,14.5,10,6.35,11,6.22,8,6.39,5,8.74,7,7.31,6,7.84,7,7.39,9,7.01,6,7.25,4,5.64,6,5.87,8,7.24,3,7.14,2,8.2,2,7.78,3
Sundaram Medium Duration Fund - Reg - Growth,64.44,03-Jul-2024,1766.6,Jun 2024,42.1684, Jun 2024 ,9.8,14,4.82,15,4.18,15,4.44,15,7.44,15,5.89,15,6.04,15,6.1,15,5.21,15,5.36,15,3.47,14,3.26,13,4.14,12,4.55,11,5.85,9,7.24,8
