Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
-,-,-,-,-,-,-,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,--,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,--,--
Scheme Name,NAV,NAV Date,Average Maturity in Days(Latest),Average Maturity in Days(Latest) Date,Corpus (In crs.),Corpus (In crs.) Date,1 Day,1 Day Rank,1 Week,1 Week Rank,2 Weeks,2 Weeks Rank,1 Month,1 Month Rank,2 Months,2 Months Rank,3 Months,3 Months Rank,6 Months,6 Months Rank,9 months,9 months Rank,1 Year,1 Year Rank,2 Years,2 Years Rank,3 Years,3 Years Rank,4 year ,4 year  Rank,5 Years,5 Years Rank,7 Year,7 Year Rank,10 Years,10 Years Rank,Since Inception,Since Inception Rank
Aditya Birla Sun Life Income Fund - Reg - Growth,116.05,03-Jul-2024,4135.45,Jun 2024,1910.659, Jun 2024 ,22.38,7,6.74,5,5.78,2,6.69,1,11.82,2,8.57,1,8.97,5,8.22,6,6.91,6,7.11,7,5.37,5,5.32,4,6.68,3,6.33,3,7.51,3,8.91,1
Bandhan Bond Fund - Income Plan - Reg - Growth,60.71,03-Jul-2024,4325.25,Jun 2024,489.5967, Jun 2024 ,27.38,2,7.34,2,4.56,6,5.33,7,11.54,4,8,6,9.35,3,8.37,3,6.68,8,6.51,10,4.25,11,3.79,11,5.58,8,5.69,6,7.17,5,7.81,7
Canara Robeco Income Fund - Growth,51.78,03-Jul-2024,5219.5,Jun 2024,115.5597, Jun 2024 ,20.81,10,5.84,9,4.57,5,6.15,4,11.85,1,8.56,2,8.83,7,7.85,8,6.54,9,6.27,11,4.29,10,3.96,10,5.36,10,5.55,8,6.83,7,7.83,6
HDFC Income Fund - Growth,53.71,03-Jul-2024,4153.7,Jun 2024,805.4832, Jun 2024 ,19.52,11,8.57,1,5.1,4,5.46,6,11.51,5,8.07,5,10.19,1,8.93,1,7.41,2,7.18,6,4.54,8,4.32,7,5.41,9,4.93,10,6.46,9,7.31,10
HSBC Medium to Long Duration Fund - Growth,39.05,03-Jul-2024,3595.25,Jun 2024,46.0566, Jun 2024 ,23.47,5,6.31,6,3.46,12,3.49,12,10.23,10,7.39,11,8.28,11,7.51,12,6.23,12,6.12,12,4.08,12,3.54,12,4.86,11,5,9,6.12,10,6.52,11
ICICI Prudential Bond Fund - Growth,36.82,03-Jul-2024,3095.2,Jun 2024,2958.9511, Jun 2024 ,21.13,9,6.1,7,4.09,9,3.59,11,9.88,11,7.62,9,8.4,10,8.23,5,7.5,1,7.84,2,5.63,2,5.37,3,6.89,2,6.6,2,7.66,2,8.55,2
JM Medium to Long Duration Fund - Growth,57.06,03-Jul-2024,3544.33,Jun 2024,23.8638, Jun 2024 ,26.12,4,7.29,3,3.84,10,4.08,9,10.29,9,7.81,8,8.25,12,7.95,7,6.69,7,6.7,9,4.49,9,4.19,9,4.23,12,3,12,4.37,12,6.13,12
Kotak Bond Fund - Reg - Growth,71.13,03-Jul-2024,5398.35,Jun 2024,1976.8248, Jun 2024 ,22.39,6,5.95,8,4.27,8,6.51,3,11.59,3,8.38,3,9.1,4,8.59,2,7.39,3,7.37,5,5.15,6,4.82,5,6.27,5,5.9,5,7.02,6,8.29,4
LIC MF Medium to Long Duration Fund - Growth,66.33,03-Jul-2024,2982.05,Jun 2024,169.0831, Jun 2024 ,26.38,3,5.26,10,6.26,1,5.5,5,9.82,12,7.15,12,9.85,2,7.73,10,6.5,10,7.46,4,5,7,4.26,8,5.58,7,5.56,7,6.52,8,7.85,5
Nippon India Income Fund - Reg - G P - Growth,83.13,03-Jul-2024,3872.65,Jun 2024,330.3655, Jun 2024 ,27.73,1,7,4,4.46,7,4.61,8,11.12,6,7.98,7,8.9,6,8.24,4,6.97,5,7.88,1,5.38,4,4.52,6,6.06,6,6.17,4,7.33,4,8.31,3
SBI Magnum Income Fund - Growth,65.3,03-Jul-2024,4814.35,Jun 2024,1769.0517, Jun 2024 ,21.98,8,4.84,11,5.49,3,6.56,2,10.98,7,8.27,4,8.54,9,7.76,9,7.05,4,7.54,3,5.51,3,5.59,2,7.21,1,6.73,1,7.8,1,7.57,8
UTI Medium to Long Duration Fund - Growth,67.6,03-Jul-2024,3635.4,Jun 2024,301.2988, Jun 2024 ,15.45,12,4.72,12,3.47,11,4.06,10,10.54,8,7.59,10,8.76,8,7.65,11,6.47,11,7.04,8,9.9,1,8.03,1,6.35,4,4.05,11,5.98,11,7.57,9
--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Minimum,--,--,--,--,--,--,15.45,--,4.72,--,3.46,--,3.49,--,9.82,--,7.15,--,8.25,--,7.51,--,6.23,--,6.12,--,4.08,--,3.54,--,4.23,--,3,--,4.37,--,6.13,--
