Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
-,-,-,-,-,-,-,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,--,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,--,--
Scheme Name,NAV,NAV Date,Average Maturity in Days(Latest),Average Maturity in Days(Latest) Date,Corpus (In crs.),Corpus (In crs.) Date,1 Day,1 Day Rank,1 Week,1 Week Rank,2 Weeks,2 Weeks Rank,1 Month,1 Month Rank,2 Months,2 Months Rank,3 Months,3 Months Rank,6 Months,6 Months Rank,9 months,9 months Rank,1 Year,1 Year Rank,2 Years,2 Years Rank,3 Years,3 Years Rank,4 year ,4 year  Rank,5 Years,5 Years Rank,7 Year,7 Year Rank,10 Years,10 Years Rank,Since Inception,Since Inception Rank
Aditya Birla Sun Life Money Manager Fund - Reg - Growth,343.48,03-Jul-2024,219,Jun 2024,24510.3494, Jun 2024 ,10.83,2,10.63,2,8.62,2,7.82,2,7.49,4,7.39,2,7.84,1,7.66,1,7.58,1,7.23,1,6.06,2,5.6,1,6.1,1,6.57,1,6.99,1,6.81,11
Axis Money Market Fund - Reg - Growth,1327.87,03-Jul-2024,215,Jun 2024,10632.9838, Jun 2024 ,9.56,13,10.46,8,8.6,3,7.81,4,7.5,2,7.36,4,7.82,3,7.61,4,7.5,7,7.13,6,5.99,6,5.5,5,--,--,--,--,--,--,5.94,18
Bajaj Finserv Money Market Fund - Reg - Growth,1069.89,03-Jul-2024,232,Jun 2024,2131.2708, Jun 2024 ,9.48,16,10.16,15,8.07,17,7.2,17,6.91,18,6.81,18,7.16,18,7.02,18,--,--,--,--,--,--,--,--,--,--,--,--,--,--,7.39,1
Bandhan Money Manager Fund - Reg - Growth,37.48,03-Jul-2024,223,Jun 2024,5097.2116, Jun 2024 ,9.74,10,9.74,20,7.89,19,7.03,20,6.75,20,6.67,20,7.05,19,6.84,19,6.76,18,6.4,17,5.25,16,4.68,16,5.05,14,5.4,12,6.16,12,6.37,15
Baroda BNP Paribas Money Market Fund - Reg - Growth,1281.5,03-Jul-2024,104.4,Jun 2024,173.9179, Jun 2024 ,9.67,12,10.41,10,8.45,10,7.49,13,7.05,16,7.03,14,7.24,15,7.11,16,7.01,16,6.6,16,5.46,14,4.78,15,5.02,15,--,--,--,--,5.04,22
DSP Savings Fund - Growth,49.05,03-Jul-2024,222.65,Jun 2024,4772.6704, Jun 2024 ,9.68,11,10.08,17,8.25,14,7.45,14,7.19,13,7.1,12,7.46,12,7.33,12,7.21,12,6.91,10,5.57,11,5.1,11,5.59,10,6.03,8,6.32,11,6.63,13
Edelweiss Money Market Fund - Ret - Growth,26.55,03-Jul-2024,248.2,Jun 2024,479.0275, Jun 2024 ,9.49,15,10.04,18,8.01,18,7.16,18,6.79,19,6.67,19,7.01,20,6.79,20,6.71,19,6.13,18,4.97,17,4.41,17,5.32,13,5.9,11,6.62,9,6.28,16
Franklin India Money Market Fund - Growth,46.55,03-Jul-2024,248.2,Jun 2024,1467.416, Jun 2024 ,9.96,9,10.54,4,8.51,5,7.74,6,7.46,7,7.32,7,7.66,9,7.51,9,7.41,9,6.99,9,5.8,9,5.29,9,5.84,8,6.34,7,6.9,3,7.11,5
HDFC Money Market Fund - Growth,5307.81,03-Jul-2024,213,Jun 2024,23661.0218, Jun 2024 ,10.6,5,10.31,12,8.41,11,7.68,9,7.41,10,7.32,8,7.76,7,7.55,8,7.45,8,7.09,8,5.95,8,5.48,7,6.02,2,6.41,4,6.83,7,7.01,8
HSBC Money Market Fund - Reg - Growth,24.53,03-Jul-2024,180.98,Jun 2024,1857.0648, Jun 2024 ,9.08,17,10.14,16,8.29,13,7.59,11,7.28,11,7.09,13,7.49,11,7.29,13,7.15,13,6.7,13,5.45,15,4.84,14,5.7,9,6,9,6.75,8,7.13,4
ICICI Prudential Money Market Fund - Reg - Growth,352.17,03-Jul-2024,236.13,Jun 2024,21652.6071, Jun 2024 ,11.19,1,10.51,5,8.51,6,7.77,5,7.48,5,7.36,5,7.78,6,7.6,6,7.51,6,7.15,5,5.97,7,5.47,8,5.94,6,6.39,5,6.85,5,7.11,6
Invesco India Money Market Fund - Reg - Growth,2526.15,03-Jul-2024,254,Jun 2024,4009.533, Jun 2024 ,8.81,18,9.77,19,7.57,20,6.73,22,6.39,22,6.27,22,6.81,21,6.59,21,6.42,20,6.07,19,4.75,18,4.28,18,4.69,16,5.22,14,5.84,14,6.44,14
Kotak Money Market Fund - Reg - Growth,4169.5,03-Jul-2024,211.7,Jun 2024,21765.0328, Jun 2024 ,10.48,6,10.47,6,8.49,8,7.73,7,7.45,8,7.34,6,7.79,4,7.6,5,7.51,5,7.11,7,6.01,5,5.48,6,5.84,7,6.35,6,6.84,6,7.04,7
