Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
-,-,-,-,-,-,-,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,--,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,--,--
Scheme Name,NAV,NAV Date,Average Maturity in Days(Latest),Average Maturity in Days(Latest) Date,Corpus (In crs.),Corpus (In crs.) Date,1 Day,1 Day Rank,1 Week,1 Week Rank,2 Weeks,2 Weeks Rank,1 Month,1 Month Rank,2 Months,2 Months Rank,3 Months,3 Months Rank,6 Months,6 Months Rank,9 months,9 months Rank,1 Year,1 Year Rank,2 Years,2 Years Rank,3 Years,3 Years Rank,4 year ,4 year  Rank,5 Years,5 Years Rank,7 Year,7 Year Rank,10 Years,10 Years Rank,Since Inception,Since Inception Rank
Aditya Birla Sun Life Overnight Fund - Reg - Growth,1308.33,03-Jul-2024,3.65,Jun 2024,7917.8372, Jun 2024 ,6.22,17,6.44,28,6.44,29,6.42,25,6.46,20,6.46,20,6.56,21,6.66,23,6.69,20,6.36,16,5.36,17,4.77,17,4.68,8,--,--,--,--,4.85,15
Axis Overnight Fund - Reg - Growth,1284.29,03-Jul-2024,2,Jun 2024,7224.5118, Jun 2024 ,6.27,9,6.57,3,6.54,4,6.5,3,6.53,5,6.53,5,6.68,3,6.76,3,6.78,3,6.44,2,5.44,2,4.84,2,4.76,1,--,--,--,--,4.83,16
Bajaj Finserv Overnight Fund - Reg  - Growth,1067.32,03-Jul-2024,4,Jun 2024,220.4723, Jun 2024 ,6.31,6,6.53,7,6.53,6,6.49,5,6.51,7,6.51,7,6.61,8,6.71,8,--,--,--,--,--,--,--,--,--,--,--,--,--,--,6.75,2
Bandhan Overnight Fund - Reg - Growth,1290.86,03-Jul-2024,2,Jun 2024,1196.6315, Jun 2024 ,6.3,7,6.5,10,6.49,11,6.45,12,6.48,15,6.48,15,6.58,14,6.68,14,6.7,14,6.36,14,5.36,15,4.76,19,4.67,12,--,--,--,--,4.78,20
Bank of India Overnight Fund - Reg - Growth,1231.59,03-Jul-2024,1,Jun 2024,109.7396, Jun 2024 ,6.41,3,6.63,2,6.63,2,6.59,2,6.61,3,6.61,2,6.72,2,6.82,2,6.86,2,6.51,1,5.52,1,4.91,1,--,--,--,--,--,--,4.81,17
Baroda BNP Paribas Overnight Fund - Reg - Growth,1274.66,03-Jul-2024,2,Jun 2024,649.1329, Jun 2024 ,6.23,13,6.5,11,6.49,12,6.48,6,6.51,8,6.5,9,6.58,13,6.69,12,6.71,11,6.39,7,5.4,7,4.81,6,4.74,3,--,--,--,--,4.78,19
Canara Robeco Overnight Fund - Reg - Growth,1257.71,03-Jul-2024,3.65,Jun 2024,179.3013, Jun 2024 ,6.21,20,6.45,25,6.46,25,6.42,23,6.44,26,6.44,26,6.55,24,6.67,20,6.69,19,6.38,12,5.4,9,4.82,5,--,--,--,--,--,--,4.74,22
DSP Overnight Fund - Reg - Growth,1298.42,03-Jul-2024,3.65,Jun 2024,1714.3119, Jun 2024 ,6.24,11,6.51,9,6.5,7,6.46,8,6.49,12,6.49,12,6.6,11,6.7,10,6.72,9,6.39,6,5.4,6,4.8,9,4.75,2,--,--,--,--,4.88,11
Edelweiss Overnight Fund - Reg - Growth,1257.28,03-Jul-2024,1,Jun 2024,345.4707, Jun 2024 ,6.32,5,6.44,27,6.42,30,6.38,30,6.4,30,6.42,30,6.54,26,6.67,21,6.7,16,6.35,17,5.36,18,4.79,13,--,--,--,--,--,--,4.73,24
Franklin India Overnight Fund - Reg - Growth,1266.62,03-Jul-2024,3.65,Jun 2024,497.494, Jun 2024 ,6.2,22,6.45,26,6.46,26,6.42,24,6.45,23,6.46,23,6.57,18,6.67,18,6.69,18,6.35,19,5.36,20,4.76,21,4.66,14,--,--,--,--,4.69,27
Groww Overnight Fund - Reg - Growth,1250.57,03-Jul-2024,1.42,Jun 2024,31.8932, Jun 2024 ,6.19,24,6.48,17,6.47,18,6.42,19,6.45,21,6.46,21,6.53,27,6.63,28,6.64,29,6.18,27,5.21,26,4.64,26,--,--,--,--,--,--,4.58,33
HDFC Overnight Fund - Growth,3581.28,03-Jul-2024,2,Jun 2024,10729.6501, Jun 2024 ,7.18,1,6.55,5,6.48,15,6.4,28,6.42,28,6.43,28,6.57,19,6.66,22,6.67,25,6.33,25,5.33,25,4.74,25,4.65,15,5.04,2,5.59,3,5.86,10
HSBC Overnight Fund - Reg - GrowthAdjusted NAV (Post merger with L&T Mutual Fund),1265.38,03-Jul-2024,2.43,Jun 2024,2104.0169, Jun 2024 ,6.42,2,6.54,6,6.49,10,6.44,13,6.47,16,6.48,16,6.58,15,6.68,15,6.7,15,6.36,15,5.36,16,4.77,16,4.6,16,--,--,--,--,4.61,32
