Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
-,-,-,-,-,-,-,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,--,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,--,--
Scheme Name,NAV,NAV Date,Average Maturity in Days(Latest),Average Maturity in Days(Latest) Date,Corpus (In crs.),Corpus (In crs.) Date,1 Day,1 Day Rank,1 Week,1 Week Rank,2 Weeks,2 Weeks Rank,1 Month,1 Month Rank,2 Months,2 Months Rank,3 Months,3 Months Rank,6 Months,6 Months Rank,9 months,9 months Rank,1 Year,1 Year Rank,2 Years,2 Years Rank,3 Years,3 Years Rank,4 year ,4 year  Rank,5 Years,5 Years Rank,7 Year,7 Year Rank,10 Years,10 Years Rank,Since Inception,Since Inception Rank
Aditya Birla Sun Life Short Term Fund - Reg - Growth,43.8,03-Jul-2024,1500.15,May 2024,7901.5436, Jun 2024 ,13.09,8,7.94,10,6.79,4,6.41,11,8.31,3,7.17,4,7.66,4,7.44,6,7.06,3,6.99,4,5.69,6,5.97,6,6.75,5,6.75,3,7.53,3,7.23,9
Axis Short Term Fund - Growth,28.38,03-Jul-2024,1346.85,Jun 2024,7698.1032, Jun 2024 ,14.28,6,8.13,7,6.99,2,6.42,10,7.97,8,7.03,5,7.7,3,7.47,5,6.97,8,6.77,6,5.46,8,5.34,9,6.57,6,6.64,4,7.25,4,7.48,5
Bandhan Bond Fund - Short Term Plan - Reg - Growth,52.56,03-Jul-2024,1277.5,Jun 2024,8618.0145, Jun 2024 ,21.82,1,10.24,1,6.71,5,7.07,1,8.71,1,7.26,2,7.46,7,7.73,2,7.05,4,6.76,8,5.17,12,4.97,13,6.25,10,6.43,5,7.03,8,7.29,8
Bank of India Short Term Income Fund - Reg - Growth,24.36,03-Jul-2024,1324.95,Jun 2024,75.6424, Jun 2024 ,9.59,16,7.83,12,5.75,19,5.89,16,7.74,14,6.54,18,6.95,20,6.83,19,6.27,21,9.62,1,12.07,1,10.15,1,6.28,8,4.19,19,5.67,19,5.89,21
Baroda BNP Paribas Short Duration Fund - Growth,26.91,03-Jul-2024,1091.35,Jun 2024,213.294, Jun 2024 ,3.8,21,5.74,22,5.11,21,5.69,20,7.34,22,6.54,19,7.17,13,6.94,15,6.82,11,6.77,7,5.17,11,5.13,10,5.81,16,6.24,9,7.1,6,7.32,7
Canara Robeco Short Duration Fund - Growth,23.54,03-Jul-2024,1157.05,Jun 2024,374.1147, Jun 2024 ,12.56,10,7.45,16,5.94,18,5.87,18,7.53,20,6.6,17,6.98,19,6.75,20,6.42,19,6.12,20,4.75,20,4.61,18,5.68,18,5.85,12,6.34,16,6.7,15
DSP Short Term Fund - Growth,42.94,03-Jul-2024,1281.15,Jun 2024,2809.4705, Jun 2024 ,12.59,9,7.24,17,5.95,17,6.6,7,7.83,11,6.63,14,7.14,15,6.91,16,6.57,15,6.35,16,4.98,16,4.81,14,5.99,12,6.08,10,6.82,11,6.9,13
Franklin India STIP - Growth,5149.41,03-Jul-2024,0.00,Jun 2024,12.5096, Jun 2024 ,0.00,24,0.00,24,0.00,24,0.00,24,0.00,24,0.00,24,0.00,24,0.00,24,1.34,24,4.63,23,7.77,2,8.12,2,5.08,20,5.79,13,6.88,10,7.58,4
Groww Short Duration Fund - Reg - Growth,1926.5,03-Jul-2024,1040.25,Jun 2024,38.8795, Jun 2024 ,17.42,2,7.16,18,6.35,12,6.89,2,7.57,19,6.31,22,6.37,23,6.73,21,6.14,22,5.68,22,4.12,22,3.95,21,4.05,21,4.92,18,6.03,18,6.25,18
HDFC Short Term Debt Fund - Growth,29.43,03-Jul-2024,1456.35,Jun 2024,13080.1599, Jun 2024 ,9.43,17,7.91,11,6.66,7,6.7,5,8.38,2,7.39,1,8.09,1,7.73,1,7.44,1,7.16,3,5.67,7,5.71,7,6.9,4,7,1,7.56,2,8,1
HSBC Short Duration Fund - Reg - GrowthAdjusted NAV (Post merger with L&T Mutual Fund),24.35,03-Jul-2024,1215.45,Jun 2024,3739.6179, Jun 2024 ,15.29,3,9.52,2,6.7,6,6.8,4,8.13,4,6.78,11,7.04,18,7.13,11,6.73,14,6.41,13,4.91,18,4.8,15,5.87,14,5.55,14,6.36,14,6.86,14
ICICI Prudential Short Term Fund - Growth,55.42,03-Jul-2024,1554.9,Jun 2024,18228.3733, Jun 2024 ,14.82,4,7.96,9,6.41,10,6.48,8,7.94,9,7.24,3,7.62,5,7.52,4,7.42,2,7.56,2,6.02,5,5.98,5,7.03,2,6.86,2,7.63,1,7.83,2
Invesco India Short Duration Fund - Growth,3288.12,03-Jul-2024,1251.95,Jun 2024,455.7095, Jun 2024 ,8.58,19,6.97,20,5.74,20,5.8,19,7.66,18,6.61,16,7.96,2,7.6,3,6.98,6,6.3,19,4.84,19,4.54,19,5.85,15,5.92,11,6.57,12,7.13,11
