Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
-,-,-,-,-,-,-,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Simple Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,--,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,--,--
Scheme Name,NAV,NAV Date,Average Maturity in Days(Latest),Average Maturity in Days(Latest) Date,Corpus (In crs.),Corpus (In crs.) Date,1 Day,1 Day Rank,1 Week,1 Week Rank,2 Weeks,2 Weeks Rank,1 Month,1 Month Rank,2 Months,2 Months Rank,3 Months,3 Months Rank,6 Months,6 Months Rank,9 months,9 months Rank,1 Year,1 Year Rank,2 Years,2 Years Rank,3 Years,3 Years Rank,4 year ,4 year  Rank,5 Years,5 Years Rank,7 Year,7 Year Rank,10 Years,10 Years Rank,Since Inception,Since Inception Rank
Aditya Birla Sun Life Savings Fund - Reg - Growth,508.33,03-Jul-2024,189.8,Jun 2024,13145.4267, Jun 2024 ,9.47,10,9.88,1,8.23,1,7.51,2,7.34,2,7.33,2,7.74,1,7.5,1,7.47,1,7.01,2,5.95,3,5.64,3,6.17,2,6.59,2,7.27,3,7.41,3
Axis Ultra Short Term Fund - Reg - Growth,13.76,03-Jul-2024,196,Jun 2024,4596.1834, Jun 2024 ,10.35,4,8.77,18,7.58,14,7.01,17,6.76,16,6.7,15,7.04,14,6.86,15,6.75,15,6.37,15,5.27,16,4.89,14,5.26,12,--,--,--,--,5.65,16
Bandhan Ultra Short Term Fund - Reg - Growth,14.17,03-Jul-2024,172,Jun 2024,3935.9184, Jun 2024 ,9.27,15,8.96,16,7.45,18,7.28,11,7.15,8,7.12,9,7.43,7,7.27,7,7.19,5,6.8,5,5.63,10,5.08,10,5.57,8,--,--,--,--,6.02,14
Bank of India Ultra Short Duration Fund - Reg - Growth,2958.87,03-Jul-2024,167.9,Jun 2024,160.5515, Jun 2024 ,8.8,17,8.59,20,7.04,21,6.6,21,6.36,21,6.37,21,6.54,21,6.38,22,6.32,22,6.17,20,5.2,20,4.72,18,5.12,13,5.83,7,6.73,5,7.03,7
Baroda BNP Paribas Ultra Short Duration Fund - Reg - Growth,1434.97,03-Jul-2024,172.8,Jun 2024,1031.4758, Jun 2024 ,9.96,5,9.46,5,7.93,6,7.51,3,7.3,3,7.12,8,7.45,6,7.3,5,7.28,3,7.08,1,5.93,4,5.37,5,5.64,7,--,--,--,--,6.11,12
Canara Robeco Ultra Short Term Fund - Reg - Growth,3553.09,03-Jul-2024,156.95,Jun 2024,517.0854, Jun 2024 ,9.63,8,8.42,22,7.02,22,6.71,20,6.56,19,6.56,20,6.74,20,6.61,20,6.53,19,6.16,21,5.02,21,4.45,20,4.81,17,5.18,11,5.93,11,6.8,9
DSP Ultra Short Fund - Reg - Growth,3179.02,03-Jul-2024,175.2,Jun 2024,2676.3599, Jun 2024 ,9.46,11,9.14,11,7.45,17,7.02,16,6.77,15,6.66,18,6.95,15,7.02,14,6.87,14,6.39,14,5.25,18,4.7,19,5.07,15,5.29,10,5.98,10,6.66,10
HDFC Ultra Short Term Fund - Reg - Growth,14.11,03-Jul-2024,186,Jun 2024,13445.2914, Jun 2024 ,9.57,9,9.14,10,7.86,9,7.37,8,7.17,6,7.19,3,7.5,5,7.28,6,7.18,8,6.78,8,5.66,8,5.29,6,5.76,5,--,--,--,--,6.14,11
HSBC Ultra Short Duration Fund - Reg - GrowthAdjusted NAV (Post merger with L&T Mutual Fund),1260.37,03-Jul-2024,193.2,Jun 2024,2336.9182, Jun 2024 ,9.42,12,9.82,2,8.01,4,7.46,4,7.23,4,7.14,5,7.42,8,7.26,9,7.19,7,6.81,4,5.68,7,5.13,9,--,--,--,--,--,--,5.37,18
ICICI Prudential Ultra Short Term Fund - Growth,25.79,03-Jul-2024,178.85,Jun 2024,12285.993, Jun 2024 ,9.34,14,9.14,12,7.88,8,7.44,5,7.16,7,7.14,6,7.57,4,7.32,3,7.2,4,6.79,6,5.75,6,5.54,4,6,3,6.41,3,7.46,1,7.45,2
Invesco India Ultra Short Duration Fund - Growth,2513.79,03-Jul-2024,174,Jun 2024,691.6931, Jun 2024 ,10.41,3,9.13,14,7.63,13,7.29,10,6.91,12,6.9,12,7.71,2,7.31,4,7.16,9,6.58,11,5.4,14,4.83,16,5.27,11,5.83,6,6.74,4,7.06,5
ITI Ultra Short Duration Fund - Reg - Growth,1159.36,03-Jul-2024,131,Jun 2024,180.499, Jun 2024 ,5.23,24,7.46,23,6.41,23,6.24,23,6.29,22,6.19,23,6.52,22,6.53,21,6.46,21,6.03,22,4.9,22,--,--,--,--,--,--,--,--,4.78,23
Kotak Savings Fund - Reg - Growth,39.99,03-Jul-2024,219,Jun 2024,14378.731, Jun 2024 ,9.86,6,9.14,9,7.89,7,7.24,12,7.06,11,6.98,10,7.29,11,7.03,12,6.99,11,6.63,10,5.54,12,5.06,12,5.54,9,6.04,5,6.72,7,7.21,4
