Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
-,-,-,-,-,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Absolute,Absolute,--,--
Scheme Name,NAV,NAV Date,Corpus (In crs.),Corpus (In crs.) Date,1 Week,1 Week Rank,2 Weeks,2 Weeks Rank,1 Month,1 Month Rank,2 Months,2 Months Rank,3 Months,3 Months Rank,6 Months,6 Months Rank,9 months,9 months Rank,1 Year,1 Year Rank,2 Years,2 Years Rank,3 Years,3 Years Rank,5 Years,5 Years Rank,7 Year,7 Year Rank,10 Years,10 Years Rank,12 years,12 years Rank,15 years,15 years Rank,YTD,YTD Rank,Since Inception,Since Inception Rank
Aditya Birla Sun Life Equity Hybrid 95 Fund - Dir - Growth,1630.01,03-Jul-2024,7842.4934, Jun 2024 ,1.24,22,2.2,20,4.87,11,9.25,6,10.65,10,16.36,15,25.57,16,30.6,18,23.77,26,14.87,25,14.83,23,11.94,21,13.05,14,--,--,--,--,15.9,15,14.33,20
Axis Equity Hybrid Fund - Dir - Growth,21.04,03-Jul-2024,1643.4433, Jun 2024 ,1.35,17,2.63,10,5.36,8,8.68,12,10.04,12,14.04,26,21.27,28,23.62,28,19.96,29,12.65,28,14.51,24,--,--,--,--,--,--,--,--,13.3,27,13.43,26
Bandhan Hybrid Equity Fund - Dir - Growth,26.02,03-Jul-2024,728.2046, Jun 2024 ,2,3,2.87,3,4.75,13,7.26,20,7.76,27,13.66,28,22.81,26,27.5,24,23.9,24,15.53,23,16.36,15,12.89,19,--,--,--,--,--,--,13.37,26,13.58,24
Bank of India Mid & Small Cap Equity & Debt Fund - Dir - Growth,41,03-Jul-2024,840.7604, Jun 2024 ,2.24,1,2.78,6,6.83,1,10.78,1,13.45,2,23.2,2,35.85,2,54.71,2,39.11,2,23.41,3,27.21,1,19.09,2,--,--,--,--,--,--,23.83,2,19.4,2
Baroda BNP Paribas Aggresive Hybrid Fund - Dir - Growth,30.53,03-Jul-2024,1100.0904, Jun 2024 ,1.31,19,2.45,14,4.59,15,7.51,17,8.94,17,19.34,8,30.55,6,35.68,9,28.38,10,17.91,11,19.41,7,16.69,6,--,--,--,--,--,--,19.06,8,16.66,6
Canara Robeco Equity Hybrid Fund - Dir - Growth,381.62,03-Jul-2024,10619.3924, Jun 2024 ,1.72,7,2.29,19,3.84,21,7.88,15,9.37,14,14.89,20,25.18,18,28.85,21,24.64,18,15.84,21,17.35,10,15.23,8,14.94,4,--,--,--,--,14.41,20,15.59,12
DSP Equity & Bond Fund - Dir - Growth,368.8,03-Jul-2024,9698.6629, Jun 2024 ,1.79,6,2.82,5,6.82,2,9.8,5,12.78,6,15.38,18,24.78,19,31.9,14,27.54,13,15.81,22,17.55,9,14.6,10,15.18,3,--,--,--,--,14.88,18,15.12,16
Edelweiss Aggressive Hybrid Fund - Dir - Growth,67.45,03-Jul-2024,1860.3913, Jun 2024 ,1.43,14,2.4,16,4.22,18,7.8,16,9.43,13,17.82,10,29.26,9,35.96,8,31,3,21.73,5,20.16,5,16.74,5,14.87,5,--,--,--,--,17.61,9,15.45,14
Franklin India Equity Hybrid Fund - Dir - Growth,290.99,03-Jul-2024,1901.4619, Jun 2024 ,0.75,29,1.95,23,3.06,25,7.05,24,8.56,20,15.61,17,25.71,15,33.53,13,27.23,14,17.05,14,17.16,11,14.42,11,14.86,6,--,--,--,--,15.11,17,15.55,13
Groww Aggressive Hybrid Fund - Dir - Growth,22.9,03-Jul-2024,43.8386, Jun 2024 ,0.95,26,1.9,24,2.36,27,7.29,19,8.8,18,17.19,13,29.05,11,31.68,15,25.82,15,17.21,13,15.86,18,--,--,--,--,--,--,--,--,16.16,14,16.07,8
HDFC Hybrid Equity Fund - Dir - Growth(Adjusted-NAV),122.26,03-Jul-2024,24091.0545, Jun 2024 ,0.78,28,2.19,21,3.21,24,7.06,23,8.46,22,13.23,29,20.02,29,23.06,29,24.03,22,16.34,19,16.22,17,13.78,15,14.44,8,--,--,--,--,12.84,29,16.04,9
