Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
-,-,-,-,-,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Absolute,Absolute,--,--
Scheme Name,NAV,NAV Date,Corpus (In crs.),Corpus (In crs.) Date,1 Week,1 Week Rank,2 Weeks,2 Weeks Rank,1 Month,1 Month Rank,2 Months,2 Months Rank,3 Months,3 Months Rank,6 Months,6 Months Rank,9 months,9 months Rank,1 Year,1 Year Rank,2 Years,2 Years Rank,3 Years,3 Years Rank,5 Years,5 Years Rank,7 Year,7 Year Rank,10 Years,10 Years Rank,12 years,12 years Rank,15 years,15 years Rank,YTD,YTD Rank,Since Inception,Since Inception Rank
Aditya Birla Sun Life Arbitrage Fund - Dir - Growth,26.6,03-Jul-2024,12158.3581, Jun 2024 ,0.17,4,0.28,5,0.81,5,1.51,9,2.01,13,4.25,10,6.3,7,8.53,7,7.53,9,6.35,10,5.9,7,6.16,6,6.51,7,--,--,--,--,4.47,10,6.96,5
Axis Arbitrage Fund - Dir - Growth,18.89,03-Jul-2024,5237.7422, Jun 2024 ,0.16,13,0.27,14,0.79,13,1.49,13,2.03,10,4.27,6,6.3,6,8.41,13,7.39,16,6.46,5,5.96,6,6.23,5,--,--,--,--,--,--,4.49,5,6.64,11
Bajaj Finserv Arbitrage Fund - Dir - Growth,10.62,03-Jul-2024,752.333, Jun 2024 ,0.1,26,0.27,19,0.74,24,1.39,25,1.84,25,3.82,26,5.8,23,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,4.06,25,6.2,18
Bandhan Arbitrage Fund - Dir - Growth,32.64,03-Jul-2024,6366.4839, Jun 2024 ,0.17,5,0.29,3,0.82,3,1.53,4,2.06,5,4.24,11,6.3,8,8.48,9,7.57,7,6.36,9,5.82,12,6.15,9,6.51,8,--,--,--,--,4.48,8,6.93,6
Bank of India Arbitrage Fund - Dir - Growth,13.45,03-Jul-2024,35.2507, Jun 2024 ,0.15,19,0.25,23,0.77,21,1.46,20,1.88,24,3.83,25,5.71,25,7.7,24,6.46,23,5.14,24,4.73,21,--,--,--,--,--,--,--,--,4.05,26,5.02,25
Baroda BNP Paribas Arbitrage Fund - Dir - Growth,15.79,03-Jul-2024,1179.9524, Jun 2024 ,0.18,3,0.28,4,0.78,16,1.53,5,2.07,3,4.25,8,6.28,11,8.64,2,7.45,12,6.25,13,5.89,9,6.15,8,--,--,--,--,--,--,4.5,4,6.27,17
DSP Arbitrage Fund - Dir - Growth,14.56,03-Jul-2024,4965.5098, Jun 2024 ,0.17,6,0.28,6,0.79,11,1.45,21,1.98,17,4.15,17,6.17,18,8.33,18,7.48,11,6.23,15,5.74,14,--,--,--,--,--,--,--,--,4.39,17,6.01,19
Edelweiss Arbitrage Fund - Dir - Growth,19.33,03-Jul-2024,11876.1781, Jun 2024 ,0.16,14,0.27,15,0.8,10,1.52,8,2.03,8,4.36,2,6.37,3,8.63,3,7.65,3,6.56,3,6.12,3,6.36,1,6.78,1,--,--,--,--,4.59,3,6.8,8
Groww Arbitrage Fund - Dir - Growth,0.00,--,2.49, Sep 2023 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
HDFC Arbitrage Fund - Dir - Growth,29.76,03-Jul-2024,13128.8543, Jun 2024 ,0.17,7,0.28,7,0.8,8,1.49,12,2.01,14,4.21,14,6.23,14,8.4,14,7.45,13,6.24,14,5.69,16,5.87,13,6.27,11,--,--,--,--,4.42,14,6.57,13
HSBC Arbitrage Fund - Dir - Growth,18.94,03-Jul-2024,2419.4809, Jun 2024 ,0.16,15,0.28,11,0.77,19,1.49,15,1.96,18,4.14,18,6.18,15,8.39,15,7.41,15,6.2,16,5.9,8,6.15,7,6.57,5,--,--,--,--,4.37,18,6.58,12
ICICI Prudential Equity - Arbitrage Fund - Dir - Growth,34.21,03-Jul-2024,22162.7933, Jun 2024 ,0.16,16,0.27,16,0.79,14,1.49,14,1.99,15,4.18,15,6.17,16,8.42,12,7.49,10,6.31,11,5.83,11,6.11,11,6.53,6,--,--,--,--,4.4,15,7.02,4
