Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
-,-,-,-,-,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Absolute,Absolute,--,--
Scheme Name,NAV,NAV Date,Corpus (In crs.),Corpus (In crs.) Date,1 Week,1 Week Rank,2 Weeks,2 Weeks Rank,1 Month,1 Month Rank,2 Months,2 Months Rank,3 Months,3 Months Rank,6 Months,6 Months Rank,9 months,9 months Rank,1 Year,1 Year Rank,2 Years,2 Years Rank,3 Years,3 Years Rank,5 Years,5 Years Rank,7 Year,7 Year Rank,10 Years,10 Years Rank,12 years,12 years Rank,15 years,15 years Rank,YTD,YTD Rank,Since Inception,Since Inception Rank
360 ONE Balanced Hybrid Fund - Dir - Growth,12.35,03-Jul-2024,751.938, Jun 2024 ,1.5,5,2.21,9,3.99,6,8.09,3,10.81,1,15.82,3,22.85,10,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,15.53,3,23.54,3
Aditya Birla Sun Life Balanced Advantage Fund - Dir - Growth,110.84,03-Jul-2024,7266.3837, Jun 2024 ,0.88,26,1.6,22,3.31,11,6.32,7,8.08,8,12.61,15,19.96,17,23.4,19,20.47,13,13.65,13,14.17,6,11.83,6,12.17,5,--,--,--,--,12.36,15,12.92,20
Axis Balanced Advantage Fund - Dir - Growth,21.61,03-Jul-2024,2322.4764, Jun 2024 ,1.17,11,2.32,6,3.45,10,8.27,2,8.54,4,15.44,4,25.13,6,29.7,6,22.53,7,15.27,4,13.49,11,--,--,--,--,--,--,--,--,14.64,4,11.77,26
Bajaj Finserv Balanced Advantage Fund - Dir - Growth,11.22,03-Jul-2024,1184.9208, Jun 2024 ,0.99,19,1.56,23,1.85,26,5.05,25,5.74,27,11.6,25,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,10.76,26,12.18,24
Bandhan Balanced Advantage Fund - Dir - Growth,26.15,03-Jul-2024,2264.4359, Jun 2024 ,1.01,17,1.63,21,2.61,18,4.83,27,6.92,18,11.61,23,17.48,28,20.51,26,18.81,20,11.8,19,12.66,14,11.48,8,--,--,--,--,--,--,11.34,22,10.38,29
Bank of India Balanced Advantage Fund - Dir - Growth,26.74,03-Jul-2024,133.4463, Jun 2024 ,1.21,10,1.72,17,1.66,28,5.54,19,5.98,25,12.64,14,23.49,7,26.35,13,22.08,9,17.06,2,13.31,12,9.04,12,9.21,10,--,--,--,--,12.04,17,10.01,30
Baroda BNP Paribas Balanced Advantage Fund - Dir - Growth,24.69,03-Jul-2024,3967.3581, Jun 2024 ,0.89,25,1.39,26,2.21,24,5.2,22,7.03,16,13.04,10,22.89,9,26.58,11,25.35,2,16.49,3,17.94,2,--,--,--,--,--,--,--,--,12.65,12,17.39,7
DSP Dynamic Asset Allocation Fund - Dir - Growth,29.04,03-Jul-2024,3185.3951, Jun 2024 ,0.65,28,1.15,28,2.69,16,6,11,8.59,3,10.68,28,18.31,24,22.52,22,18.42,21,11.35,20,12.42,16,10.73,11,10.42,9,--,--,--,--,10.64,27,10.78,28
Edelweiss Balanced Advantage Fund - Dir - Growth,55.21,03-Jul-2024,11720.5503, Jun 2024 ,1.27,8,1.83,15,2.28,23,5.08,24,7.5,12,14.12,6,23.37,8,26.9,10,22.4,8,15.14,5,17.01,3,14.34,2,13.16,2,--,--,--,--,13.51,6,13.63,15
Franklin India Balanced Advantage Fund - Dir - Growth,14.04,03-Jul-2024,2074.6176, Jun 2024 ,0.42,31,1.3,27,2.63,17,5.6,16,7.22,14,13.18,8,21.13,15,28.19,8,--,--,--,--,--,--,--,--,--,--,--,--,--,--,12.94,10,20.42,4
HDFC Balanced Advantage Fund - Dir - Growth(Adjusted-NAV),534.76,03-Jul-2024,89903.1872, Jun 2024 ,1.14,12,1.97,14,1.01,29,5.94,12,8.86,2,16.59,2,30.44,2,41.47,2,34.09,1,25.2,1,19.81,1,16.77,1,15.43,1,--,--,--,--,16.86,2,16.85,8
