Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
-,-,-,-,-,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Absolute,Absolute,--,--
Scheme Name,NAV,NAV Date,Corpus (In crs.),Corpus (In crs.) Date,1 Week,1 Week Rank,2 Weeks,2 Weeks Rank,1 Month,1 Month Rank,2 Months,2 Months Rank,3 Months,3 Months Rank,6 Months,6 Months Rank,9 months,9 months Rank,1 Year,1 Year Rank,2 Years,2 Years Rank,3 Years,3 Years Rank,5 Years,5 Years Rank,7 Year,7 Year Rank,10 Years,10 Years Rank,12 years,12 years Rank,15 years,15 years Rank,YTD,YTD Rank,Since Inception,Since Inception Rank
Aditya Birla Sun Life Banking and Financial Services Fund - Dir - Growth,63.25,03-Jul-2024,3278.2598, Jun 2024 ,1.28,12,3.74,2,5.96,6,7.31,11,10.65,12,13.8,12,19.23,15,26.12,12,32.09,7,17.7,8,14.53,6,13.43,7,16.2,3,--,--,--,--,13.43,11,19.09,6
Bandhan Financial Services Fund - Dir - Growth,13.57,03-Jul-2024,887.6585, Jun 2024 ,1.22,13,2.79,12,6.5,5,7.22,12,10.95,11,16.39,5,32.89,4,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,16.07,4,35.72,2
Baroda BNP Paribas Banking & Financial Services Fund - Dir - Growth,47.2,03-Jul-2024,146.7665, Jun 2024 ,0.77,17,2.65,14,2.76,16,5.7,17,9.5,16,11.8,16,26.71,6,28.51,6,29.6,11,16.85,11,12.55,10,12.7,8,12.92,7,--,--,--,--,11.06,17,12.49,17
DSP Banking and Financial Services Fund - Dir - Growth,11.51,03-Jul-2024,780.2648, Jun 2024 ,1.42,6,3.59,4,4.89,11,7.39,10,12.55,7,13.87,11,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,13.83,9,15.08,14
HDFC Banking & Financial Services Fund - Dir - Growth,16.7,03-Jul-2024,3628.3414, Jun 2024 ,1.32,10,3.13,6,5.7,9,8.57,6,12.74,5,14.24,9,26.01,7,27.02,8,33.38,5,18.87,5,--,--,--,--,--,--,--,--,--,--,13.83,8,18.57,7
ICICI Prudential Banking and Financial Services Fund - Dir - Growth,135.19,03-Jul-2024,7671.2354, Jun 2024 ,1.55,3,3.97,1,7.42,2,9.95,1,12.07,8,14.51,8,22.79,12,23.53,14,27.55,13,15.57,13,12.78,8,12.49,9,15.67,4,--,--,--,--,13.37,12,16.57,9
Invesco India Financial Services Fund - Dir - Growth,144.65,03-Jul-2024,908.6252, Jun 2024 ,1.06,15,2.49,16,4.44,13,6.09,14,10.58,13,17.07,3,33.61,2,37,2,37.18,2,20.56,3,16.78,2,15.84,3,17.52,1,--,--,--,--,16.96,3,16.82,8
ITI Banking and Financial Services Fund - Dir - Growth,14.66,03-Jul-2024,270.6501, Jun 2024 ,1.15,14,3.1,8,4.04,15,5.94,15,8.81,18,12.24,15,18.26,17,19.73,16,26.4,14,--,--,--,--,--,--,--,--,--,--,--,--,11.52,15,16.01,11
Kotak Banking & Financial Services Fund - Dir - Growth,14.65,03-Jul-2024,916.9183, Jun 2024 ,1.01,16,2.95,9,5.29,10,8.65,5,12.72,6,15.39,6,24.5,10,26.23,11,--,--,--,--,--,--,--,--,--,--,--,--,--,--,14.69,7,32.76,3
LIC MF Banking & Financial Services Fund - Dir - Growth Adjusted NAV (Post merger with IDBI Mutual Fund),22.95,03-Jul-2024,303.2787, Jun 2024 ,1.49,5,2.94,10,6.81,4,8.33,7,12.91,4,9.91,18,19.04,16,20.33,15,28.81,12,16.27,12,12.59,9,9.83,11,--,--,--,--,--,--,9.36,18,9.13,18
Mirae Asset Banking and Financial Services Fund - Dir - Growth,20.08,03-Jul-2024,1822.7533, Jun 2024 ,1.34,8,3.56,5,6.9,3,9.04,2,13.75,1,16.43,4,24.83,9,29.26,5,32.71,6,19.68,4,--,--,--,--,--,--,--,--,--,--,15.69,5,21.62,4
