Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
-,-,-,-,-,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Absolute,Absolute,--,--
Scheme Name,NAV,NAV Date,Corpus (In crs.),Corpus (In crs.) Date,1 Week,1 Week Rank,2 Weeks,2 Weeks Rank,1 Month,1 Month Rank,2 Months,2 Months Rank,3 Months,3 Months Rank,6 Months,6 Months Rank,9 months,9 months Rank,1 Year,1 Year Rank,2 Years,2 Years Rank,3 Years,3 Years Rank,5 Years,5 Years Rank,7 Year,7 Year Rank,10 Years,10 Years Rank,12 years,12 years Rank,15 years,15 years Rank,YTD,YTD Rank,Since Inception,Since Inception Rank
Aditya Birla Sun Life Business Cycle Fund - Dir - Growth,15.37,03-Jul-2024,1817.3744, Jun 2024 ,1.52,7,3.5,2,6.96,1,11.3,3,12.03,5,19.61,9,30.59,9,35.43,8,29.26,5,--,--,--,--,--,--,--,--,--,--,--,--,18.6,9,18.1,9
Axis Business Cycles Fund - Dir - Growth,16.48,03-Jul-2024,2825.7838, Jun 2024 ,2.23,3,3.13,3,4.7,7,10.09,5,12.41,4,21.98,7,35.3,7,43.91,6,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20.56,8,44.32,3
Baroda BNP Paribas Business Cycle Fund - Dir - Growth,16.7,03-Jul-2024,568.66, Jun 2024 ,2.29,2,2.74,5,6.08,3,9.49,6,11.93,6,21.42,8,40.89,4,49.13,5,36.86,4,--,--,--,--,--,--,--,--,--,--,--,--,21.83,7,20.1,8
HDFC Business Cycle Fund - Dir - Growth,14.68,03-Jul-2024,3036.8218, Jun 2024 ,0.84,9,2.43,7,5.28,6,9.44,7,10.22,9,14.69,10,27.69,10,33.26,9,--,--,--,--,--,--,--,--,--,--,--,--,--,--,14.1,10,27.29,7
HSBC Business Cycles Fund - Dir - Growth,45.62,03-Jul-2024,924.8145, Jun 2024 ,1.79,5,3.08,4,5.52,5,12.54,2,18.98,1,33.65,1,47.58,2,55.4,2,44.18,1,27.95,1,22.34,1,16.64,1,--,--,--,--,--,--,33.17,1,16.61,10
ICICI Prudential Business Cycle Fund - Dir - Growth,23.69,03-Jul-2024,10906.9106, Jun 2024 ,1.33,8,2.6,6,2.91,10,6.66,10,8.52,10,23.51,4,40.68,5,49.3,4,37.93,3,26.93,2,--,--,--,--,--,--,--,--,--,--,22.94,4,28.33,4
Kotak Business Cycle Fund - Dir - Growth,15.49,03-Jul-2024,2616.0805, Jun 2024 ,0.56,10,1.75,10,6.58,2,12.76,1,15.81,2,23.34,5,32.64,8,38.63,7,--,--,--,--,--,--,--,--,--,--,--,--,--,--,22.83,6,28.13,5
Mahindra Manulife Business Cycle Fund - Dir - Growth,15.08,03-Jul-2024,973.4394, Jun 2024 ,2.97,1,4.18,1,5.54,4,10.17,4,14.98,3,29.43,2,50.5,1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,30.71,2,50.81,2
Quant Business Cycle Fund - Dir - Growth,17.81,03-Jul-2024,1357.3626, Jun 2024 ,1.92,4,2.1,9,4.23,8,8.79,9,11.72,7,24.99,3,47.13,3,69.15,1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,25.77,3,69.32,1
Tata Business Cycle Fund - Dir - Growth,20.34,03-Jul-2024,2572.7354, Jun 2024 ,1.6,6,2.41,8,3.77,9,9.38,8,11.7,8,22.89,6,38.82,6,54.33,3,43.66,2,--,--,--,--,--,--,--,--,--,--,--,--,22.87,5,27.59,6
--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Minimum,--,--,--,--,0.56,--,1.75,--,2.91,--,6.66,--,8.52,--,14.69,--,27.69,--,33.26,--,29.26,--,26.93,--,22.34,--,16.64,--,--,--,--,--,--,--,14.1,--,16.61,--
Maximum,--,--,--,--,2.97,--,4.18,--,6.96,--,12.76,--,18.98,--,33.65,--,50.5,--,69.15,--,44.18,--,27.95,--,22.34,--,16.64,--,--,--,--,--,--,--,33.17,--,69.32,--
Average,--,--,--,--,1.71,--,2.79,--,5.16,--,10.06,--,12.83,--,23.55,--,39.18,--,47.62,--,38.38,--,27.44,--,22.34,--,16.64,--,--,--,--,--,--,--,23.34,--,33.06,--
"* Less than 1 year Absolute returns, Greater than or Equal to 1 year Compound Annualized returns",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
