Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
-,-,-,-,-,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Absolute,Absolute,--,--
Scheme Name,NAV,NAV Date,Corpus (In crs.),Corpus (In crs.) Date,1 Week,1 Week Rank,2 Weeks,2 Weeks Rank,1 Month,1 Month Rank,2 Months,2 Months Rank,3 Months,3 Months Rank,6 Months,6 Months Rank,9 months,9 months Rank,1 Year,1 Year Rank,2 Years,2 Years Rank,3 Years,3 Years Rank,5 Years,5 Years Rank,7 Year,7 Year Rank,10 Years,10 Years Rank,12 years,12 years Rank,15 years,15 years Rank,YTD,YTD Rank,Since Inception,Since Inception Rank
Aditya Birla Sun Life Bal Bhavishya Yojna - Dir - Growth,21.5,03-Jul-2024,1060.0606, Jun 2024 ,1.32,4,2.63,4,4.72,6,8.7,6,11.92,5,17.29,4,26.17,5,34.02,4,29.01,4,16.06,6,15.35,5,--,--,--,--,--,--,--,--,16.72,3,15.2,5
Axis Childrens Gift Fund - without Lock in - Dir - Growth,28.17,03-Jul-2024,872.7774, Jun 2024 ,1.5,3,2.66,3,5.61,5,9.5,5,10.55,6,13.41,8,19.35,8,21.59,8,18.81,8,11.87,8,14.04,7,13.14,5,--,--,--,--,--,--,12.46,8,12.84,7
HDFC Childrens Gift Fund - Dir,314.12,03-Jul-2024,9444.2923, Jun 2024 ,1.09,7,2.34,6,3.77,7,7.48,7,10.55,7,14.93,7,25.49,6,30.34,7,28.82,5,19.31,3,19.25,3,16.15,1,15.7,1,--,--,--,--,14.36,7,17.14,2
ICICI Prudential Child Care Fund (Gift Plan) - Dir,339.01,03-Jul-2024,1327.2426, Jun 2024 ,1.2,6,1.74,8,2.9,8,7.34,8,9.89,8,18.95,2,35.54,2,43.83,2,31.67,2,21.53,2,17.36,4,14.74,4,13.63,4,--,--,--,--,19.14,2,15.46,3
LIC MF Childrens Fund -Dir,36.81,03-Jul-2024,16.9505, Jun 2024 ,0.98,8,2.62,5,7.45,3,10.76,4,12.01,4,15.63,5,25.43,7,31.25,6,24.79,7,15.08,7,14.55,6,10.89,6,11.04,5,--,--,--,--,15.06,6,11.6,8
SBI Magnum Childrens Benefit Fund - Investment Plan - Dir - Growth,41.27,03-Jul-2024,2325.6415, Jun 2024 ,2.94,2,3.89,2,12.45,1,14.78,1,20.44,1,27.97,1,36.46,1,45.57,1,37.28,1,32.46,1,--,--,--,--,--,--,--,--,--,--,27.37,1,45.77,1
Tata Young Citizens Fund - Dir,68.33,03-Jul-2024,363.2266, Jun 2024 ,3.1,1,4.24,1,8.65,2,10.84,3,12.5,3,15.29,6,27.21,4,33.6,5,30.31,3,18.87,4,20.08,1,14.74,3,14.34,3,--,--,--,--,15.23,5,14.16,6
UTI Childrens Equity Fund - Dir - Growth,92.68,03-Jul-2024,1100.5665, Jun 2024 ,1.23,5,2.32,7,7.42,4,11.61,2,14.5,2,17.33,3,29.25,3,34.93,3,27.69,6,16.93,5,19.31,2,15.33,2,14.69,2,--,--,--,--,16.31,4,15.27,4
--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Minimum,--,--,--,--,0.98,--,1.74,--,2.9,--,7.34,--,9.89,--,13.41,--,19.35,--,21.59,--,18.81,--,11.87,--,14.04,--,10.89,--,11.04,--,--,--,--,--,12.46,--,11.6,--
Maximum,--,--,--,--,3.1,--,4.24,--,12.45,--,14.78,--,20.44,--,27.97,--,36.46,--,45.57,--,37.28,--,32.46,--,20.08,--,16.15,--,15.7,--,--,--,--,--,27.37,--,45.77,--
Average,--,--,--,--,1.67,--,2.81,--,6.62,--,10.13,--,12.8,--,17.6,--,28.11,--,34.39,--,28.55,--,19.01,--,17.13,--,14.17,--,13.88,--,--,--,--,--,17.08,--,18.43,--
"* Less than 1 year Absolute returns, Greater than or Equal to 1 year Compound Annualized returns",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
