Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
-,-,-,-,-,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Absolute,Absolute,--,--
Scheme Name,NAV,NAV Date,Corpus (In crs.),Corpus (In crs.) Date,1 Week,1 Week Rank,2 Weeks,2 Weeks Rank,1 Month,1 Month Rank,2 Months,2 Months Rank,3 Months,3 Months Rank,6 Months,6 Months Rank,9 months,9 months Rank,1 Year,1 Year Rank,2 Years,2 Years Rank,3 Years,3 Years Rank,5 Years,5 Years Rank,7 Year,7 Year Rank,10 Years,10 Years Rank,12 years,12 years Rank,15 years,15 years Rank,YTD,YTD Rank,Since Inception,Since Inception Rank
Aditya Birla Sun Life Regular Savings Fund - Dir - Growth,68.12,03-Jul-2024,1393.0115, Jun 2024 ,0.5,10,0.86,11,1.68,10,3.61,9,4.48,7,7.11,11,10.62,14,12.82,14,12.21,11,9.89,10,10.11,8,8.35,9,10.34,4,--,--,--,--,6.88,13,10.87,4
Axis Regular Saver Fund - Dir - Growth,32.47,03-Jul-2024,333.9249, Jun 2024 ,0.47,12,0.79,15,2.23,7,3.92,7,4.08,11,6.47,15,9.67,16,11.31,17,11.02,15,8.09,16,9.75,9,8.17,11,8.69,12,--,--,--,--,6.11,15,9.22,11
Bandhan Conservative Hybrid Fund - Dir - Growth,33.6,03-Jul-2024,116.944, Jun 2024 ,0.76,3,0.97,7,2.71,1,4.06,4,4.76,5,7.03,14,11.46,12,13.03,13,10.63,17,7.41,18,7.79,16,7.18,17,8.39,15,--,--,--,--,6.88,14,8.67,15
Bank of India Conservative Hybrid Fund - Dir - Growth,35.01,03-Jul-2024,73.902, Jun 2024 ,0.34,16,0.5,19,0.99,17,2.82,16,2.91,17,7.08,13,11.6,11,14.6,11,11.88,13,14.86,1,12.82,2,8.26,10,8.92,10,--,--,--,--,6.96,11,8.98,13
Baroda BNP Paribas Conservative Hybrid Fund -  Dir - Growth,50.62,03-Jul-2024,664.3182, Jun 2024 ,0.56,5,0.92,8,1.6,11,2.99,15,3.92,13,7.61,9,12.29,7,14.63,10,13.1,9,9.43,11,9.47,12,8.98,6,9.71,6,--,--,--,--,7.51,8,9.88,9
Canara Robeco Conservative Hybrid Fund - Dir - Growth,102.42,03-Jul-2024,984.1444, Jun 2024 ,0.55,6,1.05,3,1.77,9,3.64,8,4.48,6,7.1,12,10.97,13,13.47,12,12.07,12,8.92,15,10.66,6,9.55,4,9.55,7,--,--,--,--,6.95,12,10.02,7
DSP Regular Savings Fund - Dir - Growth,60.43,03-Jul-2024,172.9345, Jun 2024 ,0.81,2,1.16,1,2.39,3,3.32,11,4.45,8,7.31,10,12.57,6,14.67,9,12.71,10,8.95,14,9.66,11,7.82,13,8.52,14,--,--,--,--,7.26,10,8.79,14
Franklin India Debt Hybrid Fund - Dir - Growth,92,03-Jul-2024,236.8515, Jun 2024 ,0.36,15,0.84,13,1.44,13,3.33,10,4.23,10,7.62,8,12.14,9,15.45,7,13.4,7,9.36,12,9.17,14,8.13,12,9.11,9,--,--,--,--,7.51,9,9.47,10
HDFC Hybrid Debt Fund - Dir - Growth,81.73,03-Jul-2024,3231.9349, Jun 2024 ,0.48,11,0.81,14,0.95,18,3.16,14,3.92,12,8.07,6,13.12,3,16.62,4,15.29,2,11.39,5,11.08,4,9.27,5,9.8,5,--,--,--,--,8.12,6,10.29,6
HSBC Conservative Hybrid Fund - Dir - GrowthAdjusted NAV (Post merger with L&T Mutual Fund),63.83,03-Jul-2024,121.6406, Jun 2024 ,0.84,1,1.04,4,2.41,2,5.48,1,7.25,1,11.54,1,15.49,1,18.01,3,14.51,3,10.13,8,9.72,10,8.39,8,8.78,11,--,--,--,--,11.44,1,9.11,12
ICICI Prudential Regular Savings Fund - Dir - Growth,75.99,03-Jul-2024,3334.7992, Jun 2024 ,0.47,13,0.84,12,1.98,8,3.31,12,3.89,14,7.79,7,12.16,8,15.02,8,13.2,8,10.8,7,10.75,5,9.87,2,10.76,2,--,--,--,--,7.83,7,10.94,3
