Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
-,-,-,-,-,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Absolute,Absolute,--,--
Scheme Name,NAV,NAV Date,Corpus (In crs.),Corpus (In crs.) Date,1 Week,1 Week Rank,2 Weeks,2 Weeks Rank,1 Month,1 Month Rank,2 Months,2 Months Rank,3 Months,3 Months Rank,6 Months,6 Months Rank,9 months,9 months Rank,1 Year,1 Year Rank,2 Years,2 Years Rank,3 Years,3 Years Rank,5 Years,5 Years Rank,7 Year,7 Year Rank,10 Years,10 Years Rank,12 years,12 years Rank,15 years,15 years Rank,YTD,YTD Rank,Since Inception,Since Inception Rank
Aditya Birla Sun Life India GenNext Fund - Dir - Growth,234.4,03-Jul-2024,5442.3103, Jun 2024 ,0.96,10,1.48,9,7.33,10,9.29,8,12.68,7,16.58,9,28.38,11,33.9,11,29.66,10,20.82,9,21.12,7,17.66,6,18.79,3,--,--,--,--,16.37,9,18.84,8
Baroda BNP Paribas India Consumption Fund - Dir - Growth,33.35,03-Jul-2024,1375.8851, Jun 2024 ,1.01,9,1.08,11,7.58,7,10.01,3,12.9,6,18.23,6,31.47,6,36.3,7,31.53,7,21.9,8,22.76,5,--,--,--,--,--,--,--,--,18.23,7,22.97,4
Canara Robeco Consumer Trends Fund - Dir - Growth,119.91,03-Jul-2024,1598.3432, Jun 2024 ,1.22,5,1.52,8,6.48,12,7.06,13,11.49,12,18.52,5,32.02,5,36.8,5,33.39,5,22.59,5,23.18,3,19.48,2,19.31,1,--,--,--,--,18.98,5,18.76,9
HDFC Non-Cyclical Consumer Fund - Dir - Growth,13.48,03-Jul-2024,715.2577, Jun 2024 ,0.95,11,1.47,10,6.3,13,6.19,14,11.4,13,14.58,12,27.57,12,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,15.17,12,34.75,2
HSBC Consumption Fund - Dir - Growth,13.78,03-Jul-2024,1377.0359, Jun 2024 ,1.14,6,1.6,7,8.92,3,7.74,11,11.89,11,21.66,1,36.34,1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,21.71,2,37.76,1
ICICI Prudential Bharat Consumption Fund - Dir - Growth,25.86,03-Jul-2024,2433.7509, Jun 2024 ,0.66,13,0.74,14,4.99,14,7.21,12,8.25,14,14.12,13,28.59,9,38.68,3,29.66,9,24.86,3,20.93,8,--,--,--,--,--,--,--,--,14.48,13,19.92,6
Kotak Consumption Fund - Dir - Growth,12.67,03-Jul-2024,682.9492, Jun 2024 ,1.04,8,1.89,4,9.03,2,12.37,1,17.15,1,18.08,7,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,18.65,6,26.69,3
Mahindra Manulife Consumption Fund - Dir - Growth,24.9,03-Jul-2024,229.8784, Jun 2024 ,1.11,7,1.63,6,7.41,9,9.65,6,13.08,5,21.58,2,34.68,2,39.87,2,33.62,4,22.11,7,19.47,9,--,--,--,--,--,--,--,--,22.08,1,17.55,11
Mirae Asset Great Consumer Fund - Dir - Growth,105.92,03-Jul-2024,3751.1443, Jun 2024 ,1.61,2,2.1,2,7.89,5,9.9,5,13.49,4,16.24,10,30.74,7,36.29,8,34.2,2,24.16,4,22.85,4,19.64,1,19.21,2,--,--,--,--,15.83,10,19.62,7
Nippon India Consumption Fund - Dir - Growth,216.81,03-Jul-2024,1063.2602, Jun 2024 ,0.9,12,1.04,12,6.64,11,10.04,2,14.2,2,20.17,4,33.52,3,42.27,1,34.81,1,26.58,2,26.17,1,18.52,3,15.9,6,--,--,--,--,20.97,3,16.05,13
SBI Consumption Opportunities Fund - Dir - Growth,349.17,03-Jul-2024,2404.5777, Jun 2024 ,1.28,4,1.81,5,8.05,4,9.1,10,12.42,9,17.04,8,28.45,10,36.5,6,32.71,6,26.93,1,24.19,2,18.24,4,18.75,4,--,--,--,--,17,8,18.31,10
Sundaram Consumption Fund  - Dir - Growth,99.41,03-Jul-2024,1494.8079, Jun 2024 ,1.51,3,2.18,1,7.76,6,9.94,4,11.91,10,12.8,14,25.15,13,34.19,10,30.84,8,20.3,10,18.29,11,13.51,8,16.26,5,--,--,--,--,12.59,14,16.32,12
