Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
-,-,-,-,-,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Absolute,Absolute,--,--
Scheme Name,NAV,NAV Date,Corpus (In crs.),Corpus (In crs.) Date,1 Week,1 Week Rank,2 Weeks,2 Weeks Rank,1 Month,1 Month Rank,2 Months,2 Months Rank,3 Months,3 Months Rank,6 Months,6 Months Rank,9 months,9 months Rank,1 Year,1 Year Rank,2 Years,2 Years Rank,3 Years,3 Years Rank,5 Years,5 Years Rank,7 Year,7 Year Rank,10 Years,10 Years Rank,12 years,12 years Rank,15 years,15 years Rank,YTD,YTD Rank,Since Inception,Since Inception Rank
Aditya Birla Sun Life Dividend Yield Fund - Dir - Growth,493.52,03-Jul-2024,1446.8755, Jun 2024 ,2.38,1,2.95,3,5.02,4,8.8,6,11.25,6,20.01,6,39.88,5,52.96,3,42.54,1,25.45,4,24.3,4,16.15,5,14.73,5,--,--,--,--,19.37,8,15.34,9
HDFC Dividend Yield Fund - Dir - Growth,26.45,03-Jul-2024,5617.5351, Jun 2024 ,2.1,3,3.56,1,5.5,3,10.01,3,12.24,4,19.82,7,36.24,7,49.88,5,39.99,4,28.61,2,--,--,--,--,--,--,--,--,--,--,19.78,5,31.59,2
ICICI Prudential Dividend Yield Equity Fund - Dir - Growth,54.56,03-Jul-2024,4256.9138, Jun 2024 ,1.3,9,2.69,4,3.55,6,7.11,8,9.19,9,23.24,3,42.38,2,55.39,2,42.32,2,31.22,1,26,1,18.13,2,17.09,2,--,--,--,--,23.19,3,18.21,5
LIC MF Dividend Yield Fund - Dir - Growth,32.12,03-Jul-2024,241.773, Jun 2024 ,1.9,5,3.11,2,6.84,1,12.98,1,17.43,1,32.16,1,50.07,1,61.38,1,41.76,3,25.97,3,25.61,2,--,--,--,--,--,--,--,--,31.91,1,23.46,4
SBI Dividend Yield Fund - Dir - Growth,15.53,03-Jul-2024,8375.2767, Jun 2024 ,1.67,7,2.16,8,4.57,5,9.92,5,11.56,5,20.76,5,33.12,9,39.51,9,--,--,--,--,--,--,--,--,--,--,--,--,--,--,19.69,7,40.08,1
Sundaram Dividend Yield Fund - Dir - Growth,148.14,03-Jul-2024,923.5376, Jun 2024 ,1.78,6,2.37,6,3.15,7,7.61,7,9.38,7,18.37,9,37.21,6,45.98,8,34.09,7,21.86,8,21.88,6,17.77,3,16.04,3,--,--,--,--,18.27,9,16.14,7
Tata Dividend Yield Fund - Dir - Growth,19.53,03-Jul-2024,998.0602, Jun 2024 ,1.63,8,2.35,7,2.8,8,9.99,4,13.65,3,19.8,8,35.01,8,47.81,7,38.26,5,23.91,6,--,--,--,--,--,--,--,--,--,--,19.69,6,23.9,3
Templeton India Equity Income Fund - Dir - Growth,150.68,03-Jul-2024,2325.5213, Jun 2024 ,2.08,4,2.1,9,1.84,9,6.95,9,9.28,8,21.69,4,41.33,3,49.06,6,33.35,8,24.49,5,25.26,3,19.54,1,17.46,1,--,--,--,--,21.81,4,17.58,6
UTI Dividend Yield Fund - Dir - Growth,183.62,03-Jul-2024,4071.319, Jun 2024 ,2.22,2,2.65,5,6.8,2,12.94,2,15.87,2,23.99,2,39.94,4,51.51,4,35.94,6,21.97,7,22.11,5,17.56,4,15.17,4,--,--,--,--,23.54,2,15.55,8
--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Minimum,--,--,--,--,1.3,--,2.1,--,1.84,--,6.95,--,9.19,--,18.37,--,33.12,--,39.51,--,33.35,--,21.86,--,21.88,--,16.15,--,14.73,--,--,--,--,--,18.27,--,15.34,--
Maximum,--,--,--,--,2.38,--,3.56,--,6.84,--,12.98,--,17.43,--,32.16,--,50.07,--,61.38,--,42.54,--,31.22,--,26,--,19.54,--,17.46,--,--,--,--,--,31.91,--,40.08,--
Average,--,--,--,--,1.9,--,2.66,--,4.45,--,9.59,--,12.21,--,22.2,--,39.46,--,50.39,--,38.53,--,25.43,--,24.19,--,17.83,--,16.1,--,--,--,--,--,21.92,--,22.43,--
"* Less than 1 year Absolute returns, Greater than or Equal to 1 year Compound Annualized returns",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
