Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
-,-,-,-,-,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Absolute,Absolute,--,--
Scheme Name,NAV,NAV Date,Corpus (In crs.),Corpus (In crs.) Date,1 Week,1 Week Rank,2 Weeks,2 Weeks Rank,1 Month,1 Month Rank,2 Months,2 Months Rank,3 Months,3 Months Rank,6 Months,6 Months Rank,9 months,9 months Rank,1 Year,1 Year Rank,2 Years,2 Years Rank,3 Years,3 Years Rank,5 Years,5 Years Rank,7 Year,7 Year Rank,10 Years,10 Years Rank,12 years,12 years Rank,15 years,15 years Rank,YTD,YTD Rank,Since Inception,Since Inception Rank
Aditya Birla Sun Life ELSS Tax Saver Fund - Dir - Growth,64.74,03-Jul-2024,16320.1765, Jun 2024 ,1.24,29,2.66,25,5.46,22,10.42,16,13.16,16,19.91,21,30.39,26,36.15,29,27,32,14.39,33,14.4,32,12.37,30,14.37,20,--,--,--,--,19.69,20,15.8,31
Axis ELSS Tax Saver Fund - Dir - Growth,103.54,03-Jul-2024,37106.3006, Jun 2024 ,1.07,34,1.71,35,6.12,15,7.6,36,7.95,37,17.29,31,28.64,29,30.73,36,26.01,34,12.11,34,15.57,31,15.06,25,15.63,13,--,--,--,--,16.83,30,18.33,15
Bandhan ELSS Tax saver Fund  - Dir - Growth,172.53,03-Jul-2024,6855.5957, Jun 2024 ,1.79,22,2.74,23,5.39,23,8.46,30,9.35,35,18.01,25,28.38,32,36.89,27,32.96,16,21.97,13,22.92,7,18.47,10,18.37,5,--,--,--,--,17.32,27,19.45,11
Bank of India ELSS Tax Saver - Dir - Growth,200.49,03-Jul-2024,1428.3298, Jun 2024 ,2.43,7,2.24,28,3.45,35,9.75,24,13.04,19,27.33,5,45.91,5,60.57,1,43.69,3,25.17,6,28.92,2,22.32,2,19.85,2,--,--,--,--,27.68,5,20.53,8
Baroda BNP Paribas ELSS Tax Saver Fund -  Dir - Growth,102.74,03-Jul-2024,928.9403, Jun 2024 ,2.51,5,2.94,20,5.36,24,8.96,28,13.15,18,21.57,17,40.12,8,45.87,14,34.61,13,20.36,20,19.97,17,16.11,18,15.6,14,--,--,--,--,20.65,18,16.9,24
Canara Robeco ELSS Tax Saver - Dir - Growth,188.48,03-Jul-2024,8456.8083, Jun 2024 ,2.08,15,3.04,16,4.85,31,10.32,18,12.34,23,18.82,23,32.16,22,36.27,28,30.53,26,19.23,28,21.75,10,19.03,5,16.65,10,--,--,--,--,18.19,23,17.29,22
DSP ELSS Tax Saver Fund - Dir - Growth,147.13,03-Jul-2024,16283.7763, Jun 2024 ,2.35,9,3.46,9,6.09,16,12.35,5,16.85,3,23.63,9,39.87,10,49.68,7,36.34,10,23,11,23.22,6,18.96,6,18.35,6,--,--,--,--,23.31,9,19.4,12
Edelweiss ELSS Tax saver Fund - Dir- Growth,126.66,03-Jul-2024,380.486, Jun 2024 ,1.82,21,2.96,19,6.17,13,12.17,6,13.89,13,22.32,11,36.16,18,41.09,20,33.42,15,21.57,16,19.98,16,16.19,16,15.54,15,--,--,--,--,21.26,13,16.7,27
Franklin India ELSS Tax Saver Fund - Dir - Growth,1581.8,03-Jul-2024,6815.8962, Jun 2024 ,1.5,28,3.21,14,4.94,28,9.68,26,11.88,26,20.49,19,35.71,20,47.35,11,36.7,9,23.37,8,20.83,13,16.85,14,16.82,9,--,--,--,--,20,19,17.69,20
Groww ELSS Tax Savings Fund - Dir - Growth,22.62,03-Jul-2024,48.6796, Jun 2024 ,1.85,18,2.82,22,5.01,27,9.7,25,10.99,28,20.45,20,36.76,14,42.31,19,31.76,22,20.08,23,17.52,29,--,--,--,--,--,--,--,--,19.24,21,13.34,37
HDFC ELSS Taxsaver Fund - Dir - Growth,1418.98,03-Jul-2024,15674.3473, Jun 2024 ,0.92,35,2.35,26,4.89,30,10.36,17,12.64,22,21.9,14,39.96,9,48.15,10,38.22,8,27.5,3,20.56,14,15.97,19,14.4,19,--,--,--,--,21.67,12,16.43,29
