Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
-,-,-,-,-,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Absolute,Absolute,--,--
Scheme Name,NAV,NAV Date,Corpus (In crs.),Corpus (In crs.) Date,1 Week,1 Week Rank,2 Weeks,2 Weeks Rank,1 Month,1 Month Rank,2 Months,2 Months Rank,3 Months,3 Months Rank,6 Months,6 Months Rank,9 months,9 months Rank,1 Year,1 Year Rank,2 Years,2 Years Rank,3 Years,3 Years Rank,5 Years,5 Years Rank,7 Year,7 Year Rank,10 Years,10 Years Rank,12 years,12 years Rank,15 years,15 years Rank,YTD,YTD Rank,Since Inception,Since Inception Rank
Aditya Birla Sun Life ESG Integration Strategy Fund - Dir - Growth,17.9,03-Jul-2024,679.9703, Jun 2024 ,1.7,4,3.11,3,8.03,1,14.23,1,14.01,1,18.31,3,28.32,7,33.38,6,26.81,6,15.46,6,--,--,--,--,--,--,--,--,--,--,16.76,5,17.95,7
Axis ESG Integration Strategy Fund - Dir - Growth,22.24,03-Jul-2024,1390.6406, Jun 2024 ,1.74,3,2.02,7,5.96,5,7.91,8,8.33,7,16.5,7,29.91,4,32.2,7,26.1,7,13.67,8,--,--,--,--,--,--,--,--,--,--,14.82,7,19.96,4
ICICI Prudential ESG Exclusionary Strategy Fund - Dir - Growth,21.56,03-Jul-2024,1496.0809, Jun 2024 ,1.36,8,3.95,1,7.21,3,9.61,6,10.34,6,16.6,6,32.92,2,41.34,2,32.4,2,17.82,3,--,--,--,--,--,--,--,--,--,--,17.17,3,22.84,2
Invesco India ESG Integration Strategy Fund - Dir - Growth,18.2,03-Jul-2024,552.0435, Jun 2024 ,1.56,7,2.48,5,6.43,4,8.59,7,12.48,3,17.95,5,29.81,5,36.01,4,27.92,4,16.77,4,--,--,--,--,--,--,--,--,--,--,17.12,4,19.96,3
Kotak ESG Exclusionary Strategy Fund - Dir - Growth,18.07,03-Jul-2024,1012.8117, Jun 2024 ,1.6,5,2.52,4,4.8,7,10.4,3,11.68,4,18.99,2,30.06,3,36.56,3,29.79,3,16.04,5,--,--,--,--,--,--,--,--,--,--,17.39,2,18.05,6
Quant ESG Equity Fund - Dir - Growth,36.42,03-Jul-2024,278.5624, Jun 2024 ,1.75,2,1.84,8,2.18,8,9.77,5,10.99,5,22.48,1,38.72,1,51.17,1,39.75,1,31.39,1,--,--,--,--,--,--,--,--,--,--,24.16,1,42.39,1
Quantum ESG Best In Class Strategy Fund - Dir - Growth,24.23,03-Jul-2024,83.5866, Jun 2024 ,1.89,1,2.37,6,7.45,2,9.89,4,8.31,8,14.13,8,25.15,8,30.74,8,25.77,8,15.02,7,--,--,--,--,--,--,--,--,--,--,13.54,8,19.44,5
SBI ESG Exclusionary Strategy Fund - Dir - Growth,257.83,03-Jul-2024,5874.1593, Jun 2024 ,1.59,6,3.25,2,5.48,6,11.76,2,13.46,2,18,4,29.48,6,33.56,5,27.44,5,17.84,2,17.62,1,15.83,1,14.97,1,--,--,--,--,16.13,6,15.68,8
--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Minimum,--,--,--,--,1.36,--,1.84,--,2.18,--,7.91,--,8.31,--,14.13,--,25.15,--,30.74,--,25.77,--,13.67,--,17.62,--,15.83,--,14.97,--,--,--,--,--,13.54,--,15.68,--
Maximum,--,--,--,--,1.89,--,3.95,--,8.03,--,14.23,--,14.01,--,22.48,--,38.72,--,51.17,--,39.75,--,31.39,--,17.62,--,15.83,--,14.97,--,--,--,--,--,24.16,--,42.39,--
Average,--,--,--,--,1.65,--,2.69,--,5.94,--,10.27,--,11.2,--,17.87,--,30.55,--,36.87,--,29.5,--,18,--,17.62,--,15.83,--,14.97,--,--,--,--,--,17.14,--,22.03,--
"* Less than 1 year Absolute returns, Greater than or Equal to 1 year Compound Annualized returns",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
