Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
-,-,-,-,-,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Absolute,Absolute,--,--
Scheme Name,NAV,NAV Date,Corpus (In crs.),Corpus (In crs.) Date,1 Week,1 Week Rank,2 Weeks,2 Weeks Rank,1 Month,1 Month Rank,2 Months,2 Months Rank,3 Months,3 Months Rank,6 Months,6 Months Rank,9 months,9 months Rank,1 Year,1 Year Rank,2 Years,2 Years Rank,3 Years,3 Years Rank,5 Years,5 Years Rank,7 Year,7 Year Rank,10 Years,10 Years Rank,12 years,12 years Rank,15 years,15 years Rank,YTD,YTD Rank,Since Inception,Since Inception Rank
Aditya Birla Sun Life Equity Savings Fund - Dir - Growth,22.54,03-Jul-2024,545.5356, Jun 2024 ,0.49,17,0.76,19,1.26,21,2.59,22,3.39,20,5.82,20,9.21,20,11.72,20,12.7,18,7.87,21,9.47,16,8.13,14,--,--,--,--,--,--,5.82,20,8.83,18
Axis Equity Saver Fund - Dir - Growth,23.44,03-Jul-2024,938.1984, Jun 2024 ,0.69,10,1.38,7,2.09,10,4.41,4,4.92,12,8.97,8,15.7,5,19.59,6,16.23,10,11.24,10,11.41,10,10.7,5,--,--,--,--,--,--,8.62,10,10.05,11
Bandhan Equity Savings Fund - Dir - Growth,32.36,03-Jul-2024,127.9039, Jun 2024 ,0.52,16,0.89,17,1.58,19,3,18,3.4,19,5.97,19,9.32,19,11.85,19,10.88,20,8.37,20,8.64,19,7.96,15,7.78,7,--,--,--,--,5.95,19,7.84,21
Baroda BNP Paribas Equity Savings Fund - Dir - Growth,16.44,03-Jul-2024,238.341, Jun 2024 ,0.72,8,1.18,10,2.28,9,3.87,11,4.98,10,8.54,10,15.23,8,17.3,14,15.58,11,10.67,13,--,--,--,--,--,--,--,--,--,--,8.46,12,10.57,7
DSP Equity Savings Fund - Dir - Growth,22.47,03-Jul-2024,1346.9187, Jun 2024 ,1.03,3,1.51,3,3.23,3,4.04,8,5.55,5,8.47,12,14.03,12,16.39,15,13.96,15,10.36,14,10.88,12,9.65,9,--,--,--,--,--,--,8.53,11,10.28,10
Edelweiss Equity Savings Fund - Dir - Growth,25.33,03-Jul-2024,441.7773, Jun 2024 ,0.41,19,0.9,16,2.01,12,3.86,12,4.96,11,9.2,7,14.2,11,18.2,10,15.48,12,11.11,11,11.72,8,10.75,4,--,--,--,--,--,--,9.24,6,10.02,12
Franklin India Equity Savings Fund - Dir - Growth,16.68,03-Jul-2024,624.7607, Jun 2024 ,0.41,20,0.68,20,1.25,22,2.81,20,3.41,18,6.15,18,9.71,18,12.51,18,12.67,19,9.29,17,9.68,15,--,--,--,--,--,--,--,--,6.13,18,9.13,15
HDFC Equity Savings Fund - Dir - Growth,69.26,03-Jul-2024,4619.665, Jun 2024 ,0.58,12,1.03,13,1.65,16,3.55,14,4.22,15,8.78,9,15.28,6,18.91,9,16.37,9,11.86,6,11.68,9,10.46,7,10.6,1,--,--,--,--,9,8,10.9,4
HSBC Equity Savings Fund - Dir - Growth,34.95,03-Jul-2024,344.1482, Jun 2024 ,1.08,2,1.45,6,4.3,1,6.66,1,10.21,1,16.6,1,21.69,1,26.64,1,20.18,1,14.47,1,13.45,1,10.93,3,10.51,2,--,--,--,--,16.44,1,10.5,8
ICICI Prudential Equity Savings Fund - Dir - Growth,22.26,03-Jul-2024,10621.9921, Jun 2024 ,0.32,22,0.68,22,1.92,13,2.87,19,2.87,22,5.05,22,7.95,22,11.32,21,10.37,21,9.04,18,8.69,18,8.51,12,--,--,--,--,--,--,5.2,22,8.71,19
Invesco India Equity Savings Fund - Dir - Growth,17.63,03-Jul-2024,208.2231, Jun 2024 ,0.89,4,1.03,12,4.1,2,5.81,2,7.95,2,12.69,2,19.46,2,22.78,2,18.29,2,11.7,8,11.25,11,--,--,--,--,--,--,--,--,12.89,2,11.23,3
