Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
-,-,-,-,-,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Absolute,Absolute,--,--
Scheme Name,NAV,NAV Date,Corpus (In crs.),Corpus (In crs.) Date,1 Week,1 Week Rank,2 Weeks,2 Weeks Rank,1 Month,1 Month Rank,2 Months,2 Months Rank,3 Months,3 Months Rank,6 Months,6 Months Rank,9 months,9 months Rank,1 Year,1 Year Rank,2 Years,2 Years Rank,3 Years,3 Years Rank,5 Years,5 Years Rank,7 Year,7 Year Rank,10 Years,10 Years Rank,12 years,12 years Rank,15 years,15 years Rank,YTD,YTD Rank,Since Inception,Since Inception Rank
360 ONE Flexicap Fund - Dir - Growth,15.43,03-Jul-2024,742.3217, Jun 2024 ,2.9,2,3.99,3,7.46,6,14.66,1,20.47,2,29.4,3,45.08,6,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,28.65,4,53.56,2
Aditya Birla Sun Life Flexi Cap Fund - Dir - Growth,1864.62,03-Jul-2024,21895.9916, Jun 2024 ,1.19,33,2.45,29,5.93,20,9.33,27,11.47,29,18.08,29,30.52,27,37.58,23,30.65,20,17.84,20,19.04,12,15.34,13,15.84,10,--,--,--,--,17.6,29,17.96,21
Axis Flexi Cap Fund - Dir - Growth,27.93,03-Jul-2024,12721.3561, Jun 2024 ,1.45,29,2.08,36,5.68,22,10.05,20,12.94,14,21.33,18,32.56,21,35.34,27,27.53,25,15.74,22,17.76,18,--,--,--,--,--,--,--,--,19.97,20,16.78,28
Bajaj Finserv Flexi Cap Fund - Dir - Growth,14.22,03-Jul-2024,3115.4283, Jun 2024 ,2.02,12,3.49,7,8.54,4,13.27,4,18.07,3,27.54,6,40.68,11,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,27.48,6,42.17,4
Bandhan Flexi Cap Fund - Dir - Growth,218.71,03-Jul-2024,7428.5162, Jun 2024 ,1.72,21,3.06,17,5.33,23,8.76,31,11.94,22,19.38,22,30.36,28,37.95,22,30.13,21,18.76,17,17.36,20,13.45,18,14.16,13,--,--,--,--,17.84,28,15.8,33
Bank of India Flexi Cap Fund - Dir - Growth,38.14,03-Jul-2024,1467.3637, Jun 2024 ,2.33,7,2.33,33,3.22,38,11.07,13,14.67,10,30.62,2,51.23,2,69.27,2,47.18,2,28.43,2,--,--,--,--,--,--,--,--,--,--,31.16,2,39.59,5
Baroda BNP Paribas Flexi Cap Fund - Dir - Growth,15.85,03-Jul-2024,1342.7976, Jun 2024 ,1.57,27,2.21,34,4.03,32,8.46,32,12.09,19,21.43,17,35.98,14,42.41,14,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20.9,15,27.76,10
Canara Robeco Flexi Cap Fund - Dir - Growth,360.87,03-Jul-2024,13190.0412, Jun 2024 ,1.81,18,2.6,24,5.71,21,10.72,15,11.51,28,19.06,25,31.62,23,35.05,28,29.45,23,18.44,18,20.21,11,17.77,6,15.47,11,--,--,--,--,18.28,27,16.16,31
DSP Flexi Cap Fund - Dir - Growth,110.2,03-Jul-2024,11391.487, Jun 2024 ,2.16,9,3.37,9,7.34,8,12.27,7,16.6,4,19.36,23,31.54,24,41.06,18,34.93,10,19.02,16,21.18,9,17.66,7,16.31,9,--,--,--,--,18.69,22,17.02,27
Edelweiss Flexi Cap Fund - Dir - Growth,42.91,03-Jul-2024,2139.1523, Jun 2024 ,2.34,6,3.81,4,6.75,13,13.11,5,15.88,5,26.75,8,43.31,9,48.97,8,37.94,8,24.26,5,22.32,5,19.21,4,--,--,--,--,--,--,25.86,8,16.72,29
Franklin India Flexi Cap Fund - Dir - Growth,1741.76,03-Jul-2024,16677.198, Jun 2024 ,1.41,31,3.11,15,4.64,30,9.39,25,11.76,25,20.06,20,34.84,16,46.42,11,35.92,9,23.94,6,22.62,4,17.59,9,17.49,5,--,--,--,--,19.59,21,18.22,19
