Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
-,-,-,-,-,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Absolute,Absolute,--,--
Scheme Name,NAV,NAV Date,Corpus (In crs.),Corpus (In crs.) Date,1 Week,1 Week Rank,2 Weeks,2 Weeks Rank,1 Month,1 Month Rank,2 Months,2 Months Rank,3 Months,3 Months Rank,6 Months,6 Months Rank,9 months,9 months Rank,1 Year,1 Year Rank,2 Years,2 Years Rank,3 Years,3 Years Rank,5 Years,5 Years Rank,7 Year,7 Year Rank,10 Years,10 Years Rank,12 years,12 years Rank,15 years,15 years Rank,YTD,YTD Rank,Since Inception,Since Inception Rank
360 ONE Focused Equity Fund - Dir - Growth,53.48,03-Jul-2024,7640.9739, Jun 2024 ,1.74,10,3.53,6,5.03,19,9.77,14,13.72,6,22.12,10,33.44,15,40.55,13,36.39,7,22.71,8,24.48,2,20.93,1,--,--,--,--,--,--,21.18,11,18.91,14
Aditya Birla Sun Life Focused Equity Fund - Dir - Growth,150.18,03-Jul-2024,7640.5749, Jun 2024 ,1.36,16,3.07,12,5.39,16,9.4,17,10.35,21,19.74,14,31.64,17,37.24,18,29.02,18,18.69,15,18.02,13,15.21,10,14.7,11,--,--,--,--,18.57,17,16.37,20
Axis Focused Fund - Dir - Growth,59.88,03-Jul-2024,13880.5114, Jun 2024 ,0.45,27,1.01,27,4.25,24,6,26,6.06,27,14.52,26,25.04,25,25.72,26,20.54,24,9.15,24,13.91,17,13.71,14,14.68,12,--,--,--,--,13.82,26,15.28,23
Bandhan Focused Equity Fund - Direct - Growth,93.96,03-Jul-2024,1640.7592, Jun 2024 ,2.09,7,2.87,15,9.24,2,10.34,10,12.96,10,19.41,16,36.16,9,38.81,16,31.8,14,19.32,14,18.44,12,14.6,12,14.1,13,--,--,--,--,18.75,16,14.4,26
Baroda BNP Paribas Focused Fund - Dir - Growth,25.42,03-Jul-2024,682.0597, Jun 2024 ,1.33,19,1.21,26,2.45,26,9.15,21,13.53,7,24.22,6,35.21,10,44.39,10,33.5,11,22.29,10,20.21,8,--,--,--,--,--,--,--,--,23.32,6,14.83,25
Canara Robeco Focused Equity Fund - Dir - Growth,19.36,03-Jul-2024,2429.794, Jun 2024 ,1.95,9,3.09,11,5.62,12,9.5,15,10.63,20,19.8,13,31.43,18,36.7,20,32.09,12,21.47,11,--,--,--,--,--,--,--,--,--,--,18.99,14,23.49,6
DSP Focus Fund - Dir - Growth,57.56,03-Jul-2024,2515.5819, Jun 2024 ,2.01,8,2.61,19,5.98,11,12.4,3,16.55,1,19.46,15,34.82,11,45.39,8,34.34,8,18.25,17,17.99,14,15.08,11,14.99,10,--,--,--,--,18.77,15,15.24,24
Edelweiss Focused Fund - Dir - Growth,16.87,03-Jul-2024,863.3052, Jun 2024 ,2.47,3,3.88,3,6.88,7,13.7,1,15.26,3,24.12,7,39.37,6,44.64,9,--,--,--,--,--,--,--,--,--,--,--,--,--,--,22.89,7,31.23,4
Franklin India Focused Equity Fund - Dir - Growth,119.28,03-Jul-2024,12198.0992, Jun 2024 ,1.46,15,3.12,10,6.14,10,10,13,12.66,13,22.62,8,33.78,14,40.74,12,34.09,9,23.06,7,21,5,17.79,4,18.33,2,--,--,--,--,22.31,8,20.01,11
HDFC Focused 30 Fund - Dir - Growth,236.3,03-Jul-2024,13136.5928, Jun 2024 ,0.72,25,2.33,20,5.48,14,10.26,11,12.93,11,22.22,9,38.68,7,46.15,7,39.23,4,30.88,1,22.68,4,17.16,6,15.31,8,--,--,--,--,22.13,9,16.61,19
HSBC Focused Fund - Dir - GrowthAdjusted NAV (Post merger with L&T Mutual Fund),25.14,03-Jul-2024,1688.0178, Jun 2024 ,0.64,26,1.64,24,4.5,22,4.91,27,7.33,25,15.9,24,29.59,19,37.44,17,28.69,19,16.77,21,--,--,--,--,--,--,--,--,--,--,14.99,24,23.66,5
