Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
-,-,-,-,-,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Absolute,Absolute,--,--
Scheme Name,NAV,NAV Date,Corpus (In crs.),Corpus (In crs.) Date,1 Week,1 Week Rank,2 Weeks,2 Weeks Rank,1 Month,1 Month Rank,2 Months,2 Months Rank,3 Months,3 Months Rank,6 Months,6 Months Rank,9 months,9 months Rank,1 Year,1 Year Rank,2 Years,2 Years Rank,3 Years,3 Years Rank,5 Years,5 Years Rank,7 Year,7 Year Rank,10 Years,10 Years Rank,12 years,12 years Rank,15 years,15 years Rank,YTD,YTD Rank,Since Inception,Since Inception Rank
Aditya Birla Sun Life Infrastructure Fund - Dir - Growth,108.67,03-Jul-2024,1217.9028, Jun 2024 ,1.48,16,2.71,14,1.85,16,11.66,13,15.62,13,31.02,15,44.07,19,63.54,18,54.4,12,31.35,16,25.64,15,17.85,17,16.41,17,--,--,--,--,31.58,14,17.99,14
Bandhan Infrastructure Fund - Dir - Growth,64.29,03-Jul-2024,1592.3071, Jun 2024 ,2.88,3,4.6,2,6.82,2,19.34,2,24.19,4,49.92,1,71.52,2,92.79,1,65.27,2,38.32,9,30.21,4,20.93,13,19.62,5,--,--,--,--,50.83,1,18.76,11
Bank of India Manufacturing & Infrastructure Fund - Dir - Growth,66.08,03-Jul-2024,404.8964, Jun 2024 ,2.16,7,3.38,8,6.1,5,12.29,11,17.48,10,32.05,13,50.18,15,68.59,14,52.19,15,32.79,15,30.97,3,22.8,3,19.13,9,--,--,--,--,31.69,13,19.44,8
Canara Robeco Infrastructure Fund - Dir - Growth,183.79,03-Jul-2024,789.4819, Jun 2024 ,3.16,2,4.24,3,3,14,18.96,3,27.15,2,44.18,3,64.05,5,78.67,9,55.58,10,38.95,7,30.01,6,21,12,19.11,10,--,--,--,--,43.19,3,19.78,6
DSP India Tiger Fund - Dir - Growth,362.63,03-Jul-2024,4896.1975, Jun 2024 ,2.11,8,3.62,4,3.74,10,14.8,8,23.12,6,38.87,7,59.81,7,82.88,6,59.85,4,39.25,5,29.39,9,22.08,7,19.25,7,--,--,--,--,39.21,7,19.48,7
Franklin Build India Fund - Dir - Growth,164.23,03-Jul-2024,2738.2612, Jun 2024 ,0.83,19,3.04,12,2.43,15,10.5,17,16.87,11,33.62,11,55.96,10,80.09,7,58.19,5,37.58,12,28.37,12,22.56,4,22.57,1,--,--,--,--,34.19,11,24.16,1
HDFC Infrastructure Fund - Dir - Growth,53.67,03-Jul-2024,2310.7878, Jun 2024 ,1.61,14,2.58,15,4.66,7,10.62,16,15.55,14,29.91,16,53.03,13,79.74,8,61.58,3,39.95,4,23.83,18,15.08,19,13.31,19,--,--,--,--,30.46,16,14.63,19
HSBC Infrastructure Fund - Dir - GrowthAdjusted NAV (Post merger with L&T Mutual Fund),57.24,03-Jul-2024,2779.3712, Jun 2024 ,2.04,10,3.15,10,3.35,12,18.41,4,24.96,3,38.82,8,53.69,12,73.54,11,56.8,8,37.37,13,27.58,13,20.04,14,19.27,6,--,--,--,--,37.47,9,19.95,5
ICICI Prudential Infrastructure Fund - Dir - Growth,206.98,03-Jul-2024,5703.0422, Jun 2024 ,1.69,13,2.87,13,3.46,11,9.79,18,13.6,18,32.29,12,53.92,11,69.52,12,56.54,9,41.25,1,29.58,7,22.38,5,18.08,12,--,--,--,--,32.65,12,18.99,9
Invesco India Infrastructure Fund - Dir - Growth,81.05,03-Jul-2024,1470.2571, Jun 2024 ,2.08,9,2.13,19,3.14,13,16.92,5,21.77,7,41.7,4,66.05,4,86.3,3,57.75,7,37.99,11,32.8,2,25.06,2,21.29,2,--,--,--,--,41.37,4,22.71,2
Kotak Infrastructure & Economic Reform Fund - Dir - Growth,83.39,03-Jul-2024,2272.8799, Jun 2024 ,1.8,12,3.19,9,6.47,3,16.42,6,23.14,5,40.92,5,57.03,9,68.37,15,53.93,13,38.96,6,29.46,8,21.62,10,20.4,4,--,--,--,--,40.83,5,21.34,3
