Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
-,-,-,-,-,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Absolute,Absolute,--,--
Scheme Name,NAV,NAV Date,Corpus (In crs.),Corpus (In crs.) Date,1 Week,1 Week Rank,2 Weeks,2 Weeks Rank,1 Month,1 Month Rank,2 Months,2 Months Rank,3 Months,3 Months Rank,6 Months,6 Months Rank,9 months,9 months Rank,1 Year,1 Year Rank,2 Years,2 Years Rank,3 Years,3 Years Rank,5 Years,5 Years Rank,7 Year,7 Year Rank,10 Years,10 Years Rank,12 years,12 years Rank,15 years,15 years Rank,YTD,YTD Rank,Since Inception,Since Inception Rank
Aditya Birla Sun Life Frontline Equity Fund - Dir - Growth,554.73,03-Jul-2024,29104.4274, Jun 2024 ,1.28,27,2.68,24,5.24,8,9.89,6,10.93,11,17.81,20,29.27,22,33.68,20,28.99,17,19.06,13,17.87,11,14.75,18,14.58,11,--,--,--,--,17.04,21,16.03,15
Axis Bluechip Fund - Dir - Growth,67.19,03-Jul-2024,34520.1463, Jun 2024 ,1.17,29,2.19,28,4.9,13,7.54,22,7.78,28,16.61,24,27.59,25,29.27,27,23.75,28,13.16,28,15.54,24,16.12,9,14.32,14,--,--,--,--,15.47,24,15.99,16
Bandhan Large Cap Fund - Dir - Growth,84.31,03-Jul-2024,1514.8863, Jun 2024 ,1.82,10,3.52,2,7.09,2,9.98,5,11.56,7,20.03,9,35.81,7,38.39,13,31.24,11,20.13,8,18.88,10,15.73,11,14.05,17,--,--,--,--,19.49,9,14.81,22
Bank of India Bluechip Fund - Dir - Growth,17.27,03-Jul-2024,159.1658, Jun 2024 ,1.95,5,2.86,18,3.85,21,8.41,20,9.86,21,21.02,6,39.16,3,46.82,3,34.95,3,19.86,9,--,--,--,--,--,--,--,--,--,--,20.52,5,19.88,4
Baroda BNP Paribas Large Cap Fund -  Dir - Growth,251.8,03-Jul-2024,2120.4371, Jun 2024 ,1.91,7,3.27,6,4.68,16,9.14,14,11.35,8,23.85,1,38.15,4,43.95,4,33.27,5,21.81,5,20.42,2,17.02,5,16.03,3,--,--,--,--,23.13,1,17.34,8
Canara Robeco Bluechip Equity Fund - Dir - Growth,68.43,03-Jul-2024,13930.643, Jun 2024 ,1.69,15,3.09,9,4.84,14,9.75,8,10.53,16,18.41,18,30.42,18,33.11,22,28.9,18,17.94,18,20.12,4,17.87,1,15.82,6,--,--,--,--,17.66,16,16.24,14
DSP Top 100 Equity Fund - Dir - Growth,478.61,03-Jul-2024,4010.1877, Jun 2024 ,1.93,6,2.8,19,6.26,4,8.95,16,12.58,1,19.56,11,32.65,14,38.41,12,31.78,10,18.02,17,16.39,22,13.96,22,12.58,23,--,--,--,--,18.92,11,13.41,29
Edelweiss Large Cap Fund - Dir- Growth,93.39,03-Jul-2024,974.9362, Jun 2024 ,1.47,21,2.65,26,4.53,17,8.48,18,10.4,17,18.47,16,31.09,16,35.29,18,32.11,8,20.33,7,19.42,8,17.16,4,15.61,8,--,--,--,--,17.62,17,16.37,12
Franklin India Bluechip - Dir - Growth,1074.04,03-Jul-2024,8160.8133, Jun 2024 ,1.77,12,2.97,15,7.17,1,10.5,2,10.8,14,17.32,23,29.07,23,31.91,23,25.44,25,15.28,26,16.73,20,13.62,23,13.4,22,--,--,--,--,16.25,23,13.97,27
Groww Large Cap Fund - Dir- Growth,51.27,03-Jul-2024,126.914, Jun 2024 ,1.65,18,3.14,8,3.81,22,9.88,7,10.78,15,20.58,7,35.21,9,39.08,10,30.89,12,19.73,11,16.08,23,14.75,19,14.4,12,--,--,--,--,19.4,10,14.57,25
HDFC Top 100 Fund - Dir - Growth,1201.3,03-Jul-2024,35435.2979, Jun 2024 ,1.4,23,2.9,17,2.87,27,7.32,27,8.18,26,14.93,27,29.66,21,35.97,17,31.89,9,22.01,4,17.2,16,15.72,12,14.09,16,--,--,--,--,14.47,25,15.49,17
