Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
-,-,-,-,-,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Absolute,Absolute,--,--
Scheme Name,NAV,NAV Date,Corpus (In crs.),Corpus (In crs.) Date,1 Week,1 Week Rank,2 Weeks,2 Weeks Rank,1 Month,1 Month Rank,2 Months,2 Months Rank,3 Months,3 Months Rank,6 Months,6 Months Rank,9 months,9 months Rank,1 Year,1 Year Rank,2 Years,2 Years Rank,3 Years,3 Years Rank,5 Years,5 Years Rank,7 Year,7 Year Rank,10 Years,10 Years Rank,12 years,12 years Rank,15 years,15 years Rank,YTD,YTD Rank,Since Inception,Since Inception Rank
Aditya Birla Sun Life Equity Advantage Fund - Dir - Growth,989.55,03-Jul-2024,6092.8206, Jun 2024 ,1.44,22,2.55,18,5.1,20,10.02,18,13.23,15,18.48,25,29.55,24,37.95,23,29.98,24,15.1,26,17.79,22,13.52,20,15.07,16,--,--,--,--,17.82,26,16.91,22
Axis Growth Opportunities Fund - Dir - Growth,34.07,03-Jul-2024,13274.505, Jun 2024 ,1.64,19,1.91,23,5.12,19,10.08,17,11.63,23,24.21,12,35.41,17,40.65,21,33.85,17,19.85,23,24.56,2,--,--,--,--,--,--,--,--,23.35,12,23.99,4
Bandhan Core Equity Fund - Dir - Growth,146.42,03-Jul-2024,5360.4624, Jun 2024 ,2.12,8,3.59,3,5.82,13,9.89,20,14.72,9,26.05,6,44.72,3,58.3,2,44.29,3,27.56,4,24.14,3,18.79,6,18.01,8,--,--,--,--,26.71,5,17.53,20
Bank of India Large & Mid Cap Equity Fund - Dir - Growth,102.2,03-Jul-2024,348.5075, Jun 2024 ,2.32,4,3.29,5,5.05,22,10.45,15,13.2,16,23.04,15,38.65,11,49.16,11,37.54,12,22.19,16,22.53,11,16.75,16,15.09,15,--,--,--,--,22.69,14,15.99,25
Baroda BNP Paribas Large & Mid Cap Fund - Dir - Growth,28.15,03-Jul-2024,1297.5142, Jun 2024 ,1.65,18,1.97,22,4.34,24,8.43,24,10.97,25,24.17,13,40.38,9,47.55,13,37.57,11,25.25,7,--,--,--,--,--,--,--,--,--,--,23.8,11,31.03,1
Canara Robeco Emerging Equities - Dir - Growth,279.74,03-Jul-2024,23816.1059, Jun 2024 ,1.72,15,2.15,20,7.77,5,12.83,5,15.11,7,24.4,11,36.37,16,42.48,17,32.15,22,20.55,22,22.44,12,17.86,12,19.98,3,--,--,--,--,23.27,13,22.2,8
DSP Equity Opportunities Fund - Dir - Growth,665.11,03-Jul-2024,13093.4634, Jun 2024 ,2.29,5,3.18,7,6.49,8,12.26,6,17.68,3,24.7,9,41.44,7,53.09,6,38.99,8,22.85,15,23.17,7,18.34,9,18.14,7,--,--,--,--,24.54,9,18.8,14
Edelweiss Large & Mid Cap Fund - Dir - Growth,97.86,03-Jul-2024,3393.2917, Jun 2024 ,2.42,2,3.53,4,7.75,6,12.89,4,14.29,12,23.2,14,37,14,45.68,16,36.26,14,23.11,14,23.15,8,19.49,2,17.34,10,--,--,--,--,22.18,16,18.19,16
Franklin India Equity Advantage Fund - Dir - Growth,196.8,03-Jul-2024,3510.4615, Jun 2024 ,1.87,11,2.87,11,8.78,3,12.03,7,13.66,14,18.94,22,31.8,21,38.6,22,28.55,26,17.82,25,18.32,21,14.56,19,14.56,18,--,--,--,--,18.1,24,15.99,26
HDFC Large and Mid Cap Fund - Dir - Growth,345.73,03-Jul-2024,21459.3611, Jun 2024 ,1.55,21,2.12,21,5.2,17,9.86,21,12.89,18,20.58,19,36.68,15,49.17,10,40.05,6,27.2,5,24.13,4,18.68,7,15.33,14,--,--,--,--,20.77,18,15.33,27
HSBC Large & Mid Cap Fund - Dir - GrowthAdjusted NAV (Post merger with L&T Mutual Fund),28.79,03-Jul-2024,3382.7477, Jun 2024 ,2.23,7,2.84,12,5.43,14,11.94,8,18.45,2,31.96,1,42,5,53.02,7,42.21,4,25.57,6,21.93,16,--,--,--,--,--,--,--,--,31.16,1,20.96,10
