Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
-,-,-,-,-,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Absolute,Absolute,--,--
Scheme Name,NAV,NAV Date,Corpus (In crs.),Corpus (In crs.) Date,1 Week,1 Week Rank,2 Weeks,2 Weeks Rank,1 Month,1 Month Rank,2 Months,2 Months Rank,3 Months,3 Months Rank,6 Months,6 Months Rank,9 months,9 months Rank,1 Year,1 Year Rank,2 Years,2 Years Rank,3 Years,3 Years Rank,5 Years,5 Years Rank,7 Year,7 Year Rank,10 Years,10 Years Rank,12 years,12 years Rank,15 years,15 years Rank,YTD,YTD Rank,Since Inception,Since Inception Rank
Aditya Birla Sun Life MNC Fund - Dir - Growth,1540.33,03-Jul-2024,4033.9835, Jun 2024 ,1.3,5,1.56,4,7.65,2,14.77,1,18.16,1,21.63,1,30.83,2,40.51,1,27.37,2,14.14,3,14.31,4,11.78,3,14.66,3,--,--,--,--,21.69,1,16.46,5
HDFC MNC Fund - Dir - Growth,14.94,03-Jul-2024,637.2108, Jun 2024 ,1.5,4,1.49,5,7.32,3,13.08,3,15.98,2,18.01,3,29.76,3,34.38,4,--,--,--,--,--,--,--,--,--,--,--,--,--,--,17.82,4,35.55,1
ICICI Prudential MNC Fund - Dir - Growth,30.35,03-Jul-2024,1744.6035, Jun 2024 ,2.05,2,2.02,2,6.23,5,11.29,4,12.16,4,17.77,4,25.52,4,36.66,2,28.75,1,20.5,1,24.71,1,--,--,--,--,--,--,--,--,18.69,3,24.59,2
SBI Magnum Global Fund - Dir - Growth,406.04,03-Jul-2024,6685.6529, Jun 2024 ,1.6,3,1.78,3,6.25,4,9.21,5,9.11,5,8.01,5,12,5,18.36,5,21.55,4,13.4,4,18.13,2,14.17,1,14.92,2,--,--,--,--,7.68,5,16.72,4
UTI MNC Fund - Dir - Growth,446.24,03-Jul-2024,3100.8279, Jun 2024 ,2.15,1,2.12,1,9.18,1,13.25,2,14.66,3,21.55,2,30.89,1,36.6,3,27.28,3,18.14,2,17.34,3,13.85,2,15.19,1,--,--,--,--,21.36,2,16.81,3
--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Minimum,--,--,--,--,1.3,--,1.49,--,6.23,--,9.21,--,9.11,--,8.01,--,12,--,18.36,--,21.55,--,13.4,--,14.31,--,11.78,--,14.66,--,--,--,--,--,7.68,--,16.46,--
Maximum,--,--,--,--,2.15,--,2.12,--,9.18,--,14.77,--,18.16,--,21.63,--,30.89,--,40.51,--,28.75,--,20.5,--,24.71,--,14.17,--,15.19,--,--,--,--,--,21.69,--,35.55,--
Average,--,--,--,--,1.72,--,1.79,--,7.33,--,12.32,--,14.01,--,17.39,--,25.8,--,33.3,--,26.24,--,16.55,--,18.62,--,13.27,--,14.92,--,--,--,--,--,17.45,--,22.03,--
"* Less than 1 year Absolute returns, Greater than or Equal to 1 year Compound Annualized returns",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
