Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
-,-,-,-,-,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Absolute,Absolute,--,--
Scheme Name,NAV,NAV Date,Corpus (In crs.),Corpus (In crs.) Date,1 Week,1 Week Rank,2 Weeks,2 Weeks Rank,1 Month,1 Month Rank,2 Months,2 Months Rank,3 Months,3 Months Rank,6 Months,6 Months Rank,9 months,9 months Rank,1 Year,1 Year Rank,2 Years,2 Years Rank,3 Years,3 Years Rank,5 Years,5 Years Rank,7 Year,7 Year Rank,10 Years,10 Years Rank,12 years,12 years Rank,15 years,15 years Rank,YTD,YTD Rank,Since Inception,Since Inception Rank
Aditya Birla Sun Life Manufacturing Equity Fund - Dir - Growth,35.09,03-Jul-2024,1109.4439, Jun 2024 ,2.04,4,2.57,1,6.33,1,11.19,5,16.08,4,25.37,5,42.47,4,52.52,3,36.99,3,19.49,2,21.41,2,14.61,1,--,--,--,--,--,--,25.41,5,14.24,5
Axis India Manufacturing Fund - Dir - Growth,14.23,03-Jul-2024,5909.151, Jun 2024 ,2.23,1,2.52,4,5.49,3,15.79,1,19.98,1,39.1,1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,39.37,1,42.3,2
ICICI Prudential Manufacturing Fund - Dir - Growth,38.38,03-Jul-2024,5959.5696, Jun 2024 ,2.13,3,2.54,3,5.44,4,13.75,3,16.55,3,34.1,3,57.49,1,72.01,1,50.94,1,33.65,1,29.07,1,--,--,--,--,--,--,--,--,34.15,3,26.45,4
Kotak Manufacture in India Fund - Dir - Growth,19.8,03-Jul-2024,2339.4343, Jun 2024 ,2,5,2.55,2,6.18,2,13.75,2,17.47,2,32.1,4,46.36,3,57.16,2,40,2,--,--,--,--,--,--,--,--,--,--,--,--,31.33,4,33.55,3
Quant Manufacturing Fund - Dir - Growth,16.94,03-Jul-2024,905.4912, Jun 2024 ,2.2,2,2.52,5,4.86,5,11.76,4,15.07,5,34.42,2,56.19,2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,34.88,2,69.37,1
--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Minimum,--,--,--,--,2,--,2.52,--,4.86,--,11.19,--,15.07,--,25.37,--,42.47,--,52.52,--,36.99,--,19.49,--,21.41,--,14.61,--,--,--,--,--,--,--,25.41,--,14.24,--
Maximum,--,--,--,--,2.23,--,2.57,--,6.33,--,15.79,--,19.98,--,39.1,--,57.49,--,72.01,--,50.94,--,33.65,--,29.07,--,14.61,--,--,--,--,--,--,--,39.37,--,69.37,--
Average,--,--,--,--,2.12,--,2.54,--,5.66,--,13.25,--,17.03,--,33.02,--,50.63,--,60.56,--,42.64,--,26.57,--,25.24,--,14.61,--,--,--,--,--,--,--,33.03,--,37.18,--
"* Less than 1 year Absolute returns, Greater than or Equal to 1 year Compound Annualized returns",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
