Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
-,-,-,-,-,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Absolute,Absolute,--,--
Scheme Name,NAV,NAV Date,Corpus (In crs.),Corpus (In crs.) Date,1 Week,1 Week Rank,2 Weeks,2 Weeks Rank,1 Month,1 Month Rank,2 Months,2 Months Rank,3 Months,3 Months Rank,6 Months,6 Months Rank,9 months,9 months Rank,1 Year,1 Year Rank,2 Years,2 Years Rank,3 Years,3 Years Rank,5 Years,5 Years Rank,7 Year,7 Year Rank,10 Years,10 Years Rank,12 years,12 years Rank,15 years,15 years Rank,YTD,YTD Rank,Since Inception,Since Inception Rank
Aditya Birla Sun Life Mid Cap Fund - Plan A - Dir - Growth,840.64,03-Jul-2024,5800.8295, Jun 2024 ,1.01,28,1.36,28,7.31,15,10.43,26,15.14,22,20.7,26,34.64,24,50.96,22,35.85,23,24.69,18,22.72,21,15.69,21,17.19,20,--,--,--,--,21.02,24,18.43,28
Axis Midcap Fund - Dir - Growth,126.64,03-Jul-2024,30143.58, Jun 2024 ,1.83,21,2.13,19,7.31,14,15.21,6,19.15,8,29.57,11,41.13,18,48.95,25,36.84,21,22.93,22,25.92,14,22.12,4,19.63,11,--,--,--,--,28.56,12,21.32,19
Bandhan Midcap Fund - Dir - Growth,17.76,03-Jul-2024,1389.2376, Jun 2024 ,2.52,6,3.52,6,9.19,5,15.7,5,19.82,5,29.21,13,43.13,12,58.08,12,--,--,--,--,--,--,--,--,--,--,--,--,--,--,28.36,14,35.79,5
Baroda BNP Paribas Midcap Fund -  Dir - Growth,118.73,03-Jul-2024,2103.0081, Jun 2024 ,2.14,15,3.04,9,7.51,12,12,18,17.07,16,27.68,15,40.8,19,57.02,15,40.87,16,25.64,14,27.65,10,19.48,11,19.93,10,--,--,--,--,28.2,15,21.64,16
Canara Robeco Mid Cap Fund - Dir - Growth,17.01,03-Jul-2024,2502.9847, Jun 2024 ,2.78,3,3.91,2,9.6,3,14.47,10,18.04,10,29.26,12,41.63,15,54.17,20,--,--,--,--,--,--,--,--,--,--,--,--,--,--,28.38,13,39.78,3
DSP Midcap Fund - Dir - Growth,158.49,03-Jul-2024,19137.2653, Jun 2024 ,1.9,18,1.85,26,7.33,13,15.01,7,20.97,4,21.22,24,36.97,23,54.18,19,36.87,20,19.75,25,22.42,22,16.98,18,18.24,18,--,--,--,--,20.79,25,19.5,26
Edelweiss Mid Cap Fund - Dir - Growth,108.77,03-Jul-2024,6624.7173, Jun 2024 ,3.04,1,3.7,3,9.39,4,15.98,4,19.74,6,31.49,5,49.54,6,63.81,8,46.73,6,29.49,6,30.66,4,22.72,2,21.92,4,--,--,--,--,31.15,5,23.96,9
Franklin India Prima Fund - Dir - Growth,2945.76,03-Jul-2024,12015.3305, Jun 2024 ,1.49,23,2.05,24,8.11,11,14.55,9,18.47,9,26.56,18,43.92,11,56.06,16,43.82,10,24.51,19,23.46,20,17.84,16,19.16,13,--,--,--,--,26.62,17,20.85,22
HDFC Mid-Cap Opportunities Fund - Dir - Growth,199.75,03-Jul-2024,70569.6955, Jun 2024 ,2.38,9,2.13,18,6.3,22,11.38,23,13.39,27,23.53,20,38.2,21,53.99,21,48.18,5,30.57,4,28.21,8,20.48,10,20.9,6,--,--,--,--,23.7,20,22.79,11
HSBC Midcap Fund - Dir - GrowthAdjusted NAV (Post merger with L&T Mutual Fund),421.43,03-Jul-2024,11418.1288, Jun 2024 ,1.87,19,2.78,13,6.13,24,12,19,17.13,15,29.74,10,48.32,7,66.27,6,43.67,11,26.4,13,24.72,17,17.69,17,20.08,9,--,--,--,--,29.82,8,21.96,15
ICICI Prudential MidCap Fund - Dir - Growth,322.78,03-Jul-2024,6528.0547, Jun 2024 ,1.12,27,1.95,25,5.81,25,14.17,11,17.7,14,29.78,8,50.07,5,64.32,7,41.66,15,26.52,12,25.95,13,19.38,12,19,14,--,--,--,--,30.56,6,21.56,17
