Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
-,-,-,-,-,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Absolute,Absolute,--,--
Scheme Name,NAV,NAV Date,Corpus (In crs.),Corpus (In crs.) Date,1 Week,1 Week Rank,2 Weeks,2 Weeks Rank,1 Month,1 Month Rank,2 Months,2 Months Rank,3 Months,3 Months Rank,6 Months,6 Months Rank,9 months,9 months Rank,1 Year,1 Year Rank,2 Years,2 Years Rank,3 Years,3 Years Rank,5 Years,5 Years Rank,7 Year,7 Year Rank,10 Years,10 Years Rank,12 years,12 years Rank,15 years,15 years Rank,YTD,YTD Rank,Since Inception,Since Inception Rank
Aditya Birla Sun Life Multi Asset Allocation Fund - Dir - Growth,13.95,03-Jul-2024,3404.3864, Jun 2024 ,1.31,7,1.64,9,3.88,4,7.68,2,9.53,2,15.47,9,23.96,10,27.31,8,--,--,--,--,--,--,--,--,--,--,--,--,--,--,15.1,9,26.37,4
Axis Multi Asset Allocation Fund - Dir - Growth,42.97,03-Jul-2024,1245.8646, Jun 2024 ,1.7,5,2.4,3,3.67,6,7.42,4,9.28,4,14.36,10,21.28,13,23.16,10,19.03,8,11.74,8,14.71,6,13.12,5,11.68,5,--,--,--,--,13.41,11,11.18,13
Baroda BNP Paribas Multi Asset Fund - Dir - Growth,14.54,03-Jul-2024,1197.3001, Jun 2024 ,1.79,2,2.82,1,4.38,2,7.52,3,9.36,3,18.01,2,30.84,5,35.75,3,--,--,--,--,--,--,--,--,--,--,--,--,--,--,16.74,5,27.5,3
DSP Multi Asset Allocation Fund - Dir - Growth,12.4,03-Jul-2024,1823.1247, Jun 2024 ,1.19,9,2.06,5,3.84,5,6.28,7,7.74,9,14.33,11,24.61,9,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,14.12,10,23.95,5
Edelweiss Multi Asset Allocation Fund - Dir - Growth,10.79,03-Jul-2024,981.1615, Jun 2024 ,0.03,16,0.28,16,0.74,15,1.33,16,2.02,16,3.78,16,5.9,16,7.74,13,--,--,--,--,--,--,--,--,--,--,--,--,--,--,4.11,16,7.71,16
HDFC Multi - Asset Fund - Dir - Growth,72.66,03-Jul-2024,3141.1849, Jun 2024 ,0.92,15,1.48,12,3.26,9,5.56,10,6.59,12,12.58,12,22.26,12,25.26,9,21.35,7,15.62,7,16.48,3,13.22,3,12.01,4,--,--,--,--,12.59,13,12.28,12
ICICI Prudential Multi-Asset Fund - Dir - Growth,748.67,03-Jul-2024,43928.7817, Jun 2024 ,1.07,11,1.56,10,2.85,10,5.12,12,6.87,10,15.92,7,26.45,7,34,5,28.82,3,24.44,2,20.84,2,17.38,2,15.81,2,--,--,--,--,15.6,7,17.49,9
Kotak Multi Asset Allocation Fund -Dir - Growth,12.91,03-Jul-2024,6525.612, Jun 2024 ,1.77,3,1.74,6,3.95,3,8.22,1,10.36,1,17.62,4,28.7,6,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,17.53,3,29.14,2
Motilal Oswal Multi Asset Fund(MOFMAF) - Dir - Growth,14.15,03-Jul-2024,101.7138, Jun 2024 ,1.68,6,1.74,7,4.82,1,5.66,8,5.53,15,9.55,15,11.13,15,18.92,12,14.86,9,9.57,9,--,--,--,--,--,--,--,--,--,--,9.4,15,9.26,15
Nippon India Multi Asset Allocation Fund - Dir - Growth,20.78,03-Jul-2024,3601.885, Jun 2024 ,1.74,4,2.2,4,3.26,8,6.3,6,8.25,5,17.89,3,31.54,4,35.45,4,27.15,4,18.93,4,--,--,--,--,--,--,--,--,--,--,17.49,4,20.93,8
Quant Multi Asset Fund - Dir - Growth,142.12,03-Jul-2024,2541.5105, Jun 2024 ,0.96,13,1.12,15,-0.24,16,4.38,15,6.77,11,24.98,1,44.28,1,49.3,1,36.66,1,25.76,1,30.65,1,22.31,1,18.07,1,--,--,--,--,25.34,1,16.56,10
