Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
-,-,-,-,-,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Absolute,Absolute,--,--
Scheme Name,NAV,NAV Date,Corpus (In crs.),Corpus (In crs.) Date,1 Week,1 Week Rank,2 Weeks,2 Weeks Rank,1 Month,1 Month Rank,2 Months,2 Months Rank,3 Months,3 Months Rank,6 Months,6 Months Rank,9 months,9 months Rank,1 Year,1 Year Rank,2 Years,2 Years Rank,3 Years,3 Years Rank,5 Years,5 Years Rank,7 Year,7 Year Rank,10 Years,10 Years Rank,12 years,12 years Rank,15 years,15 years Rank,YTD,YTD Rank,Since Inception,Since Inception Rank
Aditya Birla Sun Life Multi-Cap Fund - Dir - Growth,20.23,03-Jul-2024,5984.9219, Jun 2024 ,1.86,15,3,11,6.25,13,11.4,7,14.1,14,22.53,13,33.53,18,43.23,17,33.52,13,22.33,7,--,--,--,--,--,--,--,--,--,--,22.01,13,24.99,12
Axis Multicap Fund - Dir - Growth,17.48,03-Jul-2024,5973.2708, Jun 2024 ,2.16,6,3.07,8,7.04,8,13.73,2,16.3,3,27.03,3,43.16,5,55.05,4,41.22,5,--,--,--,--,--,--,--,--,--,--,--,--,25.76,6,24.54,13
Bandhan Multi Cap Fund - Dir - Growth,17.55,03-Jul-2024,2303.6976, Jun 2024 ,1.64,19,2.56,17,7.32,4,9.51,20,12.68,20,20.76,17,34.56,16,44.41,15,37.1,11,--,--,--,--,--,--,--,--,--,--,--,--,21.3,15,24.28,14
Bank of India Multi Cap Fund - Dir - Growth,17.78,03-Jul-2024,598.2446, Jun 2024 ,2.07,10,3.01,10,5.64,19,9.82,19,13.76,15,23.73,11,39.12,10,54.96,5,--,--,--,--,--,--,--,--,--,--,--,--,--,--,23.9,11,53.79,2
Baroda BNP Paribas Multi Cap Fund - Dir - Growth,313.18,03-Jul-2024,2609.7361, Jun 2024 ,2.12,8,2.24,19,5.65,18,9.16,22,14.12,13,26.08,6,42.47,6,49.96,11,38.35,8,25.46,4,24.13,4,18.3,4,16.32,6,--,--,--,--,25.94,5,17.1,24
Canara Robeco Multi Cap Fund - Direct - Growth,14.09,03-Jul-2024,2800.2955, Jun 2024 ,1.66,18,2.47,18,6.1,15,12,5,15.59,6,20.43,18,36.27,14,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,19.91,20,40.9,4
DSP Multicap Fund - Dir - Growth,12.04,03-Jul-2024,1242.4165, Jun 2024 ,0.77,24,1.88,23,8.3,3,12.29,4,17.86,2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20.36,19
Edelweiss Multi Cap Fund - Dir - Growth,14.87,03-Jul-2024,2127.0793, Jun 2024 ,2.29,4,3.53,5,8.47,2,13.1,3,15.81,5,26.1,5,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,25.41,8,48.74,3
HDFC Multi Cap Fund - Dir - Growth,19.54,03-Jul-2024,15564.1036, Jun 2024 ,1.8,16,2.68,14,7.19,6,11.24,8,14.79,7,22.65,12,38.66,11,51.58,10,44.59,3,--,--,--,--,--,--,--,--,--,--,--,--,22.52,12,29.85,10
HSBC Multi Cap Fund - Dir - Growth,18.8,03-Jul-2024,3560.5791, Jun 2024 ,2.06,11,2.82,12,6.4,12,10.15,18,14.14,12,27.37,2,46.03,1,63.63,1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,27.11,3,55.77,1
ICICI Prudential Multicap Fund - Dir - Growth,841.33,03-Jul-2024,13025.4032, Jun 2024 ,1.43,22,2.72,13,6.24,14,9.16,21,10.81,24,20.37,19,37.43,12,47.54,13,37.94,9,24.75,5,21.4,7,17.9,5,17.11,4,--,--,--,--,20.87,17,18.2,23
Invesco India Multicap Fund - Dir - Growth,148.12,03-Jul-2024,3622.9638, Jun 2024 ,2.16,7,2.56,16,7.1,7,10.28,16,14.48,9,22.28,14,35.48,15,48.11,12,37.42,10,21.47,9,23.32,5,17.73,6,18.07,2,--,--,--,--,21.41,14,20.21,20
