Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
-,-,-,-,-,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Absolute,Absolute,--,--
Scheme Name,NAV,NAV Date,Corpus (In crs.),Corpus (In crs.) Date,1 Week,1 Week Rank,2 Weeks,2 Weeks Rank,1 Month,1 Month Rank,2 Months,2 Months Rank,3 Months,3 Months Rank,6 Months,6 Months Rank,9 months,9 months Rank,1 Year,1 Year Rank,2 Years,2 Years Rank,3 Years,3 Years Rank,5 Years,5 Years Rank,7 Year,7 Year Rank,10 Years,10 Years Rank,12 years,12 years Rank,15 years,15 years Rank,YTD,YTD Rank,Since Inception,Since Inception Rank
Aditya Birla Sun Life PSU Equity Fund - Dir - Growth,38.42,03-Jul-2024,5121.769, Jun 2024 ,1.69,4,0.92,4,-3.93,5,2.75,5,8.47,5,29.19,4,62.25,4,93.3,3,65.97,3,42.22,1,--,--,--,--,--,--,--,--,--,--,30.28,4,34.76,2
ICICI Prudential PSU Equity Fund - Dir - Growth,21.8,03-Jul-2024,2643.4071, Jun 2024 ,1.68,5,0.97,2,-3.2,3,4.01,4,9.55,4,32.12,3,65.65,2,85.06,4,--,--,--,--,--,--,--,--,--,--,--,--,--,--,33.58,3,53.88,1
Invesco India PSU Equity Fund - Dir - Growth,79.79,03-Jul-2024,1362.7568, Jun 2024 ,2.18,1,1.54,1,-2.22,1,13.05,1,19.63,1,42.46,1,74.18,1,97.52,2,70.99,1,41.94,2,31.64,1,22.37,1,20.11,1,--,--,--,--,43.61,1,19.46,3
Quant PSU Fund - Dir - Growth,11.78,03-Jul-2024,917.0825, Jun 2024 ,1.86,3,0.14,5,-2.63,2,7.58,2,14.22,2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,17.81,4
SBI PSU Fund - Dir - Growth,36.05,03-Jul-2024,3694.679, Jun 2024 ,1.98,2,0.95,3,-3.26,4,4.22,3,12.03,3,34.2,2,62.56,3,97.54,1,66.73,2,40.85,3,26.1,2,17.46,2,13.36,2,--,--,--,--,34.97,2,13.52,5
--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Minimum,--,--,--,--,1.68,--,0.14,--,-3.93,--,2.75,--,8.47,--,29.19,--,62.25,--,85.06,--,65.97,--,40.85,--,26.1,--,17.46,--,13.36,--,--,--,--,--,30.28,--,13.52,--
Maximum,--,--,--,--,2.18,--,1.54,--,-2.22,--,13.05,--,19.63,--,42.46,--,74.18,--,97.54,--,70.99,--,42.22,--,31.64,--,22.37,--,20.11,--,--,--,--,--,43.61,--,53.88,--
Average,--,--,--,--,1.88,--,0.9,--,-3.05,--,6.32,--,12.78,--,34.49,--,66.16,--,93.36,--,67.9,--,41.67,--,28.87,--,19.91,--,16.73,--,--,--,--,--,35.61,--,27.89,--
"* Less than 1 year Absolute returns, Greater than or Equal to 1 year Compound Annualized returns",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
