Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
-,-,-,-,-,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Absolute,Absolute,--,--
Scheme Name,NAV,NAV Date,Corpus (In crs.),Corpus (In crs.) Date,1 Week,1 Week Rank,2 Weeks,2 Weeks Rank,1 Month,1 Month Rank,2 Months,2 Months Rank,3 Months,3 Months Rank,6 Months,6 Months Rank,9 months,9 months Rank,1 Year,1 Year Rank,2 Years,2 Years Rank,3 Years,3 Years Rank,5 Years,5 Years Rank,7 Year,7 Year Rank,10 Years,10 Years Rank,12 years,12 years Rank,15 years,15 years Rank,YTD,YTD Rank,Since Inception,Since Inception Rank
Aditya Birla Sun Life Pharma & Healthcare Fund - Dir - Growth,29.58,03-Jul-2024,713.4207, Jun 2024 ,1.3,11,-0.07,13,4.3,12,3.25,11,3.32,12,13.25,10,29.85,7,45.92,4,30.84,7,14.29,6,--,--,--,--,--,--,--,--,--,--,16.5,10,24.3,4
DSP Healthcare Fund - Dir - Growth,36.97,03-Jul-2024,2479.2532, Jun 2024 ,2.99,1,1.66,3,6.78,2,4.01,9,4.3,9,13.38,9,30.76,6,44.73,6,33.91,3,16.77,2,29.92,1,--,--,--,--,--,--,--,--,15.6,11,26.33,3
HDFC Pharma and Healthcare Fund - Dir - Growth,13.44,03-Jul-2024,905.4441, Jun 2024 ,2.34,3,1.53,4,6.6,4,5.93,3,7.88,2,15.26,3,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,18.31,3,34.82,2
ICICI Prudential Pharma Healthcare and Diagnostics Fund - Dir - Growth,34.82,03-Jul-2024,4125.2627, Jun 2024 ,1.93,5,1.81,2,6.13,7,6.13,2,6.48,3,17.28,2,35.22,2,51.61,1,35.31,1,17.22,1,28.72,3,--,--,--,--,--,--,--,--,20.86,2,23.21,6
ITI Pharma and Healthcare Fund - Dir - Growth,15.12,03-Jul-2024,166.3343, Jun 2024 ,2.6,2,2.53,1,8.13,1,4.95,6,4.65,7,13.49,8,30.84,5,42.82,8,30.82,8,--,--,--,--,--,--,--,--,--,--,--,--,17.04,7,16.91,11
Kotak Healthcare Fund - Dir - Growth,11.79,03-Jul-2024,307.8064, Jun 2024 ,1.59,9,0.61,11,6.07,8,2.97,12,2.86,13,12.93,12,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,14.92,12,17.9,10
LIC MF Healthcare Fund - Dir - Growth,26.89,03-Jul-2024,62.0342, Jun 2024 ,1.64,8,0.84,9,5.18,11,2.97,13,4.37,8,14.74,5,31.1,4,42.74,9,25.47,10,10.06,9,22.19,8,--,--,--,--,--,--,--,--,17.2,6,20.32,7
Mirae Asset Healthcare Fund - Dir - Growth,36.2,03-Jul-2024,2312.4756, Jun 2024 ,2.3,4,1.42,5,6.19,6,5.23,5,5.43,5,13.74,7,28.69,10,44.93,5,29.48,9,14.69,5,28.81,2,--,--,--,--,--,--,--,--,16.89,8,23.88,5
Nippon India Pharma Fund - Dir - Growth,495.26,03-Jul-2024,7404.2129, Jun 2024 ,1.28,12,0.37,12,3.93,13,4.41,8,4.21,10,11.16,13,28.68,11,43.72,7,31.67,5,14.14,7,27.03,5,20.56,1,17.29,1,--,--,--,--,14.67,13,18.6,8
Quant Healthcare Fund - Dir - Growth,15.17,03-Jul-2024,302.4735, Jun 2024 ,1.05,13,0.68,10,6.34,5,8.73,1,10.82,1,19.96,1,40.66,1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,23.72,1,51.74,1
SBI Healthcare Opportunities Fund - Dir - Growth,407.53,03-Jul-2024,2760.0529, Jun 2024 ,1.48,10,0.95,8,6.06,9,3.9,10,4.2,11,14.59,6,29.11,9,41.79,10,35.3,2,16.54,3,28.28,4,17.44,3,15.79,2,--,--,--,--,17.8,5,18.08,9
Tata India Pharma And Healthcare Fund - Dir - Growth,30.37,03-Jul-2024,948.9862, Jun 2024 ,1.81,6,1.2,6,5.92,10,4.57,7,5.22,6,14.94,4,32.82,3,48.21,2,32.49,4,16.48,4,26.77,6,19.02,2,--,--,--,--,--,--,18.1,4,13.93,13
