Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
-,-,-,-,-,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Absolute,Absolute,--,--
Scheme Name,NAV,NAV Date,Corpus (In crs.),Corpus (In crs.) Date,1 Week,1 Week Rank,2 Weeks,2 Weeks Rank,1 Month,1 Month Rank,2 Months,2 Months Rank,3 Months,3 Months Rank,6 Months,6 Months Rank,9 months,9 months Rank,1 Year,1 Year Rank,2 Years,2 Years Rank,3 Years,3 Years Rank,5 Years,5 Years Rank,7 Year,7 Year Rank,10 Years,10 Years Rank,12 years,12 years Rank,15 years,15 years Rank,YTD,YTD Rank,Since Inception,Since Inception Rank
Aditya Birla Sun Life Pure Value Fund - Dir - Growth,140.56,03-Jul-2024,6225.7801, Jun 2024 ,2.49,3,3.9,4,6.61,4,7.94,17,9.33,20,18.43,20,34.43,19,53.09,8,42.78,5,24.22,11,21.08,13,14.36,13,15.01,12,--,--,--,--,18.76,19,19.3,14
Axis Value Fund - Dir - Growth,18.37,03-Jul-2024,619.8665, Jun 2024 ,1.94,9,3.49,7,5.82,7,12.56,4,14.67,6,24.46,8,41.53,8,52.27,9,42.19,7,--,--,--,--,--,--,--,--,--,--,--,--,23.7,8,24.44,4
Bandhan Sterling Value Fund  - Dir - Growth,166.9,03-Jul-2024,9756.7492, Jun 2024 ,1.59,15,2.38,18,5.37,8,9.17,15,11.12,16,21.51,13,33.93,20,44.32,18,37.51,13,26.15,9,25.36,4,18.63,8,18.65,5,--,--,--,--,21.32,13,19.3,13
Baroda BNP Paribas Value Fund - Dir - Growth,14.91,03-Jul-2024,1728.8061, Jun 2024 ,2.64,2,3.25,9,3.36,21,7.26,22,9.4,19,21.14,16,38.07,13,45.45,16,--,--,--,--,--,--,--,--,--,--,--,--,--,--,21.46,12,45.19,1
Canara Robeco Value Fund - Dir - Growth,18.77,03-Jul-2024,1239.0557, Jun 2024 ,1.84,10,2.62,13,4.16,20,9.32,14,11.86,15,19.25,19,35.13,18,42.38,22,37.58,12,--,--,--,--,--,--,--,--,--,--,--,--,18.65,20,24.89,3
DSP Value Fund - Dir - Growth,20.37,03-Jul-2024,842.5732, Jun 2024 ,1.54,17,0.89,23,5.97,6,7.47,20,7.68,23,16.19,23,32.5,23,37.65,23,30.43,22,17.23,19,--,--,--,--,--,--,--,--,--,--,16.4,22,22.09,6
Groww Value Fund - Dir - Growth,30.63,03-Jul-2024,24.5654, Jun 2024 ,1.5,19,2.53,16,3.13,22,7.35,21,8.06,22,16.27,22,32.87,22,43.81,19,31.89,21,20.54,17,19.17,16,12.12,15,--,--,--,--,--,--,14.81,23,13.52,23
HDFC Capital Builder Value Fund - Dir - Growth,786.09,03-Jul-2024,7313.0884, Jun 2024 ,0.97,23,2.2,21,5.28,10,10.66,9,13.58,9,21.35,14,38.92,11,46.72,14,36.6,15,23.67,12,20.49,14,16.89,12,16.42,11,--,--,--,--,21.18,15,17.94,18
HSBC Value Fund - Dir - Growth,119.94,03-Jul-2024,13357.6394, Jun 2024 ,1.38,20,2.59,14,5.34,9,12.24,5,15.45,4,28.07,3,44.97,6,62.49,3,47.62,3,29.71,3,25.49,3,18.92,7,19.87,2,--,--,--,--,27.83,3,21.9,7
ICICI Prudential Value Discovery Fund - Dir - Growth,471.8,03-Jul-2024,45470.9505, Jun 2024 ,1.71,13,3.16,10,4.76,17,7.53,19,8.59,21,18.43,21,32.92,21,43.2,20,35.51,17,26.83,7,24.6,7,19.04,6,17.66,9,--,--,--,--,18.52,21,19.97,10
Invesco India Contra Fund - Dir - Growth,147.15,03-Jul-2024,16188.0748, Jun 2024 ,1.56,16,2.54,15,4.91,15,10.71,8,14.61,7,24.76,7,39.36,9,49.27,11,36.9,14,23.35,14,22.66,10,19.55,5,19.13,3,--,--,--,--,24.05,7,20.33,9
ITI Value Fund - Dir - Growth,18.81,03-Jul-2024,262.3319, Jun 2024 ,2.44,4,3.95,3,4.64,18,10.3,13,12.88,13,25.06,5,44.13,7,56.1,5,45.03,4,23.48,13,--,--,--,--,--,--,--,--,--,--,25.74,4,22.98,5
