Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
-,-,-,-,-,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Absolute,Absolute,--,--
Scheme Name,NAV,NAV Date,Corpus (In crs.),Corpus (In crs.) Date,1 Week,1 Week Rank,2 Weeks,2 Weeks Rank,1 Month,1 Month Rank,2 Months,2 Months Rank,3 Months,3 Months Rank,6 Months,6 Months Rank,9 months,9 months Rank,1 Year,1 Year Rank,2 Years,2 Years Rank,3 Years,3 Years Rank,5 Years,5 Years Rank,7 Year,7 Year Rank,10 Years,10 Years Rank,12 years,12 years Rank,15 years,15 years Rank,YTD,YTD Rank,Since Inception,Since Inception Rank
Aditya Birla Sun Life Retirement Fund - The 30s Plan - Dir - Growth,20.56,03-Jul-2024,388.5195, Jun 2024 ,1.13,7,2.26,5,3.85,6,9.46,5,12.43,4,17.93,7,28.19,7,34.88,7,27.91,6,15.74,6,15.26,5,--,--,--,--,--,--,--,--,17.24,7,14.47,6
Axis Retirement Savings Fund - Dynamic Plan - Dir - Growth,20.32,03-Jul-2024,366.9821, Jun 2024 ,1.4,5,2.37,4,5.45,4,9.01,6,10.14,7,20.45,3,32.46,3,35.99,5,26.07,7,14.86,7,--,--,--,--,--,--,--,--,--,--,20.02,3,16.9,5
HDFC Retirement Savings Fund - Equity Plan - Dir - Growth,55.25,03-Jul-2024,5556.6286, Jun 2024 ,1.29,6,2.04,6,5.21,5,9.54,4,11.18,6,18.88,5,32.13,5,39.66,4,36.41,3,24.74,2,24.83,2,19.97,1,--,--,--,--,--,--,18.78,5,22.69,3
ICICI Prudential Retirement Fund - Pure Equity Plan - Dir - Growth,32.65,03-Jul-2024,871.8428, Jun 2024 ,1.56,3,1.81,7,2.58,7,7.9,7,11.21,5,24.67,1,45.5,1,57.84,1,39.38,1,32.51,1,24.83,1,--,--,--,--,--,--,--,--,24.71,1,24.67,2
Nippon India Retirement Fund - Wealth Creation Scheme - Dir - Growth,32.02,03-Jul-2024,3324.5279, Jun 2024 ,2.05,2,3.86,1,6.27,2,11.26,3,13.66,2,22.04,2,35.59,2,46.88,2,36.71,2,23.17,4,16.99,4,14.12,3,--,--,--,--,--,--,21.33,2,13.18,7
SBI Retirement Benefit Fund - Aggressive Plan - Dir - Growth,21.54,03-Jul-2024,2620.1939, Jun 2024 ,1.43,4,2.72,3,5.9,3,12.66,1,13.64,3,18.82,6,28.99,6,34.89,6,31.69,5,23.39,3,--,--,--,--,--,--,--,--,--,--,17.48,6,25.36,1
Tata Retirement Savings Fund - Progressive Plan - Dir,76.87,03-Jul-2024,2002.5288, Jun 2024 ,2.14,1,2.89,2,6.5,1,11.54,2,14.73,1,19.69,4,32.44,4,42.19,3,31.89,4,18.92,5,18.39,3,15.85,2,16.95,1,--,--,--,--,18.91,4,17.31,4
--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Minimum,--,--,--,--,1.13,--,1.81,--,2.58,--,7.9,--,10.14,--,17.93,--,28.19,--,34.88,--,26.07,--,14.86,--,15.26,--,14.12,--,16.95,--,--,--,--,--,17.24,--,13.18,--
Maximum,--,--,--,--,2.14,--,3.86,--,6.5,--,12.66,--,14.73,--,24.67,--,45.5,--,57.84,--,39.38,--,32.51,--,24.83,--,19.97,--,16.95,--,--,--,--,--,24.71,--,25.36,--
Average,--,--,--,--,1.57,--,2.56,--,5.11,--,10.2,--,12.43,--,20.35,--,33.61,--,41.76,--,32.87,--,21.9,--,20.06,--,16.65,--,16.95,--,--,--,--,--,19.78,--,19.23,--
"* Less than 1 year Absolute returns, Greater than or Equal to 1 year Compound Annualized returns",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
