Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
-,-,-,-,-,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Absolute,Absolute,--,--
Scheme Name,NAV,NAV Date,Corpus (In crs.),Corpus (In crs.) Date,1 Week,1 Week Rank,2 Weeks,2 Weeks Rank,1 Month,1 Month Rank,2 Months,2 Months Rank,3 Months,3 Months Rank,6 Months,6 Months Rank,9 months,9 months Rank,1 Year,1 Year Rank,2 Years,2 Years Rank,3 Years,3 Years Rank,5 Years,5 Years Rank,7 Year,7 Year Rank,10 Years,10 Years Rank,12 years,12 years Rank,15 years,15 years Rank,YTD,YTD Rank,Since Inception,Since Inception Rank
Aditya Birla Sun Life Small Cap Fund - Dir - Growth,99.43,03-Jul-2024,5168.7826, Jun 2024 ,2.56,10,4.11,10,10.27,8,12.72,13,17.84,11,22.38,16,33.4,16,50,12,39.57,14,21.41,22,22.77,19,14.55,14,17.31,13,--,--,--,--,22.74,16,19.12,25
Axis Small Cap Fund - Dir - Growth,116.46,03-Jul-2024,22262.4174, Jun 2024 ,2.7,9,3.17,17,8.76,18,12.95,11,15.07,22,20.87,19,32.12,18,43.23,23,36.44,21,26.15,16,30.18,11,23.52,3,22.15,5,--,--,--,--,19.88,20,26.06,13
Bandhan Small Cap Fund - Dir - Growth,45.42,03-Jul-2024,5880.1827, Jun 2024 ,3.24,3,4.58,3,10.49,6,12.01,17,18.15,9,28.54,3,50.57,2,76.11,1,50.53,5,29.68,8,--,--,--,--,--,--,--,--,--,--,29.77,3,41.54,2
Bank of India Small Cap Fund - Dir - Growth,51.72,03-Jul-2024,1236.8316, Jun 2024 ,2.8,7,3.94,11,11.42,4,14.17,5,19.97,3,25.17,10,38.92,10,58.11,10,44.78,10,28.86,11,37.1,2,--,--,--,--,--,--,--,--,25.81,10,34.51,4
Baroda BNP Paribas Small Cap Fund - Dir - Growth,13.89,03-Jul-2024,1464.6868, Jun 2024 ,3.29,2,4.57,4,8.63,20,10.39,22,17.14,15,24.3,14,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,24.95,13,38.86,3
Canara Robeco Small Cap Fund - Dir - Growth,43.4,03-Jul-2024,11499.0663, Jun 2024 ,2.31,14,3.24,16,8.88,17,14.54,4,17.3,14,22.36,17,35.29,14,48.06,14,37.25,18,29.93,7,33.68,4,--,--,--,--,--,--,--,--,22.6,17,31.35,7
DSP Small Cap Fund - Dir - Growth,205.03,03-Jul-2024,15244.297, Jun 2024 ,1.63,25,3.94,12,12.23,3,11.61,18,15.61,20,17.34,23,30.38,21,45.33,20,38.3,15,26.42,15,28.88,16,18.33,12,21.92,6,--,--,--,--,18.08,22,23.77,17
Edelweiss Small Cap Fund - Dir - Growth,47.16,03-Jul-2024,3816.299, Jun 2024 ,1.99,19,2.46,26,9.69,12,12.34,15,16.03,18,20.96,18,35.76,13,52.55,11,43.04,12,28.99,10,33.31,5,--,--,--,--,--,--,--,--,20.97,18,33.23,5
Franklin India Smaller Companies Fund - Dir - Growth,204.9,03-Jul-2024,14023.1525, Jun 2024 ,1.6,26,3.14,19,9.09,15,13.78,8,19.8,4,25.33,8,44.3,7,62.77,5,52.51,3,33.31,3,29.08,15,20.07,9,21.52,8,--,--,--,--,25.78,11,24.02,15
HDFC Small Cap Fund - Dir - Growth,152.53,03-Jul-2024,31522.6566, Jun 2024 ,1.77,23,2.92,20,8.39,22,8.5,26,11.42,27,17.52,22,28.8,22,44.27,22,45.38,8,27.76,13,27.31,18,21.61,6,21.57,7,--,--,--,--,17.7,23,21.7,19
HSBC Small Cap Fund - Dir - GrowthAdjusted NAV (Post merger with L&T Mutual Fund),94.88,03-Jul-2024,16396.9427, Jun 2024 ,1.94,20,3.54,15,9.91,9,13.93,7,19.49,7,26.54,5,39.65,9,59.07,9,46.41,6,32.71,4,30.67,9,21.29,7,21.38,9,--,--,--,--,25.84,9,23.9,16
