Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
-,-,-,-,-,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Absolute,Absolute,--,--
Scheme Name,NAV,NAV Date,Corpus (In crs.),Corpus (In crs.) Date,1 Week,1 Week Rank,2 Weeks,2 Weeks Rank,1 Month,1 Month Rank,2 Months,2 Months Rank,3 Months,3 Months Rank,6 Months,6 Months Rank,9 months,9 months Rank,1 Year,1 Year Rank,2 Years,2 Years Rank,3 Years,3 Years Rank,5 Years,5 Years Rank,7 Year,7 Year Rank,10 Years,10 Years Rank,12 years,12 years Rank,15 years,15 years Rank,YTD,YTD Rank,Since Inception,Since Inception Rank
Aditya Birla Sun Life Special Opportunities Fund - Dir - Growth,24.54,03-Jul-2024,753.961, Jun 2024 ,1.49,3,2.42,5,6.74,3,9.26,4,12.41,4,20.29,4,34.25,3,44.55,3,32.2,3,20.19,3,--,--,--,--,--,--,--,--,--,--,20.12,4,27.46,2
Axis Innovation Fund - Dir - Growth,18.82,03-Jul-2024,1270.8268, Jun 2024 ,1.62,2,2.51,3,7.97,2,11.56,3,13.03,3,25.8,3,36.18,2,39.49,4,29.95,4,17.4,4,--,--,--,--,--,--,--,--,--,--,24.97,3,19.64,5
Franklin India Opportunities Fund - Dir - Growth,267.59,03-Jul-2024,4575.9679, Jun 2024 ,0.62,5,2.92,2,6.58,4,13.14,1,21.4,1,35.39,1,57.91,1,79.17,1,56.41,1,32.08,1,27.68,1,21.15,1,19.62,1,--,--,--,--,35.33,1,19.79,4
ICICI Prudential India Opportunities Fund - Dir - Growth,35.21,03-Jul-2024,21036.9184, Jun 2024 ,1.41,4,2.44,4,5.64,5,8.41,5,9.48,5,19.32,5,32.92,5,47.72,2,40.45,2,31,2,26.37,2,--,--,--,--,--,--,--,--,19.36,5,25.88,3
Union Innovation & Opportunities Fund - Dir - Growth,13.36,03-Jul-2024,731.1334, Jun 2024 ,2.93,1,3.89,1,10.69,1,13.03,2,17.09,2,26.88,2,33.87,4,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,26.52,2,33.6,1
--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Minimum,--,--,--,--,0.62,--,2.42,--,5.64,--,8.41,--,9.48,--,19.32,--,32.92,--,39.49,--,29.95,--,17.4,--,26.37,--,21.15,--,19.62,--,--,--,--,--,19.36,--,19.64,--
Maximum,--,--,--,--,2.93,--,3.89,--,10.69,--,13.14,--,21.4,--,35.39,--,57.91,--,79.17,--,56.41,--,32.08,--,27.68,--,21.15,--,19.62,--,--,--,--,--,35.33,--,33.6,--
Average,--,--,--,--,1.61,--,2.84,--,7.52,--,11.08,--,14.68,--,25.54,--,39.03,--,52.73,--,39.75,--,25.17,--,27.02,--,21.15,--,19.62,--,--,--,--,--,25.26,--,25.27,--
"* Less than 1 year Absolute returns, Greater than or Equal to 1 year Compound Annualized returns",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
