Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
-,-,-,-,-,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Absolute,Absolute,--,--
Scheme Name,NAV,NAV Date,Corpus (In crs.),Corpus (In crs.) Date,1 Week,1 Week Rank,2 Weeks,2 Weeks Rank,1 Month,1 Month Rank,2 Months,2 Months Rank,3 Months,3 Months Rank,6 Months,6 Months Rank,9 months,9 months Rank,1 Year,1 Year Rank,2 Years,2 Years Rank,3 Years,3 Years Rank,5 Years,5 Years Rank,7 Year,7 Year Rank,10 Years,10 Years Rank,12 years,12 years Rank,15 years,15 years Rank,YTD,YTD Rank,Since Inception,Since Inception Rank
Aditya Birla Sun Life Digital India Fund - Dir - Growth,185.56,03-Jul-2024,4659.8241, Jun 2024 ,3.34,3,5.22,5,12.03,5,11.88,5,7.19,7,8.7,7,21.08,7,31.74,5,24.19,3,14.56,4,27.35,2,25.97,2,20.35,1,--,--,--,--,6.28,7,22.37,4
Franklin India Technology Fund - Dir - Growth,546.85,03-Jul-2024,1610.632, Jun 2024 ,2.86,5,4.97,6,12.34,4,8.8,7,9.33,4,20.91,2,37.61,1,55.44,1,36.02,1,18.9,1,26.79,4,24.19,5,18.95,4,--,--,--,--,18.71,2,20.95,7
HDFC Technology Fund - Dir - Growth,12.47,03-Jul-2024,1059.7363, Jun 2024 ,2.79,6,5.27,4,11.83,6,11.47,6,9.44,3,15.73,3,26.26,4,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,13.27,3,24.71,2
ICICI Prudential Technology Fund - Dir - Growth,207.18,03-Jul-2024,12671.1445, Jun 2024 ,3.68,2,5.75,2,12.63,3,12.41,3,8.92,6,13.27,6,24.62,5,35.77,3,21.48,5,14.08,5,27.52,1,25.95,3,19.93,2,--,--,--,--,10.88,6,22.82,3
Quant Teck Fund - Dir - Growth,13.56,03-Jul-2024,401.8932, Jun 2024 ,2.59,7,3.86,7,12.9,2,12.22,4,11.15,1,23.93,1,35.65,2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,23.74,1,35.58,1
SBI Technology Opportunities Fund - Dir - Growth,217.01,03-Jul-2024,3813.8344, Jun 2024 ,3.17,4,5.69,3,11.58,7,12.6,1,9.51,2,14.11,5,23.77,6,32.11,4,23.76,4,16.06,3,25.39,5,24.79,4,18.98,3,--,--,--,--,11.81,5,21.55,6
Tata Digital India Fund - Dir - Growth,53.32,03-Jul-2024,10204.3509, Jun 2024 ,4.49,1,5.91,1,14.12,1,12.52,2,9.03,5,15.72,4,29.95,3,39.84,2,25.37,2,16.63,2,27.12,3,27.46,1,--,--,--,--,--,--,13.11,4,21.7,5
--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Minimum,--,--,--,--,2.59,--,3.86,--,11.58,--,8.8,--,7.19,--,8.7,--,21.08,--,31.74,--,21.48,--,14.08,--,25.39,--,24.19,--,18.95,--,--,--,--,--,6.28,--,20.95,--
Maximum,--,--,--,--,4.49,--,5.91,--,14.12,--,12.6,--,11.15,--,23.93,--,37.61,--,55.44,--,36.02,--,18.9,--,27.52,--,27.46,--,20.35,--,--,--,--,--,23.74,--,35.58,--
Average,--,--,--,--,3.27,--,5.24,--,12.49,--,11.7,--,9.22,--,16.05,--,28.42,--,38.98,--,26.16,--,16.05,--,26.83,--,25.67,--,19.55,--,--,--,--,--,13.97,--,24.24,--
"* Less than 1 year Absolute returns, Greater than or Equal to 1 year Compound Annualized returns",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
