Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
-,-,-,-,-,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Compound Annualized,Absolute,Absolute,--,--
Scheme Name,NAV,NAV Date,Corpus (In crs.),Corpus (In crs.) Date,1 Week,1 Week Rank,2 Weeks,2 Weeks Rank,1 Month,1 Month Rank,2 Months,2 Months Rank,3 Months,3 Months Rank,6 Months,6 Months Rank,9 months,9 months Rank,1 Year,1 Year Rank,2 Years,2 Years Rank,3 Years,3 Years Rank,5 Years,5 Years Rank,7 Year,7 Year Rank,10 Years,10 Years Rank,12 years,12 years Rank,15 years,15 years Rank,YTD,YTD Rank,Since Inception,Since Inception Rank
Aditya Birla Sun Life Transportation and Logistics Fund - Dir - Growth,14.72,03-Jul-2024,1503.8979, Jun 2024 ,1.87,2,1.8,2,5.98,4,11.43,4,16.36,4,35.05,2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,34.55,2,47.2,2
Bandhan Transportation and Logistics Fund - Dir - Growth,19,03-Jul-2024,554.2858, Jun 2024 ,2.3,1,1.97,1,8.12,1,13.88,1,19.85,1,33.35,3,50.91,3,62.64,1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,33.53,3,46.21,3
HDFC Transportation and Logistics Fund - Dir - Growth,16.21,03-Jul-2024,1180.959, Jun 2024 ,1.43,3,0.78,3,7.98,2,13.21,3,18.96,2,38.69,1,57.24,1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,38.61,1,62.1,1
ICICI Prudential Transportation and Logistics Fund - Dir - Growth,18.91,03-Jul-2024,3153.3665, Jun 2024 ,1.18,4,0.59,4,7.08,3,13.23,2,17.82,3,32.05,5,49.96,4,62.24,2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,31.32,5,46.04,4
UTI Transportation and Logistics Fund - Dir - Growth,308.33,03-Jul-2024,3698.1114, Jun 2024 ,1.07,5,0.19,5,4.62,5,10.94,5,15.65,5,32.15,4,51.14,2,58.27,3,42.25,1,31.41,1,25.61,1,14.89,1,16.74,1,--,--,--,--,31.36,4,21.5,5
--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Minimum,--,--,--,--,1.07,--,0.19,--,4.62,--,10.94,--,15.65,--,32.05,--,49.96,--,58.27,--,42.25,--,31.41,--,25.61,--,14.89,--,16.74,--,--,--,--,--,31.32,--,21.5,--
Maximum,--,--,--,--,2.3,--,1.97,--,8.12,--,13.88,--,19.85,--,38.69,--,57.24,--,62.64,--,42.25,--,31.41,--,25.61,--,14.89,--,16.74,--,--,--,--,--,38.61,--,62.1,--
Average,--,--,--,--,1.57,--,1.07,--,6.76,--,12.54,--,17.73,--,34.26,--,52.31,--,61.05,--,42.25,--,31.41,--,25.61,--,14.89,--,16.74,--,--,--,--,--,33.87,--,44.61,--
"* Less than 1 year Absolute returns, Greater than or Equal to 1 year Compound Annualized returns",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
